year,source_alias,target_kind,target_key,resolution,evidence,confidence
2002,STEARNS-STCLOUDW1P4,vtd00,STEARNS - 0290,vtd00_historical_code_name_continuity,"SOS results keep PRCT 0290 and W1 P4 from 2000 through 2006; Census VTD00 0290 is W1 P4; the 2008 source recodes the label to VTD10 0275",high
2002,STEARNS-STCLOUDW3P1,vtd00,STEARNS - 0295,vtd00_historical_code_name_continuity,"SOS results keep PRCT 0295 and W3 P1 from 2000 through 2006; Census VTD00 0295 is W3 P1; the 2008 source recodes the label to VTD10 0305",high
2002,STEARNS-STCLOUDW3P2,vtd00,STEARNS - 0300,vtd00_historical_code_name_continuity,"SOS results keep PRCT 0300 and W3 P2 from 2000 through 2006; Census VTD00 0300 is W3 P2; the 2008 source recodes the label to VTD10 0307",high
2002,STEARNS-STCLOUDW3P3,vtd00,STEARNS - 0305,vtd00_historical_code_name_continuity,"SOS results keep PRCT 0305 and W3 P3 from 2000 through 2006; Census VTD00 0305 is W3 P3; the 2008 source recodes the label to VTD10 0310",high
2002,STEARNS-STCLOUDW3P4,vtd00,STEARNS - 0310,vtd00_historical_code_name_continuity,"SOS results keep PRCT 0310 and W3 P4 from 2000 through 2006; Census VTD00 0310 is W3 P4; the 2008 source recodes the label to VTD10 0312",high
2002,STEARNS-STCLOUDW3P6,vtd00,STEARNS - 0320,vtd00_historical_code_name_continuity,"SOS results keep PRCT 0320 and W3 P6 from 2000 through 2006; Census VTD00 0320 is W3 P6; the 2008 source recodes the label to VTD10 0317",high
2004,STEARNS-STCLOUDW1P4,vtd00,STEARNS - 0290,vtd00_historical_code_name_continuity,"SOS results keep PRCT 0290 and W1 P4 from 2000 through 2006; Census VTD00 0290 is W1 P4; the 2008 source recodes the label to VTD10 0275",high
2004,STEARNS-STCLOUDW3P1,vtd00,STEARNS - 0295,vtd00_historical_code_name_continuity,"SOS results keep PRCT 0295 and W3 P1 from 2000 through 2006; Census VTD00 0295 is W3 P1; the 2008 source recodes the label to VTD10 0305",high
2004,STEARNS-STCLOUDW3P2,vtd00,STEARNS - 0300,vtd00_historical_code_name_continuity,"SOS results keep PRCT 0300 and W3 P2 from 2000 through 2006; Census VTD00 0300 is W3 P2; the 2008 source recodes the label to VTD10 0307",high
2004,STEARNS-STCLOUDW3P3,vtd00,STEARNS - 0305,vtd00_historical_code_name_continuity,"SOS results keep PRCT 0305 and W3 P3 from 2000 through 2006; Census VTD00 0305 is W3 P3; the 2008 source recodes the label to VTD10 0310",high
2004,STEARNS-STCLOUDW3P4,vtd00,STEARNS - 0310,vtd00_historical_code_name_continuity,"SOS results keep PRCT 0310 and W3 P4 from 2000 through 2006; Census VTD00 0310 is W3 P4; the 2008 source recodes the label to VTD10 0312",high
2004,STEARNS-STCLOUDW3P6,vtd00,STEARNS - 0320,vtd00_historical_code_name_continuity,"SOS results keep PRCT 0320 and W3 P6 from 2000 through 2006; Census VTD00 0320 is W3 P6; the 2008 source recodes the label to VTD10 0317",high
2006,STEARNS-STCLOUDW1P4,vtd00,STEARNS - 0290,vtd00_historical_code_name_continuity,"SOS results keep PRCT 0290 and W1 P4 from 2000 through 2006; Census VTD00 0290 is W1 P4; the 2008 source recodes the label to VTD10 0275",high
2006,STEARNS-STCLOUDW3P1,vtd00,STEARNS - 0295,vtd00_historical_code_name_continuity,"SOS results keep PRCT 0295 and W3 P1 from 2000 through 2006; Census VTD00 0295 is W3 P1; the 2008 source recodes the label to VTD10 0305",high
2006,STEARNS-STCLOUDW3P2,vtd00,STEARNS - 0300,vtd00_historical_code_name_continuity,"SOS results keep PRCT 0300 and W3 P2 from 2000 through 2006; Census VTD00 0300 is W3 P2; the 2008 source recodes the label to VTD10 0307",high
2006,STEARNS-STCLOUDW3P3,vtd00,STEARNS - 0305,vtd00_historical_code_name_continuity,"SOS results keep PRCT 0305 and W3 P3 from 2000 through 2006; Census VTD00 0305 is W3 P3; the 2008 source recodes the label to VTD10 0310",high
2006,STEARNS-STCLOUDW3P4,vtd00,STEARNS - 0310,vtd00_historical_code_name_continuity,"SOS results keep PRCT 0310 and W3 P4 from 2000 through 2006; Census VTD00 0310 is W3 P4; the 2008 source recodes the label to VTD10 0312",high
2006,STEARNS-STCLOUDW3P6,vtd00,STEARNS - 0320,vtd00_historical_code_name_continuity,"SOS results keep PRCT 0320 and W3 P6 from 2000 through 2006; Census VTD00 0320 is W3 P6; the 2008 source recodes the label to VTD10 0317",high
