county_fips,source_precinct,target_precinct,population,block_count,weight_share
001,000005,000005,2168,99,1.000000000000
001,000010,000005,8,2,0.008791208791
001,000010,000010,902,71,0.991208791209
001,000015,000015,272,50,1.000000000000
001,000020,000020,32,14,1.000000000000
001,000025,000025,62,10,1.000000000000
001,000030,000030,116,29,1.000000000000
001,000035,000035,45,15,1.000000000000
001,000038,000038,42,23,1.000000000000
001,000040,000040,995,73,1.000000000000
001,000045,000045,329,46,0.996969696970
001,000045,000110,0,1,0.003030303030
001,000050,000050,432,34,1.000000000000
001,000055,000055,153,23,1.000000000000
001,000060,000060,792,47,1.000000000000
001,000065,000065,613,57,1.000000000000
001,000070,000070,435,45,1.000000000000
001,000075,000075,222,15,1.000000000000
001,000080,000080,334,29,1.000000000000
001,000082,000082,45,4,1.000000000000
001,000085,000085,188,36,1.000000000000
001,000090,000090,504,50,1.000000000000
001,000095,000095,38,7,1.000000000000
001,000100,000100,20,17,1.000000000000
001,000105,000105,23,16,1.000000000000
001,000110,000045,0,1,0.005376344086
001,000110,000110,185,37,0.994623655914
001,000115,000115,41,12,1.000000000000
001,000120,000120,384,31,1.000000000000
001,000125,000125,96,31,1.000000000000
001,000130,000130,170,33,1.000000000000
001,000132,000132,60,12,1.000000000000
001,000135,000135,353,27,1.000000000000
001,000140,000140,180,45,1.000000000000
001,000145,000145,983,59,1.000000000000
001,000150,000110,0,1,0.006134969325
001,000150,000150,162,20,0.993865030675
001,000155,000155,116,15,1.000000000000
001,000160,000160,120,18,1.000000000000
001,000165,000165,85,24,1.000000000000
001,000170,000170,64,7,1.000000000000
001,000175,000055,0,1,0.000821692687
001,000175,000175,1216,109,0.999178307313
001,000180,000180,320,34,1.000000000000
001,000185,000185,522,52,1.000000000000
001,000190,000190,62,14,1.000000000000
001,000195,000195,137,35,1.000000000000
001,000200,000200,40,25,1.000000000000
001,000205,000205,335,26,1.000000000000
001,000210,000210,312,31,1.000000000000
001,000215,000215,251,20,1.000000000000
001,000220,000220,38,13,1.000000000000
001,000225,000225,120,27,1.000000000000
001,000230,000230,212,40,1.000000000000
001,000240,000240,8,18,0.166666666667
001,000240,000250,40,7,0.833333333333
001,000255,000250,27,10,1.000000000000
001,000260,000250,124,48,1.000000000000
001,000285,000130,0,1,0.013888888889
001,000285,000250,71,18,0.986111111111
001,000290,000250,93,30,1.000000000000
003,000005,000005,3221,71,1.000000000000
