precinct_key,district_num,district_code,area_weight,block_count,total_blocks,countyfp,vtdst20
Aitkin - 000240,7,7,1.0000000000,25,25,001,000240
Aitkin - 000255,7,7,1.0000000000,10,10,001,000255
Aitkin - 000260,7,7,1.0000000000,49,49,001,000260
Aitkin - 000285,7,7,1.0000000000,19,19,001,000285
Aitkin - 000290,7,7,1.0000000000,30,30,001,000290
Anoka - 000005,31,31,1.0000000000,71,71,003,000005
Anoka - 000010,31,31,1.0000000000,67,67,003,000010
Anoka - 000015,31,31,0.9215686275,47,51,003,000015
Anoka - 000015,35,35,0.0784313725,4,51,003,000015
Anoka - 000020,31,31,1.0000000000,34,34,003,000020
Anoka - 000025,31,31,1.0000000000,34,34,003,000025
Anoka - 000030,31,31,1.0000000000,60,60,003,000030
Anoka - 000035,31,31,1.0000000000,24,24,003,000035
Anoka - 000040,31,31,1.0000000000,38,38,003,000040
Anoka - 000045,35,35,1.0000000000,34,34,003,000045
Anoka - 000050,31,31,0.0338983051,2,59,003,000050
Anoka - 000050,35,35,0.9661016949,57,59,003,000050
Anoka - 000105,35,35,1.0000000000,48,48,003,000105
Anoka - 000110,35,35,1.0000000000,30,30,003,000110
Anoka - 000115,31,31,0.0338983051,2,59,003,000115
Anoka - 000115,35,35,0.9661016949,57,59,003,000115
Anoka - 000120,35,35,1.0000000000,42,42,003,000120
Anoka - 000125,35,35,1.0000000000,40,40,003,000125
Anoka - 000130,35,35,1.0000000000,83,83,003,000130
Anoka - 000135,31,31,0.0357142857,1,28,003,000135
Anoka - 000135,35,35,0.9642857143,27,28,003,000135
Anoka - 000140,31,31,0.1428571429,4,28,003,000140
Anoka - 000140,35,35,0.8571428571,24,28,003,000140
Anoka - 000205,27,27,1.0000000000,20,20,003,000205
Anoka - 000305,32,32,1.0000000000,34,34,003,000305
Anoka - 000310,32,32,1.0000000000,37,37,003,000310
Anoka - 000315,32,32,1.0000000000,49,49,003,000315
Anoka - 000320,32,32,1.0000000000,39,39,003,000320
Anoka - 000325,32,32,1.0000000000,153,153,003,000325
Anoka - 000330,32,32,1.0000000000,36,36,003,000330
Anoka - 000335,32,32,1.0000000000,47,47,003,000335
Anoka - 000340,32,32,1.0000000000,36,36,003,000340
Anoka - 000405,32,32,1.0000000000,29,29,003,000405
Anoka - 000410,32,32,1.0000000000,27,27,003,000410
Anoka - 000415,32,32,1.0000000000,45,45,003,000415
Anoka - 000420,32,32,1.0000000000,25,25,003,000420
Anoka - 000425,32,32,1.0000000000,42,42,003,000425
Anoka - 000430,32,32,1.0000000000,35,35,003,000430
Anoka - 000435,32,32,1.0000000000,20,20,003,000435
Anoka - 000440,32,32,1.0000000000,56,56,003,000440
Anoka - 000505,32,32,1.0000000000,45,45,003,000505
Anoka - 000510,32,32,1.0000000000,31,31,003,000510
Anoka - 000515,32,32,1.0000000000,29,29,003,000515
Anoka - 000520,32,32,1.0000000000,41,41,003,000520
Anoka - 000525,32,32,1.0000000000,38,38,003,000525
Anoka - 000530,32,32,1.0000000000,53,53,003,000530
Anoka - 000535,32,32,1.0000000000,65,65,003,000535
Anoka - 000540,32,32,1.0000000000,28,28,003,000540
Anoka - 000605,36,36,1.0000000000,54,54,003,000605
Anoka - 000705,32,32,0.0909090909,3,33,003,000705
Anoka - 000705,36,36,0.9090909091,30,33,003,000705
Anoka - 000710,32,32,0.0625000000,2,32,003,000710
Anoka - 000710,36,36,0.9375000000,30,32,003,000710
Anoka - 000805,39,39,1.0000000000,44,44,003,000805
Anoka - 000810,39,39,1.0000000000,41,41,003,000810
Anoka - 000815,39,39,1.0000000000,21,21,003,000815
Anoka - 000820,39,39,1.0000000000,36,36,003,000820
Anoka - 000825,39,39,1.0000000000,38,38,003,000825
Anoka - 000830,39,39,1.0000000000,30,30,003,000830
Anoka - 000835,39,39,1.0000000000,42,42,003,000835
Anoka - 000840,39,39,1.0000000000,42,42,003,000840
Anoka - 000905,32,32,1.0000000000,81,81,003,000905
Anoka - 001005,35,35,1.0000000000,67,67,003,001005
Anoka - 001010,35,35,1.0000000000,38,38,003,001010
Anoka - 001015,35,35,1.0000000000,57,57,003,001015
Anoka - 001020,35,35,1.0000000000,24,24,003,001020
Anoka - 001105,35,35,1.0000000000,29,29,003,001105
Anoka - 001110,35,35,1.0000000000,26,26,003,001110
Anoka - 001115,35,35,1.0000000000,30,30,003,001115
Anoka - 001120,35,35,1.0000000000,23,23,003,001120
Anoka - 001125,35,35,1.0000000000,41,41,003,001125
Anoka - 001205,35,35,1.0000000000,46,46,003,001205
Anoka - 001210,35,35,1.0000000000,26,26,003,001210
Anoka - 001215,34,34,0.0416666667,2,48,003,001215
Anoka - 001215,35,35,0.9583333333,46,48,003,001215
Anoka - 001220,34,34,0.0655737705,4,61,003,001220
Anoka - 001220,35,35,0.9344262295,57,61,003,001220
Anoka - 001305,35,35,1.0000000000,21,21,003,001305
Anoka - 001310,35,35,1.0000000000,30,30,003,001310
Anoka - 001315,35,35,1.0000000000,35,35,003,001315
Anoka - 001320,35,35,1.0000000000,48,48,003,001320
Anoka - 001405,35,35,1.0000000000,50,50,003,001405
Anoka - 001410,35,35,1.0000000000,55,55,003,001410
Anoka - 001415,35,35,1.0000000000,45,45,003,001415
Anoka - 001420,34,34,0.7454545455,41,55,003,001420
Anoka - 001420,35,35,0.2545454545,14,55,003,001420
Anoka - 001425,34,34,0.9687500000,31,32,003,001425
Anoka - 001425,39,39,0.0312500000,1,32,003,001425
Anoka - 001505,31,31,1.0000000000,65,65,003,001505
Anoka - 001510,31,31,1.0000000000,65,65,003,001510
Anoka - 001515,31,31,1.0000000000,77,77,003,001515
Anoka - 001605,39,39,1.0000000000,43,43,003,001605
Anoka - 001610,39,39,1.0000000000,37,37,003,001610
Anoka - 001615,39,39,1.0000000000,48,48,003,001615
Anoka - 001620,39,39,1.0000000000,48,48,003,001620
Anoka - 001705,39,39,1.0000000000,46,46,003,001705
Anoka - 001710,39,39,1.0000000000,24,24,003,001710
Anoka - 001715,39,39,1.0000000000,38,38,003,001715
Anoka - 001720,39,39,1.0000000000,29,29,003,001720
Anoka - 001805,34,34,0.0120481928,1,83,003,001805
Anoka - 001805,39,39,0.9879518072,82,83,003,001805
Anoka - 001810,39,39,1.0000000000,54,54,003,001810
Anoka - 001815,39,39,1.0000000000,26,26,003,001815
Anoka - 001820,39,39,1.0000000000,73,73,003,001820
Anoka - 001905,31,31,1.0000000000,58,58,003,001905
Anoka - 001910,31,31,0.2291666667,11,48,003,001910
Anoka - 001910,32,32,0.7708333333,37,48,003,001910
Anoka - 001915,31,31,1.0000000000,42,42,003,001915
Anoka - 001920,31,31,0.2363636364,13,55,003,001920
Anoka - 001920,32,32,0.7636363636,42,55,003,001920
Anoka - 001925,32,32,1.0000000000,27,27,003,001925
Anoka - 001930,32,32,1.0000000000,42,42,003,001930
Anoka - 002005,39,39,1.0000000000,12,12,003,002005
Anoka - 002105,32,32,1.0000000000,35,35,003,002105
Anoka - 002205,36,36,1.0000000000,49,49,003,002205
Anoka - 002210,36,36,1.0000000000,47,47,003,002210
Anoka - 002215,36,36,1.0000000000,38,38,003,002215
Anoka - 002220,36,36,1.0000000000,54,54,003,002220
Anoka - 002225,36,36,1.0000000000,22,22,003,002225
Anoka - 002230,36,36,1.0000000000,74,74,003,002230
Anoka - 002235,36,36,1.0000000000,29,29,003,002235
Anoka - 002305,31,31,1.0000000000,85,85,003,002305
Anoka - 002310,31,31,1.0000000000,52,52,003,002310
Anoka - 002405,30,30,1.0000000000,75,75,003,002405
Anoka - 002410,30,30,1.0000000000,44,44,003,002410
Anoka - 002505,31,31,1.0000000000,46,46,003,002505
Anoka - 002510,30,30,1.0000000000,47,47,003,002510
Anoka - 002515,31,31,1.0000000000,57,57,003,002515
Anoka - 002520,30,30,0.1509433962,8,53,003,002520
Anoka - 002520,31,31,0.8490566038,45,53,003,002520
Anoka - 002605,31,31,1.0000000000,66,66,003,002605
Anoka - 002610,31,31,1.0000000000,32,32,003,002610
Anoka - 002705,31,31,1.0000000000,43,43,003,002705
Anoka - 002710,31,31,1.0000000000,79,79,003,002710
Anoka - 002805,31,31,1.0000000000,106,106,003,002805
Anoka - 002810,31,31,1.0000000000,44,44,003,002810
Anoka - 002905,31,31,1.0000000000,39,39,003,002905
Anoka - 002910,31,31,1.0000000000,41,41,003,002910
Anoka - 003005,27,27,1.0000000000,75,75,003,003005
Anoka - 003010,27,27,1.0000000000,36,36,003,003010
Anoka - 003105,39,39,1.0000000000,31,31,003,003105
Anoka - 003110,39,39,1.0000000000,42,42,003,003110
Anoka - 003115,39,39,1.0000000000,55,55,003,003115
Becker - 000005,4,4,1.0000000000,42,42,005,000005
Becker - 000010,4,4,1.0000000000,34,34,005,000010
Becker - 000015,4,4,1.0000000000,88,88,005,000015
Becker - 000020,5,5,1.0000000000,95,95,005,000020
Becker - 000025,2,2,1.0000000000,27,27,005,000025
Becker - 000030,2,2,1.0000000000,47,47,005,000030
Becker - 000035,5,5,1.0000000000,35,35,005,000035
Becker - 000040,4,4,1.0000000000,66,66,005,000040
Becker - 000045,4,4,1.0000000000,51,51,005,000045
Becker - 000050,4,4,1.0000000000,43,43,005,000050
Becker - 000051,4,4,1.0000000000,65,65,005,000051
Becker - 000052,4,4,1.0000000000,1,1,005,000052
Becker - 000055,4,4,1.0000000000,132,132,005,000055
Becker - 000065,4,4,1.0000000000,72,72,005,000065
Becker - 000075,4,4,1.0000000000,104,104,005,000075
Becker - 000082,2,2,1.0000000000,41,41,005,000082
Becker - 000085,5,5,1.0000000000,63,63,005,000085
Becker - 000090,5,5,1.0000000000,34,34,005,000090
Becker - 000095,2,2,1.0000000000,31,31,005,000095
Becker - 000100,5,5,1.0000000000,66,66,005,000100
Becker - 000105,5,5,1.0000000000,44,44,005,000105
Becker - 000110,4,4,1.0000000000,63,63,005,000110
Becker - 000115,5,5,1.0000000000,89,89,005,000115
Becker - 000120,5,5,1.0000000000,40,40,005,000120
Becker - 000125,4,4,1.0000000000,75,75,005,000125
Becker - 000130,4,4,1.0000000000,38,38,005,000130
Becker - 000135,4,4,1.0000000000,51,51,005,000135
Becker - 000140,4,4,1.0000000000,99,99,005,000140
Becker - 000145,2,2,1.0000000000,28,28,005,000145
Becker - 000150,2,2,1.0000000000,14,14,005,000150
Becker - 000155,5,5,1.0000000000,50,50,005,000155
Becker - 000160,2,2,1.0000000000,42,42,005,000160
Becker - 000165,2,2,1.0000000000,46,46,005,000165
Becker - 000170,4,4,1.0000000000,52,52,005,000170
Becker - 000175,2,2,1.0000000000,80,80,005,000175
Becker - 000180,5,5,1.0000000000,35,35,005,000180
Becker - 000185,5,5,1.0000000000,26,26,005,000185
Becker - 000190,5,5,1.0000000000,25,25,005,000190
Becker - 000195,5,5,1.0000000000,29,29,005,000195
Becker - 000200,2,2,1.0000000000,23,23,005,000200
Becker - 000205,5,5,1.0000000000,45,45,005,000205
Becker - 000210,2,2,1.0000000000,58,58,005,000210
Becker - 000215,5,5,1.0000000000,40,40,005,000215
Becker - 000220,2,2,0.0277777778,1,36,005,000220
Becker - 000220,5,5,0.9722222222,35,36,005,000220
Becker - 000225,4,4,1.0000000000,29,29,005,000225
Becker - 000230,2,2,1.0000000000,50,50,005,000230
Becker - 000235,5,5,1.0000000000,9,9,005,000235
Becker - 000240,5,5,1.0000000000,30,30,005,000240
Beltrami - 000005,2,2,1.0000000000,30,30,007,000005
Beltrami - 000010,2,2,1.0000000000,11,11,007,000010
Beltrami - 000015,2,2,1.0000000000,115,115,007,000015
Beltrami - 000020,2,2,1.0000000000,89,89,007,000020
Beltrami - 000025,2,2,1.0000000000,78,78,007,000025
Beltrami - 000030,2,2,1.0000000000,44,44,007,000030
Beltrami - 000032,2,2,1.0000000000,12,12,007,000032
Beltrami - 000035,2,2,1.0000000000,126,126,007,000035
Beltrami - 000040,2,2,1.0000000000,114,114,007,000040
Beltrami - 000045,2,2,1.0000000000,30,30,007,000045
Beltrami - 000050,2,2,1.0000000000,21,21,007,000050
Beltrami - 000055,2,2,1.0000000000,50,50,007,000055
Beltrami - 000060,2,2,1.0000000000,29,29,007,000060
Beltrami - 000065,2,2,1.0000000000,26,26,007,000065
Beltrami - 000070,2,2,1.0000000000,27,27,007,000070
Beltrami - 000075,2,2,1.0000000000,77,77,007,000075
Beltrami - 000080,2,2,1.0000000000,83,83,007,000080
Beltrami - 000085,2,2,1.0000000000,8,8,007,000085
Beltrami - 000090,2,2,1.0000000000,49,49,007,000090
Beltrami - 000095,2,2,1.0000000000,32,32,007,000095
Beltrami - 000100,2,2,1.0000000000,23,23,007,000100
Beltrami - 000105,2,2,1.0000000000,43,43,007,000105
Beltrami - 000110,2,2,1.0000000000,24,24,007,000110
Beltrami - 000115,2,2,1.0000000000,20,20,007,000115
Beltrami - 000120,2,2,1.0000000000,20,20,007,000120
Beltrami - 000125,2,2,1.0000000000,15,15,007,000125
Beltrami - 000130,2,2,1.0000000000,55,55,007,000130
Beltrami - 000135,2,2,1.0000000000,13,13,007,000135
Beltrami - 000140,2,2,1.0000000000,25,25,007,000140
Beltrami - 000145,2,2,1.0000000000,33,33,007,000145
Beltrami - 000150,2,2,1.0000000000,16,16,007,000150
Beltrami - 000155,2,2,1.0000000000,16,16,007,000155
Beltrami - 000160,2,2,1.0000000000,36,36,007,000160
Beltrami - 000165,2,2,1.0000000000,48,48,007,000165
Beltrami - 000170,2,2,1.0000000000,118,118,007,000170
Beltrami - 000172,2,2,1.0000000000,6,6,007,000172
Beltrami - 000175,2,2,1.0000000000,11,11,007,000175
Beltrami - 000180,2,2,1.0000000000,52,52,007,000180
Beltrami - 000185,2,2,1.0000000000,42,42,007,000185
Beltrami - 000190,2,2,1.0000000000,23,23,007,000190
Beltrami - 000195,2,2,1.0000000000,88,88,007,000195
Beltrami - 000200,2,2,1.0000000000,73,73,007,000200
Beltrami - 000202,2,2,1.0000000000,40,40,007,000202
Beltrami - 000205,2,2,1.0000000000,23,23,007,000205
Beltrami - 000210,2,2,1.0000000000,23,23,007,000210
Beltrami - 000215,2,2,1.0000000000,22,22,007,000215
Beltrami - 000220,2,2,1.0000000000,19,19,007,000220
Beltrami - 000225,2,2,1.0000000000,27,27,007,000225
Beltrami - 000230,2,2,1.0000000000,21,21,007,000230
Beltrami - 000235,2,2,1.0000000000,35,35,007,000235
Beltrami - 000240,2,2,1.0000000000,22,22,007,000240
Beltrami - 000245,2,2,1.0000000000,34,34,007,000245
Beltrami - 000250,2,2,1.0000000000,38,38,007,000250
Beltrami - 000255,2,2,1.0000000000,18,18,007,000255
Beltrami - 000260,2,2,1.0000000000,53,53,007,000260
Beltrami - 000265,2,2,1.0000000000,5,5,007,000265
Beltrami - 000270,2,2,1.0000000000,45,45,007,000270
Beltrami - 000275,2,2,1.0000000000,157,157,007,000275
Beltrami - 000280,2,2,1.0000000000,19,19,007,000280
Beltrami - 000285,2,2,1.0000000000,37,37,007,000285
Beltrami - 000290,2,2,1.0000000000,32,32,007,000290
Beltrami - 000295,2,2,1.0000000000,27,27,007,000295
Beltrami - 000300,2,2,1.0000000000,17,17,007,000300
Benton - 000005,10,10,1.0000000000,37,37,009,000005
Benton - 000010,10,10,1.0000000000,58,58,009,000010
Benton - 000015,10,10,1.0000000000,13,13,009,000015
Benton - 000020,10,10,1.0000000000,51,51,009,000020
Benton - 000025,10,10,1.0000000000,47,47,009,000025
Benton - 000030,10,10,1.0000000000,49,49,009,000030
Benton - 000035,10,10,1.0000000000,43,43,009,000035
Benton - 000040,10,10,1.0000000000,82,82,009,000040
Benton - 000045,10,10,1.0000000000,51,51,009,000045
Benton - 000050,10,10,1.0000000000,78,78,009,000050
Benton - 000055,13,13,0.0416666667,4,96,009,000055
Benton - 000055,14,14,0.9583333333,92,96,009,000055
Benton - 000056,13,13,1.0000000000,1,1,009,000056
Benton - 000060,10,10,1.0000000000,53,53,009,000060
Benton - 000067,10,10,1.0000000000,4,4,009,000067
Benton - 000070,14,14,1.0000000000,49,49,009,000070
Benton - 000080,14,14,1.0000000000,66,66,009,000080
Benton - 000085,13,13,0.0243902439,1,41,009,000085
Benton - 000085,14,14,0.9756097561,40,41,009,000085
Benton - 000090,10,10,1.0000000000,59,59,009,000090
Benton - 000095,13,13,1.0000000000,45,45,009,000095
Benton - 000100,13,13,1.0000000000,87,87,009,000100
Benton - 000105,13,13,1.0000000000,68,68,009,000105
Benton - 000110,13,13,1.0000000000,36,36,009,000110
Benton - 000111,13,13,1.0000000000,35,35,009,000111
Benton - 000112,13,13,1.0000000000,41,41,009,000112
Benton - 000113,14,14,1.0000000000,2,2,009,000113
Benton - 000115,13,13,1.0000000000,41,41,009,000115
Benton - 000120,10,10,1.0000000000,85,85,009,000120
Big Stone - 000005,12,12,1.0000000000,74,74,011,000005
Big Stone - 000010,12,12,1.0000000000,35,35,011,000010
Big Stone - 000015,12,12,1.0000000000,48,48,011,000015
Big Stone - 000020,12,12,1.0000000000,13,13,011,000020
Big Stone - 000025,12,12,1.0000000000,51,51,011,000025
Big Stone - 000030,12,12,1.0000000000,48,48,011,000030
Big Stone - 000031,12,12,1.0000000000,29,29,011,000031
Big Stone - 000035,12,12,1.0000000000,31,31,011,000035
Big Stone - 000040,12,12,1.0000000000,11,11,011,000040
Big Stone - 000045,12,12,1.0000000000,34,34,011,000045
Big Stone - 000050,12,12,1.0000000000,57,57,011,000050
Big Stone - 000055,12,12,1.0000000000,41,41,011,000055
Big Stone - 000056,12,12,1.0000000000,12,12,011,000056
Big Stone - 000060,12,12,1.0000000000,27,27,011,000060
Big Stone - 000065,12,12,1.0000000000,39,39,011,000065
Big Stone - 000070,12,12,1.0000000000,21,21,011,000070
Big Stone - 000075,12,12,1.0000000000,41,41,011,000075
Big Stone - 000080,12,12,1.0000000000,43,43,011,000080
Big Stone - 000085,12,12,1.0000000000,72,72,011,000085
Big Stone - 000086,12,12,1.0000000000,20,20,011,000086
Big Stone - 000090,12,12,1.0000000000,32,32,011,000090
Big Stone - 000095,12,12,1.0000000000,58,58,011,000095
Big Stone - 000100,12,12,1.0000000000,32,32,011,000100
Blue Earth - 000005,22,22,1.0000000000,24,24,013,000005
Blue Earth - 000010,22,22,1.0000000000,37,37,013,000010
Blue Earth - 000015,15,15,1.0000000000,45,45,013,000015
Blue Earth - 000020,15,15,1.0000000000,51,51,013,000020
Blue Earth - 000025,22,22,1.0000000000,59,59,013,000025
Blue Earth - 000030,22,22,1.0000000000,51,51,013,000030
Blue Earth - 000035,22,22,1.0000000000,68,68,013,000035
Blue Earth - 000040,18,18,1.0000000000,57,57,013,000040
Blue Earth - 000045,22,22,1.0000000000,84,84,013,000045
Blue Earth - 000050,22,22,1.0000000000,25,25,013,000050
Blue Earth - 000055,22,22,1.0000000000,50,50,013,000055
Blue Earth - 000060,15,15,0.8317757009,89,107,013,000060
Blue Earth - 000060,22,22,0.1682242991,18,107,013,000060
Blue Earth - 000065,22,22,1.0000000000,94,94,013,000065
Blue Earth - 000070,18,18,0.0388349515,4,103,013,000070
Blue Earth - 000070,22,22,0.9611650485,99,103,013,000070
Blue Earth - 000075,18,18,0.9803921569,50,51,013,000075
Blue Earth - 000075,22,22,0.0196078431,1,51,013,000075
Blue Earth - 000080,22,22,1.0000000000,64,64,013,000080
Blue Earth - 000085,22,22,1.0000000000,74,74,013,000085
Blue Earth - 000090,22,22,1.0000000000,74,74,013,000090
Blue Earth - 000095,22,22,1.0000000000,45,45,013,000095
Blue Earth - 000100,18,18,1.0000000000,46,46,013,000100
Blue Earth - 000105,18,18,1.0000000000,23,23,013,000105
Blue Earth - 000106,18,18,1.0000000000,28,28,013,000106
Blue Earth - 000110,18,18,1.0000000000,10,10,013,000110
Blue Earth - 000115,18,18,1.0000000000,5,5,013,000115
Blue Earth - 000120,18,18,1.0000000000,6,6,013,000120
Blue Earth - 000125,18,18,1.0000000000,21,21,013,000125
Blue Earth - 000130,18,18,1.0000000000,25,25,013,000130
Blue Earth - 000135,18,18,1.0000000000,70,70,013,000135
Blue Earth - 000140,18,18,1.0000000000,55,55,013,000140
Blue Earth - 000142,18,18,1.0000000000,18,18,013,000142
Blue Earth - 000145,18,18,1.0000000000,12,12,013,000145
Blue Earth - 000150,18,18,1.0000000000,26,26,013,000150
Blue Earth - 000155,18,18,1.0000000000,39,39,013,000155
Blue Earth - 000160,18,18,1.0000000000,54,54,013,000160
Blue Earth - 000165,18,18,1.0000000000,137,137,013,000165
Blue Earth - 000170,18,18,1.0000000000,118,118,013,000170
Blue Earth - 000175,18,18,1.0000000000,32,32,013,000175
Blue Earth - 000195,18,18,1.0000000000,38,38,013,000195
Blue Earth - 000197,18,18,0.4950495050,50,101,013,000197
Blue Earth - 000197,22,22,0.5049504950,51,101,013,000197
Blue Earth - 000200,22,22,1.0000000000,66,66,013,000200
Blue Earth - 000205,22,22,1.0000000000,52,52,013,000205
Blue Earth - 000210,22,22,1.0000000000,69,69,013,000210
Blue Earth - 000212,22,22,1.0000000000,3,3,013,000212
Blue Earth - 000215,22,22,1.0000000000,17,17,013,000215
Blue Earth - 000220,22,22,1.0000000000,84,84,013,000220
Blue Earth - 000225,22,22,1.0000000000,73,73,013,000225
Blue Earth - 000230,22,22,1.0000000000,22,22,013,000230
Blue Earth - 000235,22,22,1.0000000000,64,64,013,000235
Blue Earth - 000240,18,18,1.0000000000,4,4,013,000240
Blue Earth - 000245,18,18,0.0100000000,1,100,013,000245
Blue Earth - 000245,22,22,0.9900000000,99,100,013,000245
Blue Earth - 000250,22,22,1.0000000000,59,59,013,000250
Blue Earth - 000255,22,22,1.0000000000,22,22,013,000255
Blue Earth - 000260,22,22,1.0000000000,66,66,013,000260
Brown - 000005,15,15,1.0000000000,53,53,015,000005
Brown - 000010,15,15,1.0000000000,46,46,015,000010
Brown - 000015,15,15,1.0000000000,44,44,015,000015
Brown - 000020,15,15,1.0000000000,12,12,015,000020
Brown - 000025,15,15,1.0000000000,28,28,015,000025
Brown - 000030,15,15,1.0000000000,50,50,015,000030
Brown - 000035,15,15,1.0000000000,59,59,015,000035
Brown - 000040,15,15,1.0000000000,14,14,015,000040
Brown - 000045,15,15,1.0000000000,25,25,015,000045
Brown - 000050,15,15,1.0000000000,79,79,015,000050
Brown - 000055,15,15,1.0000000000,33,33,015,000055
Brown - 000060,15,15,1.0000000000,47,47,015,000060
Brown - 000065,15,15,1.0000000000,46,46,015,000065
Brown - 000070,15,15,1.0000000000,64,64,015,000070
Brown - 000075,15,15,1.0000000000,46,46,015,000075
Brown - 000080,15,15,1.0000000000,72,72,015,000080
Brown - 000085,15,15,1.0000000000,87,87,015,000085
Brown - 000090,15,15,1.0000000000,67,67,015,000090
Brown - 000095,15,15,1.0000000000,92,92,015,000095
Brown - 000100,15,15,1.0000000000,40,40,015,000100
Brown - 000105,15,15,1.0000000000,45,45,015,000105
Brown - 000110,15,15,1.0000000000,41,41,015,000110
Brown - 000115,15,15,1.0000000000,27,27,015,000115
Brown - 000120,15,15,1.0000000000,55,55,015,000120
Brown - 000125,15,15,1.0000000000,57,57,015,000125
Brown - 000130,15,15,1.0000000000,52,52,015,000130
Brown - 000135,15,15,1.0000000000,74,74,015,000135
Brown - 000140,15,15,1.0000000000,70,70,015,000140
Brown - 000145,15,15,1.0000000000,60,60,015,000145
Brown - 000150,15,15,1.0000000000,54,54,015,000150
Brown - 000155,15,15,1.0000000000,32,32,015,000155
Brown - 000160,15,15,1.0000000000,61,61,015,000160
Carlton - 000005,11,11,1.0000000000,19,19,017,000005
Carlton - 000010,11,11,1.0000000000,30,30,017,000010
Carlton - 000015,11,11,1.0000000000,25,25,017,000015
Carlton - 000020,11,11,1.0000000000,73,73,017,000020
Carlton - 000025,11,11,1.0000000000,12,12,017,000025
Carlton - 000030,11,11,1.0000000000,63,63,017,000030
Carlton - 000035,11,11,1.0000000000,55,55,017,000035
Carlton - 000040,11,11,1.0000000000,57,57,017,000040
Carlton - 000045,11,11,1.0000000000,86,86,017,000045
Carlton - 000050,11,11,1.0000000000,79,79,017,000050
Carlton - 000055,11,11,1.0000000000,69,69,017,000055
Carlton - 000060,11,11,1.0000000000,71,71,017,000060
Carlton - 000065,11,11,1.0000000000,22,22,017,000065
Carlton - 000068,11,11,1.0000000000,46,46,017,000068
Carlton - 000070,11,11,1.0000000000,22,22,017,000070
Carlton - 000075,11,11,1.0000000000,24,24,017,000075
Carlton - 000080,11,11,1.0000000000,38,38,017,000080
Carlton - 000085,11,11,1.0000000000,38,38,017,000085
Carlton - 000090,11,11,1.0000000000,39,39,017,000090
Carlton - 000095,11,11,1.0000000000,15,15,017,000095
Carlton - 000100,11,11,1.0000000000,26,26,017,000100
Carlton - 000105,11,11,1.0000000000,51,51,017,000105
