precinct_key,district_num,district_code,area_weight,block_count,total_blocks,countyfp,vtdst20
Aitkin - 000005,10,10,1.0000000000,99,99,001,000005
Aitkin - 000010,10,10,1.0000000000,73,73,001,000010
Aitkin - 000015,7,7,1.0000000000,50,50,001,000015
Aitkin - 000020,7,7,1.0000000000,14,14,001,000020
Aitkin - 000025,10,10,1.0000000000,10,10,001,000025
Aitkin - 000030,7,7,1.0000000000,29,29,001,000030
Aitkin - 000035,7,7,1.0000000000,15,15,001,000035
Aitkin - 000038,10,10,1.0000000000,23,23,001,000038
Aitkin - 000040,6,6,0.0136986301,1,73,001,000040
Aitkin - 000040,10,10,0.9863013699,72,73,001,000040
Aitkin - 000045,7,7,1.0000000000,47,47,001,000045
Aitkin - 000050,10,10,1.0000000000,34,34,001,000050
Aitkin - 000055,7,7,1.0000000000,23,23,001,000055
Aitkin - 000060,10,10,1.0000000000,47,47,001,000060
Aitkin - 000065,7,7,1.0000000000,57,57,001,000065
Aitkin - 000070,7,7,1.0000000000,45,45,001,000070
Aitkin - 000075,10,10,1.0000000000,15,15,001,000075
Aitkin - 000080,7,7,1.0000000000,29,29,001,000080
Aitkin - 000082,10,10,1.0000000000,4,4,001,000082
Aitkin - 000085,10,10,1.0000000000,36,36,001,000085
Aitkin - 000090,10,10,1.0000000000,50,50,001,000090
Aitkin - 000095,10,10,1.0000000000,7,7,001,000095
Aitkin - 000100,7,7,1.0000000000,17,17,001,000100
Aitkin - 000105,7,7,1.0000000000,16,16,001,000105
Aitkin - 000110,7,7,1.0000000000,38,38,001,000110
Aitkin - 000115,10,10,1.0000000000,12,12,001,000115
Aitkin - 000120,7,7,1.0000000000,31,31,001,000120
Aitkin - 000125,7,7,1.0000000000,31,31,001,000125
Aitkin - 000130,7,7,1.0000000000,33,33,001,000130
Aitkin - 000132,10,10,1.0000000000,12,12,001,000132
Aitkin - 000135,10,10,1.0000000000,27,27,001,000135
Aitkin - 000140,7,7,1.0000000000,45,45,001,000140
Aitkin - 000145,10,10,1.0000000000,59,59,001,000145
Aitkin - 000150,7,7,1.0000000000,21,21,001,000150
Aitkin - 000155,10,10,1.0000000000,15,15,001,000155
Aitkin - 000160,10,10,1.0000000000,18,18,001,000160
Aitkin - 000165,10,10,1.0000000000,24,24,001,000165
Aitkin - 000170,10,10,1.0000000000,7,7,001,000170
Aitkin - 000175,7,7,1.0000000000,110,110,001,000175
Aitkin - 000180,10,10,1.0000000000,34,34,001,000180
Aitkin - 000185,10,10,1.0000000000,52,52,001,000185
Aitkin - 000190,7,7,1.0000000000,14,14,001,000190
Aitkin - 000195,7,7,1.0000000000,35,35,001,000195
Aitkin - 000200,7,7,1.0000000000,25,25,001,000200
Aitkin - 000205,10,10,1.0000000000,26,26,001,000205
Aitkin - 000210,7,7,1.0000000000,31,31,001,000210
Aitkin - 000215,10,10,1.0000000000,20,20,001,000215
Aitkin - 000220,10,10,1.0000000000,13,13,001,000220
Aitkin - 000225,10,10,1.0000000000,27,27,001,000225
Aitkin - 000230,7,7,1.0000000000,40,40,001,000230
