county,office,district,party,candidate,votes
Aitkin,Attorney General,,DFL,Mike Hatch,4371
Aitkin,Attorney General,,IND,,434
Aitkin,Attorney General,,R,Tom Kelly,2879
Aitkin,Attorney General,,WI,WRITE-IN,1
Aitkin,Governor,,CP,,20
Aitkin,Governor,,DFL,Roger Moe,3064
Aitkin,Governor,,GP,,114
Aitkin,Governor,,I,,46
Aitkin,Governor,,IND,Tim Penny,1346
Aitkin,Governor,,R,Tim Pawlenty,3341
Aitkin,Governor,,SWP,,12
Aitkin,Governor,,WI,WRITE-IN,5
Aitkin,Secretary of State,,DFL,"Hubert H. ""Buck"" Humphrey",3593
Aitkin,Secretary of State,,GP,,120
Aitkin,Secretary of State,,IND,,506
Aitkin,Secretary of State,,R,Mary Kiffmeyer,3524
Aitkin,Secretary of State,,WI,WRITE-IN,2
Aitkin,State Auditor,,DFL,Carol Johnson,3626
Aitkin,State Auditor,,GP,,154
Aitkin,State Auditor,,IND,,741
Aitkin,State Auditor,,R,Patricia Anderson Awada,3002
Aitkin,State Auditor,,WI,WRITE-IN,2
Aitkin,U.S. Senate,,CP,,7
Aitkin,U.S. Senate,,DFL,Walter Mondale,3855
Aitkin,U.S. Senate,,GP,,41
Aitkin,U.S. Senate,,IND,Jim Moore,269
Aitkin,U.S. Senate,,R,Norm Coleman,3711
Aitkin,U.S. Senate,,WI,WRITE-IN,11
Anoka,Attorney General,,DFL,Mike Hatch,70554
Anoka,Attorney General,,IND,,5425
Anoka,Attorney General,,R,Tom Kelly,59509
Anoka,Attorney General,,WI,WRITE-IN,96
Anoka,Governor,,CP,,156
Anoka,Governor,,DFL,Roger Moe,45553
Anoka,Governor,,GP,,2172
Anoka,Governor,,I,,575
Anoka,Governor,,IND,Tim Penny,19161
Anoka,Governor,,R,Tim Pawlenty,71169
Anoka,Governor,,SWP,,161
Anoka,Governor,,WI,WRITE-IN,107
Anoka,Secretary of State,,DFL,"Hubert H. ""Buck"" Humphrey",56398
Anoka,Secretary of State,,GP,,2276
Anoka,Secretary of State,,IND,,6502
Anoka,Secretary of State,,R,Mary Kiffmeyer,69538
Anoka,Secretary of State,,WI,WRITE-IN,77
Anoka,State Auditor,,DFL,Carol Johnson,54485
Anoka,State Auditor,,GP,,3249
Anoka,State Auditor,,IND,,10225
Anoka,State Auditor,,R,Patricia Anderson Awada,63227
Anoka,State Auditor,,WI,WRITE-IN,112
Anoka,U.S. Senate,,CP,,129
Anoka,U.S. Senate,,DFL,Walter Mondale,57511
Anoka,U.S. Senate,,GP,,498
Anoka,U.S. Senate,,IND,Jim Moore,2722
Anoka,U.S. Senate,,R,Norm Coleman,78176
Anoka,U.S. Senate,,WI,WRITE-IN,0
Becker,Attorney General,,DFL,Mike Hatch,6423
Becker,Attorney General,,IND,,555
Becker,Attorney General,,R,Tom Kelly,5817
Becker,Attorney General,,WI,WRITE-IN,79
Becker,Governor,,CP,,20
Becker,Governor,,DFL,Roger Moe,5384
Becker,Governor,,GP,,161
Becker,Governor,,I,,59
Becker,Governor,,IND,Tim Penny,1392
Becker,Governor,,R,Tim Pawlenty,6145
Becker,Governor,,SWP,,19
Becker,Governor,,WI,WRITE-IN,11
Becker,Secretary of State,,DFL,"Hubert H. ""Buck"" Humphrey",5736
Becker,Secretary of State,,GP,,180
Becker,Secretary of State,,IND,,638
Becker,Secretary of State,,R,Mary Kiffmeyer,6294
Becker,Secretary of State,,WI,WRITE-IN,5
Becker,State Auditor,,DFL,Carol Johnson,5401
Becker,State Auditor,,GP,,313
Becker,State Auditor,,IND,,1081
Becker,State Auditor,,R,Patricia Anderson Awada,5998
Becker,State Auditor,,WI,WRITE-IN,7
Becker,U.S. Senate,,CP,,24
Becker,U.S. Senate,,DFL,Walter Mondale,5841
Becker,U.S. Senate,,GP,,32
Becker,U.S. Senate,,IND,Jim Moore,402
Becker,U.S. Senate,,R,Norm Coleman,6845
Becker,U.S. Senate,,WI,WRITE-IN,0
Beltrami,Attorney General,,DFL,Mike Hatch,8127
Beltrami,Attorney General,,IND,,559
Beltrami,Attorney General,,R,Tom Kelly,5978
Beltrami,Attorney General,,WI,WRITE-IN,14
Beltrami,Governor,,CP,,25
Beltrami,Governor,,DFL,Roger Moe,6720
Beltrami,Governor,,GP,,533
Beltrami,Governor,,I,,42
Beltrami,Governor,,IND,Tim Penny,1250
Beltrami,Governor,,R,Tim Pawlenty,6395
Beltrami,Governor,,SWP,,26
Beltrami,Governor,,WI,WRITE-IN,7
Beltrami,Secretary of State,,DFL,"Hubert H. ""Buck"" Humphrey",6914
Beltrami,Secretary of State,,GP,,553
Beltrami,Secretary of State,,IND,,537
Beltrami,Secretary of State,,R,Mary Kiffmeyer,6676
Beltrami,Secretary of State,,WI,WRITE-IN,11
Beltrami,State Auditor,,DFL,Carol Johnson,6950
Beltrami,State Auditor,,GP,,633
Beltrami,State Auditor,,IND,,804
Beltrami,State Auditor,,R,Patricia Anderson Awada,6007
Beltrami,State Auditor,,WI,WRITE-IN,8
Beltrami,U.S. Senate,,CP,,24
Beltrami,U.S. Senate,,DFL,Walter Mondale,7433
Beltrami,U.S. Senate,,GP,,141
Beltrami,U.S. Senate,,IND,Jim Moore,246
Beltrami,U.S. Senate,,R,Norm Coleman,7243
Beltrami,U.S. Senate,,WI,WRITE-IN,12
Benton,Attorney General,,DFL,Mike Hatch,7087
Benton,Attorney General,,IND,,689
Benton,Attorney General,,R,Tom Kelly,5264
Benton,Attorney General,,WI,WRITE-IN,8
Benton,Governor,,CP,,13
Benton,Governor,,DFL,Roger Moe,4336
Benton,Governor,,GP,,335
Benton,Governor,,I,,53
Benton,Governor,,IND,Tim Penny,2129
Benton,Governor,,R,Tim Pawlenty,6524
Benton,Governor,,SWP,,15
Benton,Governor,,WI,WRITE-IN,10
Benton,Secretary of State,,DFL,"Hubert H. ""Buck"" Humphrey",5228
Benton,Secretary of State,,GP,,247
Benton,Secretary of State,,IND,,534
Benton,Secretary of State,,R,Mary Kiffmeyer,7164
Benton,Secretary of State,,WI,WRITE-IN,6
Benton,State Auditor,,DFL,Carol Johnson,5526
Benton,State Auditor,,GP,,457
Benton,State Auditor,,IND,,1061
Benton,State Auditor,,R,Patricia Anderson Awada,5733
Benton,State Auditor,,WI,WRITE-IN,24
Benton,U.S. Senate,,CP,,14
Benton,U.S. Senate,,DFL,Walter Mondale,5807
Benton,U.S. Senate,,GP,,83
Benton,U.S. Senate,,IND,Jim Moore,391
Benton,U.S. Senate,,R,Norm Coleman,7193
Benton,U.S. Senate,,WI,WRITE-IN,46
Big Stone,Attorney General,,DFL,Mike Hatch,1562
Big Stone,Attorney General,,IND,,119
Big Stone,Attorney General,,R,Tom Kelly,961
Big Stone,Attorney General,,WI,WRITE-IN,0
Big Stone,Governor,,CP,,7
Big Stone,Governor,,DFL,Roger Moe,1192
Big Stone,Governor,,GP,,25
Big Stone,Governor,,I,,17
Big Stone,Governor,,IND,Tim Penny,315
Big Stone,Governor,,R,Tim Pawlenty,1116
Big Stone,Governor,,SWP,,6
Big Stone,Governor,,WI,WRITE-IN,4
Big Stone,Secretary of State,,DFL,"Hubert H. ""Buck"" Humphrey",1362
Big Stone,Secretary of State,,GP,,37
Big Stone,Secretary of State,,IND,,103
Big Stone,Secretary of State,,R,Mary Kiffmeyer,1163
Big Stone,Secretary of State,,WI,WRITE-IN,0
Big Stone,State Auditor,,DFL,Carol Johnson,1434
Big Stone,State Auditor,,GP,,51
Big Stone,State Auditor,,IND,,151
Big Stone,State Auditor,,R,Patricia Anderson Awada,992
Big Stone,State Auditor,,WI,WRITE-IN,0
Big Stone,U.S. Senate,,CP,,3
Big Stone,U.S. Senate,,DFL,Walter Mondale,1337
Big Stone,U.S. Senate,,GP,,8
Big Stone,U.S. Senate,,IND,Jim Moore,86
Big Stone,U.S. Senate,,R,Norm Coleman,1173
Big Stone,U.S. Senate,,WI,WRITE-IN,3
Blue Earth,Attorney General,,DFL,Mike Hatch,12511
Blue Earth,Attorney General,,IND,,1343
Blue Earth,Attorney General,,R,Tom Kelly,9616
Blue Earth,Attorney General,,WI,WRITE-IN,16
Blue Earth,Governor,,CP,,30
Blue Earth,Governor,,DFL,Roger Moe,6333
Blue Earth,Governor,,GP,,601
Blue Earth,Governor,,I,,67
Blue Earth,Governor,,IND,Tim Penny,8001
Blue Earth,Governor,,R,Tim Pawlenty,8925
Blue Earth,Governor,,SWP,,30
Blue Earth,Governor,,WI,WRITE-IN,13
Blue Earth,Secretary of State,,DFL,"Hubert H. ""Buck"" Humphrey",10755
Blue Earth,Secretary of State,,GP,,853
Blue Earth,Secretary of State,,IND,,1508
Blue Earth,Secretary of State,,R,Mary Kiffmeyer,10325
Blue Earth,Secretary of State,,WI,WRITE-IN,12
Blue Earth,State Auditor,,DFL,Carol Johnson,10107
Blue Earth,State Auditor,,GP,,983
Blue Earth,State Auditor,,IND,,2176
Blue Earth,State Auditor,,R,Patricia Anderson Awada,9790
Blue Earth,State Auditor,,WI,WRITE-IN,15
Blue Earth,U.S. Senate,,CP,,32
Blue Earth,U.S. Senate,,DFL,Walter Mondale,11435
Blue Earth,U.S. Senate,,GP,,245
Blue Earth,U.S. Senate,,IND,Jim Moore,719
Blue Earth,U.S. Senate,,R,Norm Coleman,11615
Blue Earth,U.S. Senate,,WI,WRITE-IN,17
Brown,Attorney General,,DFL,Mike Hatch,5292
Brown,Attorney General,,IND,,538
Brown,Attorney General,,R,Tom Kelly,5316
Brown,Attorney General,,WI,WRITE-IN,0
Brown,Governor,,CP,,13
Brown,Governor,,DFL,Roger Moe,2731
Brown,Governor,,GP,,142
Brown,Governor,,I,,44
Brown,Governor,,IND,Tim Penny,2586
Brown,Governor,,R,Tim Pawlenty,5833
Brown,Governor,,SWP,,15
Brown,Governor,,WI,WRITE-IN,0
Brown,Secretary of State,,DFL,"Hubert H. ""Buck"" Humphrey",4170
Brown,Secretary of State,,GP,,237
Brown,Secretary of State,,IND,,716
Brown,Secretary of State,,R,Mary Kiffmeyer,5978
Brown,Secretary of State,,WI,WRITE-IN,0
Brown,State Auditor,,DFL,Carol Johnson,4134
Brown,State Auditor,,GP,,267
Brown,State Auditor,,IND,,1028
Brown,State Auditor,,R,Patricia Anderson Awada,5527
Brown,State Auditor,,WI,WRITE-IN,0
Brown,U.S. Senate,,CP,,11
Brown,U.S. Senate,,DFL,Walter Mondale,4404
Brown,U.S. Senate,,GP,,47
Brown,U.S. Senate,,IND,Jim Moore,375
Brown,U.S. Senate,,R,Norm Coleman,6564
Brown,U.S. Senate,,WI,WRITE-IN,3
Carlton,Attorney General,,DFL,Mike Hatch,9739
Carlton,Attorney General,,IND,,543
Carlton,Attorney General,,R,Tom Kelly,3804
Carlton,Attorney General,,WI,WRITE-IN,10
Carlton,Governor,,CP,,20
Carlton,Governor,,DFL,Roger Moe,8198
Carlton,Governor,,GP,,177
Carlton,Governor,,I,,49
Carlton,Governor,,IND,Tim Penny,1489
Carlton,Governor,,R,Tim Pawlenty,4267
Carlton,Governor,,SWP,,16
Carlton,Governor,,WI,WRITE-IN,8
Carlton,Secretary of State,,DFL,"Hubert H. ""Buck"" Humphrey",8588
Carlton,Secretary of State,,GP,,244
Carlton,Secretary of State,,IND,,681
