county,office,district,party,candidate,votes
Aitkin,President,,BL,,75
Aitkin,President,,C,,16
Aitkin,President,,CF,,11
Aitkin,President,,DFL,John Kerry,4539
Aitkin,President,,GP,David Cobb,11
Aitkin,President,,LIB,Michael Badnarik,14
Aitkin,President,,R,George W. Bush,4768
Aitkin,President,,SE,,2
Aitkin,President,,SWP,,3
Aitkin,President,,WI,WRITE-IN,13
Anoka,President,,BL,,978
Anoka,President,,C,,197
Anoka,President,,CF,,123
Anoka,President,,DFL,John Kerry,80226
Anoka,President,,GP,David Cobb,232
Anoka,President,,LIB,Michael Badnarik,272
Anoka,President,,R,George W. Bush,91853
Anoka,President,,SE,,22
Anoka,President,,SWP,,17
Anoka,President,,WI,WRITE-IN,146
Becker,President,,BL,,143
Becker,President,,C,,23
Becker,President,,CF,,17
Becker,President,,DFL,John Kerry,6756
Becker,President,,GP,David Cobb,21
Becker,President,,LIB,Michael Badnarik,28
Becker,President,,R,George W. Bush,9795
Becker,President,,SE,,5
Becker,President,,SWP,,2
Becker,President,,WI,WRITE-IN,11
Beltrami,President,,BL,,131
Beltrami,President,,C,,22
Beltrami,President,,CF,,20
Beltrami,President,,DFL,John Kerry,10592
Beltrami,President,,GP,David Cobb,66
Beltrami,President,,LIB,Michael Badnarik,32
Beltrami,President,,R,George W. Bush,10237
Beltrami,President,,SE,,7
Beltrami,President,,SWP,,4
Beltrami,President,,WI,WRITE-IN,20
Benton,President,,BL,,140
Benton,President,,C,,26
Benton,President,,CF,,19
Benton,President,,DFL,John Kerry,8059
Benton,President,,GP,David Cobb,40
Benton,President,,LIB,Michael Badnarik,32
Benton,President,,R,George W. Bush,10043
Benton,President,,SE,,3
Benton,President,,SWP,,2
Benton,President,,WI,WRITE-IN,20
Big Stone,President,,BL,,26
Big Stone,President,,C,,5
Big Stone,President,,CF,,6
Big Stone,President,,DFL,John Kerry,1536
Big Stone,President,,GP,David Cobb,4
Big Stone,President,,LIB,Michael Badnarik,3
Big Stone,President,,R,George W. Bush,1483
Big Stone,President,,SE,,0
Big Stone,President,,SWP,,0
Big Stone,President,,WI,WRITE-IN,4
Blue Earth,President,,BL,,276
Blue Earth,President,,C,,38
Blue Earth,President,,CF,,39
Blue Earth,President,,DFL,John Kerry,16865
Blue Earth,President,,GP,David Cobb,65
Blue Earth,President,,LIB,Michael Badnarik,49
Blue Earth,President,,R,George W. Bush,15737
Blue Earth,President,,SE,,8
Blue Earth,President,,SWP,,1
Blue Earth,President,,WI,WRITE-IN,41
Brown,President,,BL,,117
Brown,President,,C,,20
Brown,President,,CF,,11
Brown,President,,DFL,John Kerry,5158
Brown,President,,GP,David Cobb,33
Brown,President,,LIB,Michael Badnarik,13
Brown,President,,R,George W. Bush,8395
Brown,President,,SE,,4
Brown,President,,SWP,,4
Brown,President,,WI,WRITE-IN,23
Carlton,President,,BL,,118
Carlton,President,,C,,24
Carlton,President,,CF,,15
Carlton,President,,DFL,John Kerry,11462
Carlton,President,,GP,David Cobb,29
Carlton,President,,LIB,Michael Badnarik,14
Carlton,President,,R,George W. Bush,6642
Carlton,President,,SE,,4
Carlton,President,,SWP,,1
Carlton,President,,WI,WRITE-IN,25
Carver,President,,BL,,222
Carver,President,,C,,28
Carver,President,,CF,,16
Carver,President,,DFL,John Kerry,16456
Carver,President,,GP,David Cobb,65
Carver,President,,LIB,Michael Badnarik,71
Carver,President,,R,George W. Bush,28510
Carver,President,,SE,,7
Carver,President,,SWP,,1
