county,office,district,party,candidate,votes
Aitkin,Attorney General,,DFL,Lori Swanson,4386
Aitkin,Attorney General,,IND,Independence Party,344
Aitkin,Attorney General,,R,Jeff Johnson,2982
Aitkin,Attorney General,,WI,WRITE-IN,2
Aitkin,Governor,,DFL,Mike Hatch,3992
Aitkin,Governor,,IND,Peter Hutchinson,538
Aitkin,Governor,,R,Tim Pawlenty,3473
Aitkin,Governor,,WI,WRITE-IN,4
Aitkin,Secretary of State,,DFL,Mark Ritchie,4016
Aitkin,Secretary of State,,IND,Independence Party,228
Aitkin,Secretary of State,,R,Mary Kiffmeyer,3298
Aitkin,Secretary of State,,WI,WRITE-IN,4
Aitkin,State Auditor,,DFL,Rebecca Otto,4260
Aitkin,State Auditor,,IND,Lucy Gerold,378
Aitkin,State Auditor,,R,Patricia Anderson Awada,3003
Aitkin,State Auditor,,WI,WRITE-IN,6
Aitkin,U.S. Senate,,DFL,Amy Klobuchar,4701
Aitkin,U.S. Senate,,IND,Robert Fitzgerald,300
Aitkin,U.S. Senate,,R,Mark Kennedy,3047
Aitkin,U.S. Senate,,WI,WRITE-IN,5
Anoka,Attorney General,,DFL,Lori Swanson,63865
Anoka,Attorney General,,IND,Independence Party,5244
Anoka,Attorney General,,R,Jeff Johnson,58190
Anoka,Attorney General,,WI,WRITE-IN,77
Anoka,Governor,,DFL,Mike Hatch,55989
Anoka,Governor,,IND,Peter Hutchinson,7752
Anoka,Governor,,R,Tim Pawlenty,68422
Anoka,Governor,,WI,WRITE-IN,56
Anoka,Secretary of State,,DFL,Mark Ritchie,59043
Anoka,Secretary of State,,IND,Independence Party,4104
Anoka,Secretary of State,,R,Mary Kiffmeyer,61782
Anoka,Secretary of State,,WI,WRITE-IN,90
Anoka,State Auditor,,DFL,Rebecca Otto,62721
Anoka,State Auditor,,IND,Lucy Gerold,6315
Anoka,State Auditor,,R,Patricia Anderson Awada,56161
Anoka,State Auditor,,WI,WRITE-IN,87
Anoka,U.S. Senate,,DFL,Amy Klobuchar,72660
Anoka,U.S. Senate,,IND,Robert Fitzgerald,4373
Anoka,U.S. Senate,,R,Mark Kennedy,55399
Anoka,U.S. Senate,,WI,WRITE-IN,60
Becker,Attorney General,,DFL,Lori Swanson,5890
Becker,Attorney General,,IND,Independence Party,397
Becker,Attorney General,,R,Jeff Johnson,6523
Becker,Attorney General,,WI,WRITE-IN,4
Becker,Governor,,DFL,Mike Hatch,5588
Becker,Governor,,IND,Peter Hutchinson,587
Becker,Governor,,R,Tim Pawlenty,6959
Becker,Governor,,WI,WRITE-IN,4
Becker,Secretary of State,,DFL,Mark Ritchie,5513
Becker,Secretary of State,,IND,Independence Party,327
Becker,Secretary of State,,R,Mary Kiffmeyer,6548
Becker,Secretary of State,,WI,WRITE-IN,2
Becker,State Auditor,,DFL,Rebecca Otto,5979
Becker,State Auditor,,IND,Lucy Gerold,487
Becker,State Auditor,,R,Patricia Anderson Awada,6194
Becker,State Auditor,,WI,WRITE-IN,2
Becker,U.S. Senate,,DFL,Amy Klobuchar,6816
Becker,U.S. Senate,,IND,Robert Fitzgerald,413
Becker,U.S. Senate,,R,Mark Kennedy,6016
Becker,U.S. Senate,,WI,WRITE-IN,2
Beltrami,Attorney General,,DFL,Lori Swanson,9046
Beltrami,Attorney General,,IND,Independence Party,480
Beltrami,Attorney General,,R,Jeff Johnson,6410
Beltrami,Attorney General,,WI,WRITE-IN,10
Beltrami,Governor,,DFL,Mike Hatch,8603
Beltrami,Governor,,IND,Peter Hutchinson,706
Beltrami,Governor,,R,Tim Pawlenty,7270
Beltrami,Governor,,WI,WRITE-IN,6
Beltrami,Secretary of State,,DFL,Mark Ritchie,8456
Beltrami,Secretary of State,,IND,Independence Party,305
Beltrami,Secretary of State,,R,Mary Kiffmeyer,7148
Beltrami,Secretary of State,,WI,WRITE-IN,9
Beltrami,State Auditor,,DFL,Rebecca Otto,8572
Beltrami,State Auditor,,IND,Lucy Gerold,493
Beltrami,State Auditor,,R,Patricia Anderson Awada,6745
Beltrami,State Auditor,,WI,WRITE-IN,10
Beltrami,U.S. Senate,,DFL,Amy Klobuchar,9714
Beltrami,U.S. Senate,,IND,Robert Fitzgerald,507
Beltrami,U.S. Senate,,R,Mark Kennedy,6511
Beltrami,U.S. Senate,,WI,WRITE-IN,6
Benton,Attorney General,,DFL,Lori Swanson,6413
Benton,Attorney General,,IND,Independence Party,551
Benton,Attorney General,,R,Jeff Johnson,6449
Benton,Attorney General,,WI,WRITE-IN,9
Benton,Governor,,DFL,Mike Hatch,5625
Benton,Governor,,IND,Peter Hutchinson,739
Benton,Governor,,R,Tim Pawlenty,7712
Benton,Governor,,WI,WRITE-IN,0
Benton,Secretary of State,,DFL,Mark Ritchie,5751
Benton,Secretary of State,,IND,Independence Party,359
