county,office,district,party,candidate,votes
Aitkin,President,,CP,,18
Aitkin,President,,DFL,Al Gore,3830
Aitkin,President,,GP,Ralph Nader,403
Aitkin,President,,LIB,Harry Browne,20
Aitkin,President,,OTH,,254
Aitkin,President,,R,George W. Bush,3755
Aitkin,President,,RP,Pat Buchanan,10
Aitkin,President,,RPM,,220
Aitkin,President,,SWP,,4
Aitkin,U.S. Senate,,CP,,54
Aitkin,U.S. Senate,,DFL,Mark Dayton,4306
Aitkin,U.S. Senate,,GRP,,83
Aitkin,U.S. Senate,,IND,Jim Gibson,362
Aitkin,U.S. Senate,,LIB,,20
Aitkin,U.S. Senate,,OTH,,204
Aitkin,U.S. Senate,,R,Rod Grams,3357
Aitkin,U.S. Senate,,SWP,,47
Anoka,President,,CP,,225
Anoka,President,,DFL,Al Gore,68008
Anoka,President,,GP,Ralph Nader,6616
Anoka,President,,LIB,Harry Browne,286
Anoka,President,,OTH,,1514
Anoka,President,,R,George W. Bush,69256
Anoka,President,,RP,Pat Buchanan,150
Anoka,President,,RPM,,1040
Anoka,President,,SWP,,38
Anoka,U.S. Senate,,CP,,582
Anoka,U.S. Senate,,DFL,Mark Dayton,64681
Anoka,U.S. Senate,,GRP,,1059
Anoka,U.S. Senate,,IND,Jim Gibson,9173
Anoka,U.S. Senate,,LIB,,318
Anoka,U.S. Senate,,OTH,,2699
Anoka,U.S. Senate,,R,Rod Grams,68018
Anoka,U.S. Senate,,SWP,,740
Becker,President,,CP,,16
Becker,President,,DFL,Al Gore,5253
Becker,President,,GP,Ralph Nader,591
Becker,President,,LIB,Harry Browne,24
Becker,President,,OTH,,321
Becker,President,,R,George W. Bush,8152
Becker,President,,RP,Pat Buchanan,20
Becker,President,,RPM,,264
Becker,President,,SWP,,13
Becker,U.S. Senate,,CP,,60
Becker,U.S. Senate,,DFL,Mark Dayton,6022
Becker,U.S. Senate,,GRP,,115
Becker,U.S. Senate,,IND,Jim Gibson,354
Becker,U.S. Senate,,LIB,,0
Becker,U.S. Senate,,OTH,,261
Becker,U.S. Senate,,R,Rod Grams,7543
Becker,U.S. Senate,,SWP,,86
Beltrami,President,,CP,,23
Beltrami,President,,DFL,Al Gore,7301
Beltrami,President,,GP,Ralph Nader,1269
Beltrami,President,,LIB,Harry Browne,42
Beltrami,President,,OTH,,278
Beltrami,President,,R,George W. Bush,8346
Beltrami,President,,RP,Pat Buchanan,17
Beltrami,President,,RPM,,211
Beltrami,President,,SWP,,8
Beltrami,U.S. Senate,,CP,,62
Beltrami,U.S. Senate,,DFL,Mark Dayton,8123
Beltrami,U.S. Senate,,GRP,,238
Beltrami,U.S. Senate,,IND,Jim Gibson,584
Beltrami,U.S. Senate,,LIB,,44
Beltrami,U.S. Senate,,OTH,,474
Beltrami,U.S. Senate,,R,Rod Grams,7902
Beltrami,U.S. Senate,,SWP,,130
Benton,President,,CP,,33
Benton,President,,DFL,Al Gore,6009
Benton,President,,GP,Ralph Nader,862
Benton,President,,LIB,Harry Browne,35
Benton,President,,OTH,,341
Benton,President,,R,George W. Bush,7663
Benton,President,,RP,Pat Buchanan,17
Benton,President,,RPM,,278
Benton,President,,SWP,,11
Benton,U.S. Senate,,CP,,69
Benton,U.S. Senate,,DFL,Mark Dayton,6396
Benton,U.S. Senate,,GRP,,135
Benton,U.S. Senate,,IND,Jim Gibson,955
Benton,U.S. Senate,,LIB,,36
Benton,U.S. Senate,,OTH,,331
Benton,U.S. Senate,,R,Rod Grams,7157
Benton,U.S. Senate,,SWP,,91
Big Stone,President,,CP,,3
Big Stone,President,,DFL,Al Gore,1430
Big Stone,President,,GP,Ralph Nader,109
Big Stone,President,,LIB,Harry Browne,7
Big Stone,President,,OTH,,68
Big Stone,President,,R,George W. Bush,1370
Big Stone,President,,RP,Pat Buchanan,0
Big Stone,President,,RPM,,59
Big Stone,President,,SWP,,2
Big Stone,U.S. Senate,,CP,,15
Big Stone,U.S. Senate,,DFL,Mark Dayton,1621
Big Stone,U.S. Senate,,GRP,,17
Big Stone,U.S. Senate,,IND,Jim Gibson,111
Big Stone,U.S. Senate,,LIB,,11
Big Stone,U.S. Senate,,OTH,,56
Big Stone,U.S. Senate,,R,Rod Grams,1177
Big Stone,U.S. Senate,,SWP,,13
Blue Earth,President,,CP,,33
Blue Earth,President,,DFL,Al Gore,12329
Blue Earth,President,,GP,Ralph Nader,1761
Blue Earth,President,,LIB,Harry Browne,58
Blue Earth,President,,OTH,,337
Blue Earth,President,,R,George W. Bush,12942
Blue Earth,President,,RP,Pat Buchanan,28
Blue Earth,President,,RPM,,238
Blue Earth,President,,SWP,,13
Blue Earth,U.S. Senate,,CP,,115
Blue Earth,U.S. Senate,,DFL,Mark Dayton,12657
Blue Earth,U.S. Senate,,GRP,,340
Blue Earth,U.S. Senate,,IND,Jim Gibson,1610
Blue Earth,U.S. Senate,,LIB,,101
Blue Earth,U.S. Senate,,OTH,,771
Blue Earth,U.S. Senate,,R,Rod Grams,12110
Blue Earth,U.S. Senate,,SWP,,215
Brown,President,,CP,,19
Brown,President,,DFL,Al Gore,4650
Brown,President,,GP,Ralph Nader,561
Brown,President,,LIB,Harry Browne,15
Brown,President,,OTH,,234
Brown,President,,R,George W. Bush,7370
Brown,President,,RP,Pat Buchanan,11
Brown,President,,RPM,,200
Brown,President,,SWP,,8
Brown,U.S. Senate,,CP,,75
Brown,U.S. Senate,,DFL,Mark Dayton,5295
Brown,U.S. Senate,,GRP,,70
Brown,U.S. Senate,,IND,Jim Gibson,511
Brown,U.S. Senate,,LIB,,16
Brown,U.S. Senate,,OTH,,225
Brown,U.S. Senate,,R,Rod Grams,6731
Brown,U.S. Senate,,SWP,,64
Carlton,President,,CP,,17
Carlton,President,,DFL,Al Gore,8620
Carlton,President,,GP,Ralph Nader,634
Carlton,President,,LIB,Harry Browne,24
Carlton,President,,OTH,,232
Carlton,President,,R,George W. Bush,5578
Carlton,President,,RP,Pat Buchanan,16
Carlton,President,,RPM,,183
Carlton,President,,SWP,,9
Carlton,U.S. Senate,,CP,,46
Carlton,U.S. Senate,,DFL,Mark Dayton,9148
Carlton,U.S. Senate,,GRP,,91
Carlton,U.S. Senate,,IND,Jim Gibson,444
Carlton,U.S. Senate,,LIB,,28
Carlton,U.S. Senate,,OTH,,206
Carlton,U.S. Senate,,R,Rod Grams,5261
Carlton,U.S. Senate,,SWP,,41
Carver,President,,CP,,37
Carver,President,,DFL,Al Gore,12462
Carver,President,,GP,Ralph Nader,1381
Carver,President,,LIB,Harry Browne,82
Carver,President,,OTH,,351
Carver,President,,R,George W. Bush,20790
Carver,President,,RP,Pat Buchanan,32
Carver,President,,RPM,,221
Carver,President,,SWP,,16
Carver,U.S. Senate,,CP,,119
Carver,U.S. Senate,,DFL,Mark Dayton,12219
Carver,U.S. Senate,,GRP,,220
Carver,U.S. Senate,,IND,Jim Gibson,2114
Carver,U.S. Senate,,LIB,,87
Carver,U.S. Senate,,OTH,,562
Carver,U.S. Senate,,R,Rod Grams,19959
Carver,U.S. Senate,,SWP,,136
Cass,President,,CP,,23
Cass,President,,DFL,Al Gore,5534
Cass,President,,GP,Ralph Nader,663
Cass,President,,LIB,Harry Browne,20
