county,office,district,party,candidate,votes
Carver,President,,CP,,116
Carver,President,,DFL,Barack Obama,20654
Carver,President,,GP,Cynthia McKinney,62
Carver,President,,IND,Ralph Nader,408
Carver,President,,LIB,Bob Barr,165
Carver,President,,R,John McCain,28156
Carver,President,,SWP,,7
Carver,President,,WI,WRITE-IN,115
Carver,U.S. Senate,,CP,,130
Carver,U.S. Senate,,DFL,Al Franken,14102
Carver,U.S. Senate,,IND,Dean Barkley,7875
Carver,U.S. Senate,,LIB,,208
Carver,U.S. Senate,,R,Norm Coleman,26968
Carver,U.S. Senate,,WI,WRITE-IN,43
Cass,President,,CP,,41
Cass,President,,DFL,Barack Obama,7276
Cass,President,,GP,Cynthia McKinney,33
Cass,President,,IND,Ralph Nader,217
Cass,President,,LIB,Bob Barr,39
Cass,President,,R,John McCain,8660
Cass,President,,SWP,,1
Cass,President,,WI,WRITE-IN,40
Cass,U.S. Senate,,CP,,60
Cass,U.S. Senate,,DFL,Al Franken,5888
Cass,U.S. Senate,,IND,Dean Barkley,2504
Cass,U.S. Senate,,LIB,,68
Cass,U.S. Senate,,R,Norm Coleman,7685
Cass,U.S. Senate,,WI,WRITE-IN,12
Chippewa,President,,CP,,26
Chippewa,President,,DFL,Barack Obama,3280
Chippewa,President,,GP,Cynthia McKinney,13
Chippewa,President,,IND,Ralph Nader,95
Chippewa,President,,LIB,Bob Barr,7
Chippewa,President,,R,John McCain,2907
Chippewa,President,,SWP,,3
Chippewa,President,,WI,WRITE-IN,25
Chippewa,U.S. Senate,,CP,,27
Chippewa,U.S. Senate,,DFL,Al Franken,2559
Chippewa,U.S. Senate,,IND,Dean Barkley,1283
Chippewa,U.S. Senate,,LIB,,29
Chippewa,U.S. Senate,,R,Norm Coleman,2419
Chippewa,U.S. Senate,,WI,WRITE-IN,5
Chisago,President,,CP,,72
Chisago,President,,DFL,Barack Obama,12783
Chisago,President,,GP,Cynthia McKinney,62
Chisago,President,,IND,Ralph Nader,388
Chisago,President,,LIB,Bob Barr,104
Chisago,President,,R,John McCain,15789
Chisago,President,,SWP,,5
Chisago,President,,WI,WRITE-IN,102
Chisago,U.S. Senate,,CP,,78
Chisago,U.S. Senate,,DFL,Al Franken,9833
Chisago,U.S. Senate,,IND,Dean Barkley,5317
Chisago,U.S. Senate,,LIB,,133
Chisago,U.S. Senate,,R,Norm Coleman,13768
Chisago,U.S. Senate,,WI,WRITE-IN,19
Clay,President,,CP,,73
Clay,President,,DFL,Barack Obama,16666
Clay,President,,GP,Cynthia McKinney,41
Clay,President,,IND,Ralph Nader,303
Clay,President,,LIB,Bob Barr,91
Clay,President,,R,John McCain,11978
Clay,President,,SWP,,4
Clay,President,,WI,WRITE-IN,103
Clay,U.S. Senate,,CP,,89
Clay,U.S. Senate,,DFL,Al Franken,12067
Clay,U.S. Senate,,IND,Dean Barkley,3431
Clay,U.S. Senate,,LIB,,187
Clay,U.S. Senate,,R,Norm Coleman,13032
Clay,U.S. Senate,,WI,WRITE-IN,25
Clearwater,President,,CP,,12
Clearwater,President,,DFL,Barack Obama,1877
Clearwater,President,,GP,Cynthia McKinney,3
Clearwater,President,,IND,Ralph Nader,52
Clearwater,President,,LIB,Bob Barr,8
Clearwater,President,,R,John McCain,2291
Clearwater,President,,SWP,,2
Clearwater,President,,WI,WRITE-IN,16
Clearwater,U.S. Senate,,CP,,15
Clearwater,U.S. Senate,,DFL,Al Franken,1596
Clearwater,U.S. Senate,,IND,Dean Barkley,460
Clearwater,U.S. Senate,,LIB,,29
Clearwater,U.S. Senate,,R,Norm Coleman,2109
Clearwater,U.S. Senate,,WI,WRITE-IN,0
Cook,President,,CP,,22
Cook,President,,DFL,Barack Obama,2019
Cook,President,,GP,Cynthia McKinney,6
Cook,President,,IND,Ralph Nader,33
Cook,President,,LIB,Bob Barr,15
Cook,President,,R,John McCain,1240
Cook,President,,SWP,,2
Cook,President,,WI,WRITE-IN,11
Cook,U.S. Senate,,CP,,20
Cook,U.S. Senate,,DFL,Al Franken,1620
Cook,U.S. Senate,,IND,Dean Barkley,458
Cook,U.S. Senate,,LIB,,19
Cook,U.S. Senate,,R,Norm Coleman,1207
Cook,U.S. Senate,,WI,WRITE-IN,3
Cottonwood,President,,CP,,14
Cottonwood,President,,DFL,Barack Obama,2759
Cottonwood,President,,GP,Cynthia McKinney,12
Cottonwood,President,,IND,Ralph Nader,59
Cottonwood,President,,LIB,Bob Barr,11
Cottonwood,President,,R,John McCain,3157
Cottonwood,President,,SWP,,3
Cottonwood,President,,WI,WRITE-IN,21
Cottonwood,U.S. Senate,,CP,,29
Cottonwood,U.S. Senate,,DFL,Al Franken,2131
Cottonwood,U.S. Senate,,IND,Dean Barkley,1051
Cottonwood,U.S. Senate,,LIB,,32
Cottonwood,U.S. Senate,,R,Norm Coleman,2770
Cottonwood,U.S. Senate,,WI,WRITE-IN,4
Crow Wing,President,,CP,,77
Crow Wing,President,,DFL,Barack Obama,15859
Crow Wing,President,,GP,Cynthia McKinney,69
Crow Wing,President,,IND,Ralph Nader,383
Crow Wing,President,,LIB,Bob Barr,89
Crow Wing,President,,R,John McCain,18567
Crow Wing,President,,SWP,,13
Crow Wing,President,,WI,WRITE-IN,108
Crow Wing,U.S. Senate,,CP,,129
Crow Wing,U.S. Senate,,DFL,Al Franken,13025
Crow Wing,U.S. Senate,,IND,Dean Barkley,5474
Crow Wing,U.S. Senate,,LIB,,149
Crow Wing,U.S. Senate,,R,Norm Coleman,16107
Crow Wing,U.S. Senate,,WI,WRITE-IN,21
Dakota,President,,CP,,493
Dakota,President,,DFL,Barack Obama,116778
Dakota,President,,GP,Cynthia McKinney,309
Dakota,President,,IND,Ralph Nader,1908
Dakota,President,,LIB,Bob Barr,782
Dakota,President,,R,John McCain,104364
Dakota,President,,SWP,,44
Dakota,President,,WI,WRITE-IN,794
Dakota,U.S. Senate,,CP,,657
Dakota,U.S. Senate,,DFL,Al Franken,85298
Dakota,U.S. Senate,,IND,Dean Barkley,34066
Dakota,U.S. Senate,,LIB,,981
Dakota,U.S. Senate,,R,Norm Coleman,102701
Dakota,U.S. Senate,,WI,WRITE-IN,182
Dodge,President,,CP,,42
Dodge,President,,DFL,Barack Obama,4463
Dodge,President,,GP,Cynthia McKinney,31
Dodge,President,,IND,Ralph Nader,130
Dodge,President,,LIB,Bob Barr,38
Dodge,President,,R,John McCain,5468
Dodge,President,,SWP,,4
Dodge,President,,WI,WRITE-IN,37
Dodge,U.S. Senate,,CP,,53
Dodge,U.S. Senate,,DFL,Al Franken,3384
Dodge,U.S. Senate,,IND,Dean Barkley,1853
Dodge,U.S. Senate,,LIB,,56
Dodge,U.S. Senate,,R,Norm Coleman,4771
Dodge,U.S. Senate,,WI,WRITE-IN,8
Douglas,President,,CP,,37
Douglas,President,,DFL,Barack Obama,9256
Douglas,President,,GP,Cynthia McKinney,33
Douglas,President,,IND,Ralph Nader,269
Douglas,President,,LIB,Bob Barr,32
Douglas,President,,R,John McCain,11241
Douglas,President,,SWP,,4
Douglas,President,,WI,WRITE-IN,46
Douglas,U.S. Senate,,CP,,56
Douglas,U.S. Senate,,DFL,Al Franken,6856
