district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,83093,3866,79222,74462,818,560,834,11,171,630,1420,221,82,2062,1054,1526,63444,2484,60962,58085,501,440,609,20,59,271,827,73,76,1340,684,842
2,84648,2141,82491,60278,456,15603,446,31,201,503,4434,390,102,20146,835,1060,63785,1118,62649,48974,299,9747,294,30,71,210,2741,184,77,12565,478,589
3,83590,1412,82212,77592,444,1587,398,5,238,304,1265,398,17,2864,778,785,68020,926,67093,63915,352,1240,331,5,98,183,840,173,7,2083,491,545
4,84223,3414,80812,72889,2739,957,915,28,141,1179,1619,362,17,2584,1292,3940,63882,1984,61909,57291,1779,686,565,29,54,406,896,200,5,1593,776,2197
5,86624,3067,83570,80124,679,457,156,86,83,474,1216,326,8,1686,470,1175,66522,1441,65085,62960,404,321,111,52,50,175,860,159,4,1187,257,581
6,86593,1356,85267,81658,515,743,282,22,108,609,897,335,5,1629,631,1161,69102,883,68238,65993,306,533,241,21,90,347,588,103,6,1119,353,660
7,84408,915,83464,79320,659,843,231,16,120,589,1260,372,10,2131,608,1272,68342,522,67807,65191,436,696,183,37,91,194,783,141,19,1503,342,643
8,84376,1889,82454,74504,2191,1094,1157,24,333,906,1626,553,86,2802,1710,3150,69477,1269,68202,62704,1383,915,987,17,206,420,1219,308,53,2182,1291,1854
9,83613,2324,81285,78047,669,299,378,18,221,512,867,273,14,1176,651,1196,65452,1370,64086,62097,425,240,298,20,81,274,538,100,24,801,398,723
10,86835,1646,85175,81202,402,1419,351,26,154,526,793,415,11,2221,767,874,66484,918,65562,63056,280,881,262,31,91,234,570,178,0,1448,434,518
11,85500,1661,83850,76160,1882,2205,498,21,215,376,2095,336,47,4353,834,2314,67862,1142,66727,61288,1682,1598,308,20,35,163,1410,171,34,3053,477,1876
12,84964,3161,81805,79293,468,385,346,167,152,296,510,157,0,899,505,764,65715,1645,64061,62267,375,344,260,72,107,89,399,120,5,749,380,469
13,85725,2134,83608,79392,1481,58,597,32,320,398,442,751,37,541,1465,1929,64531,1137,63398,60868,979,50,522,35,89,143,255,385,37,350,1003,1165
14,80413,4283,76128,56756,13010,184,2164,50,566,2367,483,598,75,738,2667,15444,61910,2439,59480,48720,7098,184,1512,47,221,1032,355,339,42,571,1767,8167
15,83228,3645,79597,74211,989,963,1593,30,155,553,649,452,0,1609,2045,1545,63316,1770,61548,58108,662,753,1087,36,89,314,385,129,9,1146,1219,983
16,81212,7471,73798,69488,1956,374,563,196,112,627,266,198,13,656,761,2593,61774,4092,57720,55262,1058,179,404,34,52,348,209,124,19,408,529,1426
17,83899,4330,79508,76662,450,84,726,26,412,412,395,352,0,479,1078,860,63983,2310,61636,59833,344,29,568,9,313,106,293,132,5,327,699,454
18,83645,4028,79601,71783,3871,200,1629,1,419,693,297,720,4,500,2343,4573,67041,2766,64260,59260,2285,147,1452,0,200,391,212,313,0,358,1763,2687
19,82167,6583,75575,68652,4280,258,873,25,222,585,296,391,0,556,1269,4862,63536,3956,59580,55203,2772,258,600,25,108,246,195,169,4,462,769,3022
20,83661,2377,81289,78084,632,409,832,4,78,363,457,370,47,921,1174,1028,64846,1305,63539,61632,280,304,615,4,43,180,280,144,6,593,760,470
21,79169,9577,69576,64790,1148,251,1537,36,123,465,433,745,39,722,2282,1657,58567,4556,54002,51081,690,151,1238,29,83,183,342,173,31,520,1411,904
22,83970,4664,79338,76697,766,133,252,8,122,562,413,372,4,552,630,1322,63557,2292,61296,59769,508,98,225,0,101,199,242,144,10,355,368,709
23,81401,7582,73828,67214,1745,68,2960,310,52,720,449,301,14,529,3256,2481,61994,4021,57971,54182,961,51,1840,98,38,305,296,192,18,360,2032,1284
24,83165,4025,79127,70306,3487,53,3181,14,142,752,381,830,22,455,4007,4269,61028,2003,59010,53560,1988,35,2360,8,76,458,248,305,14,296,2667,2456
25,81569,4700,76862,60805,7716,140,4902,4,332,1207,371,1332,42,554,6249,8967,62984,3114,59870,49734,4868,135,3694,0,227,406,247,511,46,428,4209,5319
26,84024,1988,82046,78505,953,151,845,14,177,569,375,414,8,527,1275,1532,67357,1141,66228,63964,510,103,704,6,55,367,244,276,4,350,973,882
27,87501,2150,85354,81146,818,173,1043,0,205,611,607,671,41,824,1679,1469,64675,1315,63357,60951,510,144,732,0,85,225,365,267,46,557,982,786
28,86004,2117,83887,79438,525,281,1675,16,64,744,666,459,0,946,2135,1276,66127,1291,64835,62106,308,243,1073,26,53,378,484,156,0,730,1228,691
29,87219,2779,84491,81320,352,154,854,13,143,566,572,491,12,738,1342,945,64266,1551,62724,60747,210,134,667,0,48,250,462,182,15,611,850,481
30,89366,2380,86947,78529,3584,160,2097,14,179,1472,522,457,18,699,2536,5071,64916,1437,63478,58503,2431,111,1376,0,128,531,349,78,4,463,1457,2956
31,86696,1753,84918,77270,2778,115,2229,40,190,793,667,753,9,789,3014,3580,65584,980,64586,60006,1488,64,1628,24,130,385,394,443,0,454,2073,1873
32,86562,3002,83563,65840,7314,233,6567,6,636,1142,559,1267,10,802,7831,8466,63949,1866,62086,51498,4614,202,4519,1,225,346,418,269,0,620,4787,4960
33,83735,2914,80824,74580,2262,228,1933,15,84,459,654,578,13,903,2516,2729,64561,1620,62941,58813,1666,241,1317,24,43,191,446,193,11,698,1510,1863
34,80753,3856,76908,57160,9390,103,7106,4,578,1334,501,735,9,613,7840,10734,58617,2150,56447,44170,6244,113,4816,12,175,428,306,229,5,424,5045,6671
35,82379,4251,78147,62300,6475,453,4964,12,486,1458,772,1061,159,1384,6021,8074,64305,2407,61920,51665,4030,392,3613,16,213,746,542,551,99,1033,4161,4872
36,83068,3418,79663,69827,2267,231,4290,9,264,1047,558,1191,8,797,5486,3324,64298,1892,62420,56063,1428,188,3141,8,211,638,339,408,12,539,3550,2080
37,84977,2004,82935,70599,5119,46,4385,9,214,955,536,1074,4,587,5460,6062,63765,1084,62672,55646,3118,39,3079,32,92,121,260,282,8,308,3358,3241
38,75058,6518,68542,25590,23106,301,15084,8,355,2993,408,452,227,936,15541,26343,52901,3271,49637,22861,14316,233,10057,0,187,1369,280,213,119,632,10273,15813
39,79202,7579,71626,49569,14147,383,4391,5,554,1205,492,800,67,942,5191,15420,60219,3795,56428,42016,8844,301,3284,6,405,733,387,412,38,726,3697,9613
40,79923,3689,76234,61910,4800,188,6151,18,405,1002,515,1237,27,730,7388,5824,62047,2162,59884,50581,3362,149,4489,18,193,341,347,364,47,543,4852,3751
41,86810,3890,82909,73277,2837,243,3806,45,327,1184,583,572,4,820,4390,4023,65547,2394,63149,57184,2003,206,2525,45,208,416,346,197,8,559,2726,2425
42,79005,2970,76067,61597,3292,248,6741,8,477,1688,462,1532,51,761,8270,5034,58378,1698,56696,48191,2308,215,4381,23,89,602,252,590,53,522,4976,2964
43,77775,5992,71757,54648,10626,164,2338,7,561,1462,547,1147,237,948,3486,12322,61418,3484,57919,46756,7342,164,1942,5,172,528,379,585,41,582,2524,7910
44,79642,5256,74375,49506,6573,391,14135,17,458,1743,493,748,283,1169,14872,8602,60543,2812,57722,42010,4346,340,9463,18,181,405,376,393,164,880,9855,4918
45,82021,2485,79537,73670,1595,190,2100,5,208,630,428,708,6,624,2808,2231,63252,1363,61889,58465,852,124,1449,10,145,226,304,313,4,432,1762,1082
46,80635,3819,76816,64409,5566,79,2316,9,847,1892,451,1092,145,675,3408,7616,65745,2492,63253,55414,3674,63,1943,5,213,818,385,627,111,560,2570,4610
47,84384,4437,79947,60474,6992,74,9816,103,94,1130,259,965,41,372,10782,8163,61908,2625,59284,47535,4178,67,6495,99,35,411,201,227,36,304,6722,4625
48,85649,3922,81720,74931,1643,122,2289,54,384,1144,318,791,41,481,3080,2830,63463,2314,61145,57088,968,85,1560,50,175,638,242,309,38,365,1869,1644
49,78522,3094,75427,60730,4644,74,6295,0,283,1306,618,1470,10,702,7766,5947,60284,1828,58456,49278,2888,35,4555,0,86,440,525,637,0,559,5192,3321
50,78998,2774,76218,64556,3958,157,3761,21,781,1255,454,1229,17,629,4990,5226,62315,1505,60811,53267,2789,114,2847,0,570,498,332,357,15,462,3202,3302
51,78353,11478,66890,49992,10100,344,3478,8,442,1400,762,339,79,1184,3815,11582,61497,6098,55399,43140,6919,332,3014,0,254,1030,561,143,33,926,3158,7980
52,81161,5196,75988,58555,8384,106,5681,19,333,1935,234,793,4,343,6482,10322,62539,2706,59843,48149,5484,70,4197,15,202,1134,162,437,5,236,4642,6620
53,82351,10179,72187,62626,4289,140,2644,31,330,931,519,671,4,665,3309,5243,64933,6379,58546,52115,2805,147,2017,49,271,370,397,389,0,545,2398,3177
54,84359,5440,78919,64157,4584,797,6030,9,310,1257,551,1194,27,1377,7222,5868,61864,2934,58929,49456,2752,614,4492,13,95,720,339,418,30,983,4910,3501
55,81397,6072,75307,57065,9403,143,3898,11,477,2648,502,963,164,809,4861,12203,61829,3247,58580,46997,6243,123,3182,12,259,885,346,384,139,608,3566,7266
56,82470,3787,78686,63174,6137,63,4459,58,297,2338,435,1648,64,562,6110,8539,61132,2029,59099,49645,4048,24,3337,41,221,763,290,657,67,381,3994,4871
57,86654,4117,82536,70771,4946,185,3636,4,246,1284,422,1027,17,622,4665,6247,62656,2588,60068,53430,2952,159,2476,5,138,325,264,302,17,440,2778,3294
58,84225,4474,79754,74232,1788,44,1810,33,267,505,404,714,15,464,2508,2318,62629,2410,60223,56753,940,65,1356,34,124,366,257,351,0,323,1703,1312
59,79561,6156,73392,34549,26524,684,6530,0,895,2262,1048,498,477,2192,7026,29259,60346,3711,56630,31507,17309,526,4472,5,557,1121,579,393,278,1376,4870,18715
60,77426,4791,72628,51390,12399,457,3725,28,449,1614,421,1685,296,1176,5409,14312,67286,3412,63873,47870,8292,431,3576,21,302,1112,393,1415,299,1125,4990,9706
61,81286,5352,75954,62518,6729,295,2814,28,294,1293,416,1332,314,1042,4153,8346,70076,4358,65723,55283,5674,256,2411,16,207,789,336,643,149,748,3047,6618
62,75108,10807,64271,37886,19976,1384,1760,20,403,1317,277,746,556,2220,2506,21886,56776,5225,51538,33976,12450,1192,1502,21,221,817,258,559,562,2013,2061,13827
63,83557,4691,78887,64055,7550,302,2020,45,538,1969,851,1276,216,1364,3293,9690,65407,2993,62427,52429,5435,219,1735,25,287,1112,490,580,103,808,2319,6638
64,80730,3969,76780,64672,5384,57,2851,9,429,1020,796,1423,164,1016,4277,6589,66578,2682,63899,55006,3824,67,2376,0,265,779,752,704,165,986,3070,4790
65,79377,7862,71499,39643,17386,520,8543,18,670,2533,868,770,324,1723,9300,20224,60265,5522,54732,34569,11138,317,6008,18,348,934,587,547,143,1040,6558,12200
66,77679,5099,72566,43960,9974,337,14016,40,1077,1929,340,1049,16,687,15067,11914,59203,3041,56174,38148,6720,252,8492,33,626,941,219,788,8,484,9285,7670
67,75722,7158,68555,26175,12428,359,24994,7,623,2703,320,634,322,996,25636,15450,52286,3715,48565,23335,8160,289,14870,14,260,1118,298,185,45,631,15057,9321
