district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1A,41510,1311,40199,38052,235,186,611,11,75,306,634,89,0,820,700,541,32066,983,31083,29759,199,137,436,15,12,140,367,10,8,512,446,347
1B,41583,2555,39023,36410,583,374,223,0,96,324,786,132,82,1242,354,985,31378,1501,29879,28326,302,303,173,5,47,131,460,63,68,828,238,495
2A,43493,1017,42440,31511,359,7890,227,25,80,400,1658,263,17,9581,486,776,32662,578,32080,25377,256,4895,166,21,22,151,1024,127,19,5948,294,426
2B,41155,1124,40051,28767,97,7713,219,6,121,103,2776,127,85,10565,349,284,31123,540,30569,23597,43,4852,128,9,49,59,1717,57,58,6617,184,163
3A,41418,802,40618,37999,184,1192,88,5,121,186,680,197,7,1871,283,362,34933,524,34403,32577,149,888,82,0,55,117,486,77,0,1365,160,266
3B,42172,610,41594,39593,260,395,310,0,117,118,585,201,10,993,495,423,33087,402,32690,31338,203,352,249,5,43,66,354,96,7,718,331,279
4A,41925,2121,39803,34434,2375,337,640,28,74,989,746,165,13,1093,812,3377,32199,1208,30989,27766,1562,292,390,29,18,353,446,133,0,737,523,1920
4B,42298,1293,41009,38455,364,620,275,0,67,190,873,197,4,1491,480,563,31683,776,30920,29525,217,394,175,0,36,53,450,67,5,856,253,277
5A,43711,737,42987,40863,274,362,88,20,74,300,822,210,4,1198,289,580,34058,329,33736,32387,163,257,68,9,44,120,610,92,4,874,147,285
5B,42913,2330,40583,39261,405,95,68,66,9,174,394,116,4,488,181,595,32464,1112,31349,30573,241,64,43,43,6,55,250,67,0,313,110,296
6A,43687,484,43211,41282,260,445,100,18,42,308,504,177,0,930,308,600,35338,323,35023,33906,184,285,98,16,41,118,323,64,6,600,189,309
6B,42906,872,42056,40376,255,298,182,4,66,301,393,158,5,699,323,561,33764,560,33215,32087,122,248,143,5,49,229,265,39,0,519,164,351
7A,42197,503,41679,39551,491,279,93,16,62,365,692,126,4,983,204,861,34566,290,34263,32936,318,227,108,31,58,85,444,68,1,671,176,399
7B,42211,412,41785,39769,168,564,138,0,58,224,568,246,6,1148,404,411,33776,232,33544,32255,118,469,75,6,33,109,339,73,18,832,166,244
