statefp20,countyfp20,county_geoid20,county_name,CVAP_TOT24
27,001,27001,Aitkin County,13502
27,003,27003,Anoka County,272191
27,005,27005,Becker County,26927
27,007,27007,Beltrami County,34737
27,009,27009,Benton County,30457
27,011,27011,Big Stone County,3952
27,013,27013,Blue Earth County,54542
27,015,27015,Brown County,19884
27,017,27017,Carlton County,28298
27,019,27019,Carver County,79868
27,021,27021,Cass County,24695
27,023,27023,Chippewa County,8771
27,025,27025,Chisago County,44414
27,027,27027,Clay County,48732
27,029,27029,Clearwater County,6443
27,031,27031,Cook County,4696
27,033,27033,Cottonwood County,8137
27,035,27035,Crow Wing County,53557
27,037,27037,Dakota County,322181
27,039,27039,Dodge County,15430
27,041,27041,Douglas County,30980
27,043,27043,Faribault County,10643
27,045,27045,Fillmore County,16006
27,047,27047,Freeborn County,23449
27,049,27049,Goodhue County,36627
27,051,27051,Grant County,4657
27,053,27053,Hennepin County,930648
27,055,27055,Houston County,14608
27,057,27057,Hubbard County,17203
27,059,27059,Isanti County,32351
27,061,27061,Itasca County,35954
27,063,27063,Jackson County,7663
27,065,27065,Kanabec County,12836
27,067,27067,Kandiyohi County,31325
27,069,27069,Kittson County,3169
27,071,27071,Koochiching County,9649
27,073,27073,Lac qui Parle County,5155
27,075,27075,Lake County,8764
27,077,27077,Lake of the Woods County,3078
27,079,27079,Le Sueur County,21850
27,081,27081,Lincoln County,4303
27,083,27083,Lyon County,18101
27,085,27085,McLeod County,28212
27,087,27087,Mahnomen County,3678
27,089,27089,Marshall County,6734
27,091,27091,Martin County,14956
27,093,27093,Meeker County,17825
27,095,27095,Mille Lacs County,20653
27,097,27097,Morrison County,26274
27,099,27099,Mower County,27949
27,101,27101,Murray County,6208
27,103,27103,Nicollet County,26349
27,105,27105,Nobles County,13124
27,107,27107,Norman County,4787
27,109,27109,Olmsted County,119200
27,111,27111,Otter Tail County,46701
27,113,27113,Pennington County,10733
27,115,27115,Pine County,23746
27,117,27117,Pipestone County,6531
27,119,27119,Polk County,22934
27,121,27121,Pope County,8966
27,123,27123,Ramsey County,390442
27,125,27125,Red Lake County,2955
27,127,27127,Redwood County,11464
27,129,27129,Renville County,10920
27,131,27131,Rice County,50327
27,133,27133,Rock County,7162
27,135,27135,Roseau County,11503
27,137,27137,St. Louis County,161500
27,139,27139,Scott County,109768
27,141,27141,Sherburne County,73178
27,143,27143,Sibley County,11225
27,145,27145,Stearns County,117709
27,147,27147,Steele County,27567
27,149,27149,Stevens County,6972
27,151,27151,Swift County,7336
27,153,27153,Todd County,18668
27,155,27155,Traverse County,2495
27,157,27157,Wabasha County,16777
27,159,27159,Wadena County,10483
27,161,27161,Waseca County,14388
27,163,27163,Washington County,202884
27,165,27165,Watonwan County,7421
27,167,27167,Wilkin County,4883
27,169,27169,Winona County,40265
27,171,27171,Wright County,105642
27,173,27173,Yellow Medicine County,7121
