district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,692427,42896,649531,591794,23890,1469,16380,387,1639,5536,3122,5148,156,4749,21527,29572,533365,23861,509502,473649,14471,1137,12253,155,899,2638,2070,2122,106,3316,14374,17206
2,701955,46280,655672,548809,44248,1795,33268,210,2600,12571,3835,7925,419,6049,41194,57248,526691,26419,500269,433217,28488,1466,24146,213,1524,5034,2570,3344,270,4306,27491,33801
3,670312,31121,639086,501639,57688,1595,48564,54,4066,11979,4311,8679,494,6401,57242,70172,510231,17007,493168,407247,36799,1354,34232,98,1768,4898,2973,3459,328,4657,37690,42043
4,670265,41667,628596,445282,66315,2277,83824,231,4049,13309,4303,7983,1072,7652,91762,80696,511349,24689,486662,370463,43719,1807,55068,223,2178,5785,3180,3624,632,5618,58674,50136
5,664328,56114,608206,428844,111630,4032,30048,163,4265,13654,5001,8224,2366,11399,38273,127626,527401,33227,494174,372903,74555,3353,23420,99,2375,7394,3540,4974,1573,8465,28394,83498
6,716224,23779,692556,616912,32220,1297,19715,207,2813,8481,4311,6336,253,5861,26058,40965,532881,13881,519062,474569,18981,1037,13991,151,1264,3526,2922,2419,193,4150,16411,22705
7,701956,32172,669786,634439,8995,4093,5653,598,1359,5048,6973,2504,159,11212,8152,14202,536552,17440,519129,497621,5664,3057,3997,303,685,2149,4430,1041,174,7665,5039,7988
8,715548,13887,701666,639451,8064,23928,6449,161,1435,4752,13661,3407,283,37882,9899,13101,566426,8466,557940,517950,5610,15957,4627,187,734,2200,9038,1440,196,25186,6084,8006
