year,office,district,party,missing_rows
2002,State House,18A,IND,31
2002,State House,18A,R,31
2002,State House,18B,CP,37
2002,State House,18B,DFL,37
2002,State House,18B,GP,37
2002,State House,18B,I,37
2002,State House,18B,IND,37
2002,State House,18B,R,37
2002,State House,19A,CP,15
2002,State House,19A,DFL,15
2002,State House,19A,GP,15
2002,State House,19A,I,15
2002,State House,19A,IND,15
2002,State House,19A,R,15
2002,State House,19B,CP,13
2002,State House,19B,DFL,13
2002,State House,19B,GP,13
2002,State House,19B,I,13
2002,State House,19B,IND,13
2002,State House,19B,R,13
2002,State House,1A,CP,127
2002,State House,1A,DFL,127
2002,State House,1A,GP,127
2002,State House,1A,I,127
2002,State House,1A,IND,127
2002,State House,1A,R,127
2002,State House,1B,CP,118
2002,State House,1B,DFL,118
2002,State House,1B,GP,118
2002,State House,1B,I,118
2002,State House,1B,IND,118
2002,State House,1B,R,118
2002,State House,20A,CP,122
2002,State House,20A,DFL,122
2002,State House,20A,GP,122
2002,State House,20A,I,122
2002,State House,20A,IND,122
2002,State House,20A,R,122
2002,State House,20B,CP,78
2002,State House,20B,DFL,78
2002,State House,20B,GP,78
2002,State House,20B,I,78
2002,State House,20B,IND,78
2002,State House,20B,R,78
2002,State House,21A,CP,60
2002,State House,21A,DFL,60
2002,State House,21A,GP,60
2002,State House,21A,I,60
2002,State House,21A,IND,60
2002,State House,21A,R,60
2002,State House,21B,CP,57
2002,State House,21B,DFL,57
2002,State House,21B,GP,57
2002,State House,21B,I,57
2002,State House,21B,IND,57
2002,State House,21B,R,57
2002,State House,22A,CP,99
2002,State House,22A,DFL,99
2002,State House,22A,GP,99
2002,State House,22A,I,99
2002,State House,22A,IND,99
2002,State House,22A,R,99
2002,State House,22B,CP,75
2002,State House,22B,DFL,75
2002,State House,22B,GP,75
2002,State House,22B,I,75
2002,State House,22B,IND,75
2002,State House,22B,R,75
2002,State House,23A,CP,45
2002,State House,23A,DFL,45
2002,State House,23A,GP,45
2002,State House,23A,I,45
2002,State House,23A,IND,45
2002,State House,23A,R,45
2002,State House,23B,CP,24
2002,State House,23B,DFL,24
2002,State House,23B,GP,24
2002,State House,23B,I,24
2002,State House,23B,IND,24
2002,State House,23B,R,24
2002,State House,24A,CP,61
2002,State House,24A,DFL,61
2002,State House,24A,GP,61
2002,State House,24A,I,61
2002,State House,24A,IND,61
2002,State House,24A,R,61
2002,State House,24B,CP,66
2002,State House,24B,DFL,66
2002,State House,24B,GP,66
2002,State House,24B,I,66
2002,State House,24B,IND,66
2002,State House,24B,R,66
2002,State House,25A,CP,42
2002,State House,25A,DFL,42
2002,State House,25A,GP,42
2002,State House,25A,I,42
2002,State House,25A,IND,42
2002,State House,25A,R,42
2002,State House,25B,CP,24
2002,State House,25B,DFL,24
2002,State House,25B,GP,24
2002,State House,25B,I,24
2002,State House,25B,IND,24
2002,State House,25B,R,24
2002,State House,26A,CP,23
2002,State House,26A,DFL,23
2002,State House,26A,GP,23
2002,State House,26A,I,23
2002,State House,26A,IND,23
2002,State House,26A,R,23
2002,State House,26B,CP,24
2002,State House,26B,DFL,24
2002,State House,26B,GP,24
2002,State House,26B,I,24
2002,State House,26B,IND,24
2002,State House,26B,R,24
2002,State House,27A,CP,49
2002,State House,27A,DFL,49
2002,State House,27A,GP,49
2002,State House,27A,I,49
2002,State House,27A,IND,49
2002,State House,27A,R,49
2002,State House,27B,CP,35
2002,State House,27B,DFL,35
2002,State House,27B,GP,35
2002,State House,27B,I,35
2002,State House,27B,IND,35
2002,State House,27B,R,35
2002,State House,28A,CP,34
2002,State House,28A,DFL,34
2002,State House,28A,GP,34
2002,State House,28A,I,34
2002,State House,28A,IND,34
2002,State House,28A,R,34
2002,State House,28B,CP,53
2002,State House,28B,DFL,53
2002,State House,28B,GP,53
2002,State House,28B,I,53
2002,State House,28B,IND,53
2002,State House,28B,R,53
2002,State House,29A,CP,33
2002,State House,29A,DFL,33
2002,State House,29A,GP,33
2002,State House,29A,I,33
2002,State House,29A,IND,33
2002,State House,29A,R,33
2002,State House,29B,CP,18
2002,State House,29B,DFL,18
2002,State House,29B,GP,18
2002,State House,29B,I,18
2002,State House,29B,IND,18
2002,State House,29B,R,18
2002,State House,2A,CP,111
2002,State House,2A,DFL,111
2002,State House,2A,GP,111
2002,State House,2A,I,111
2002,State House,2A,IND,111
2002,State House,2A,R,111
2002,State House,2B,CP,102
2002,State House,2B,DFL,102
2002,State House,2B,GP,102
2002,State House,2B,I,102
2002,State House,2B,IND,102
2002,State House,2B,R,102
2002,State House,30A,CP,18
2002,State House,30A,DFL,18
2002,State House,30A,GP,18
2002,State House,30A,I,18
2002,State House,30A,IND,18
2002,State House,30A,R,18
2002,State House,30B,CP,30
2002,State House,30B,DFL,30
2002,State House,30B,GP,30
2002,State House,30B,I,30
2002,State House,30B,IND,30
2002,State House,30B,R,30
2002,State House,31A,CP,31
2002,State House,31A,DFL,31
2002,State House,31A,GP,31
2002,State House,31A,I,31
2002,State House,31A,IND,31
2002,State House,31A,R,31
2002,State House,31B,CP,56
2002,State House,31B,DFL,56
2002,State House,31B,GP,56
2002,State House,31B,I,56
2002,State House,31B,IND,56
2002,State House,31B,R,56
2002,State House,32A,CP,20
2002,State House,32A,DFL,20
2002,State House,32A,GP,20
2002,State House,32A,I,20
2002,State House,32A,IND,20
2002,State House,32A,R,20
2002,State House,32B,CP,16
2002,State House,32B,DFL,16
2002,State House,32B,GP,16
2002,State House,32B,I,16
2002,State House,32B,IND,16
2002,State House,32B,R,16
2002,State House,33A,CP,17
2002,State House,33A,DFL,17
2002,State House,33A,GP,17
2002,State House,33A,I,17
2002,State House,33A,IND,17
2002,State House,33A,R,17
2002,State House,33B,CP,22
2002,State House,33B,DFL,22
2002,State House,33B,GP,22
2002,State House,33B,I,22
2002,State House,33B,IND,22
2002,State House,33B,R,22
2002,State House,34A,CP,24
2002,State House,34A,DFL,24
2002,State House,34A,GP,24
2002,State House,34A,I,24
2002,State House,34A,IND,24
2002,State House,34A,R,24
2002,State House,34B,CP,14
2002,State House,34B,DFL,14
2002,State House,34B,GP,14
2002,State House,34B,I,14
2002,State House,34B,IND,14
2002,State House,34B,R,14
2002,State House,35A,CP,17
2002,State House,35A,DFL,17
2002,State House,35A,GP,17
2002,State House,35A,I,17
2002,State House,35A,IND,17
2002,State House,35A,R,17
2002,State House,35B,CP,13
2002,State House,35B,DFL,13
2002,State House,35B,GP,13
2002,State House,35B,I,13
2002,State House,35B,IND,13
2002,State House,35B,R,13
2002,State House,36A,CP,12
2002,State House,36A,DFL,12
2002,State House,36A,GP,12
2002,State House,36A,I,12
2002,State House,36A,IND,12
2002,State House,36A,R,12
2002,State House,36B,CP,29
2002,State House,36B,DFL,29
2002,State House,36B,GP,29
2002,State House,36B,I,29
2002,State House,36B,IND,29
2002,State House,36B,R,29
2002,State House,37A,CP,12
2002,State House,37A,DFL,12
2002,State House,37A,GP,12
2002,State House,37A,I,12
2002,State House,37A,IND,12
2002,State House,37A,R,12
2002,State House,37B,CP,13
2002,State House,37B,DFL,13
2002,State House,37B,GP,13
2002,State House,37B,I,13
2002,State House,37B,IND,13
2002,State House,37B,R,13
2002,State House,38A,CP,11
2002,State House,38A,DFL,11
2002,State House,38A,GP,11
2002,State House,38A,I,11
2002,State House,38A,IND,11
2002,State House,38A,R,11
2002,State House,38B,CP,12
2002,State House,38B,DFL,12
2002,State House,38B,GP,12
2002,State House,38B,I,12
2002,State House,38B,IND,12
2002,State House,38B,R,12
2002,State House,39A,CP,18
2002,State House,39A,DFL,18
2002,State House,39A,GP,18
2002,State House,39A,I,18
2002,State House,39A,IND,18
2002,State House,39A,R,18
2002,State House,39B,CP,13
2002,State House,39B,DFL,13
2002,State House,39B,GP,13
2002,State House,39B,I,13
2002,State House,39B,IND,13
2002,State House,39B,R,13
2002,State House,3A,CP,96
2002,State House,3A,DFL,96
2002,State House,3A,GP,96
2002,State House,3A,I,96
2002,State House,3A,IND,96
2002,State House,3A,R,96
2002,State House,3B,CP,80
2002,State House,3B,DFL,80
2002,State House,3B,GP,80
2002,State House,3B,I,80
2002,State House,3B,IND,80
2002,State House,3B,R,80
2002,State House,40A,CP,11
2002,State House,40A,DFL,11
2002,State House,40A,GP,11
2002,State House,40A,I,11
2002,State House,40A,IND,11
2002,State House,40A,R,11
2002,State House,40B,CP,12
2002,State House,40B,DFL,12
2002,State House,40B,GP,12
2002,State House,40B,I,12
2002,State House,40B,IND,12
2002,State House,40B,R,12
2002,State House,41A,CP,15
2002,State House,41A,DFL,15
2002,State House,41A,GP,15
2002,State House,41A,I,15
2002,State House,41A,IND,15
2002,State House,41A,R,15
2002,State House,41B,CP,13
2002,State House,41B,DFL,13
2002,State House,41B,GP,13
2002,State House,41B,I,13
2002,State House,41B,IND,13
2002,State House,41B,R,13
2002,State House,42A,CP,16
2002,State House,42A,DFL,16
2002,State House,42A,GP,16
2002,State House,42A,I,16
2002,State House,42A,IND,16
2002,State House,42A,R,16
2002,State House,42B,CP,12
2002,State House,42B,DFL,12
2002,State House,42B,GP,12
2002,State House,42B,I,12
2002,State House,42B,IND,12
2002,State House,42B,R,12
2002,State House,43A,CP,15
2002,State House,43A,DFL,15
2002,State House,43A,GP,15
2002,State House,43A,I,15
2002,State House,43A,IND,15
2002,State House,43A,R,15
2002,State House,43B,CP,17
2002,State House,43B,DFL,17
2002,State House,43B,GP,17
2002,State House,43B,I,17
2002,State House,43B,IND,17
2002,State House,43B,R,17
2002,State House,44A,CP,14
2002,State House,44A,DFL,14
2002,State House,44A,GP,14
2002,State House,44A,I,14
2002,State House,44A,IND,14
2002,State House,44A,R,14
2002,State House,44B,CP,14
2002,State House,44B,DFL,14
2002,State House,44B,GP,14
2002,State House,44B,I,14
2002,State House,44B,IND,14
2002,State House,44B,R,14
2002,State House,45A,CP,16
2002,State House,45A,DFL,16
2002,State House,45A,GP,16
2002,State House,45A,I,16
2002,State House,45A,IND,16
2002,State House,45A,R,16
2002,State House,45B,CP,17
2002,State House,45B,DFL,17
2002,State House,45B,GP,17
2002,State House,45B,I,17
2002,State House,45B,IND,17
2002,State House,45B,R,17
2002,State House,46A,CP,13
2002,State House,46A,DFL,13
2002,State House,46A,GP,13
2002,State House,46A,I,13
2002,State House,46A,IND,13
2002,State House,46A,R,13
2002,State House,46B,CP,10
2002,State House,46B,DFL,10
2002,State House,46B,GP,10
2002,State House,46B,I,10
2002,State House,46B,IND,10
2002,State House,46B,R,10
2002,State House,47A,CP,9
2002,State House,47A,DFL,9
2002,State House,47A,GP,9
2002,State House,47A,I,9
2002,State House,47A,IND,9
2002,State House,47A,R,9
2002,State House,47B,CP,15
2002,State House,47B,DFL,15
2002,State House,47B,GP,15
2002,State House,47B,I,15
2002,State House,47B,IND,15
2002,State House,47B,R,15
2002,State House,48A,CP,14
2002,State House,48A,DFL,14
2002,State House,48A,GP,14
2002,State House,48A,I,14
2002,State House,48A,IND,14
2002,State House,48A,R,14
2002,State House,48B,CP,16
2002,State House,48B,DFL,16
2002,State House,48B,GP,16
2002,State House,48B,I,16
2002,State House,48B,IND,16
2002,State House,48B,R,16
2002,State House,49A,CP,15
2002,State House,49A,DFL,15
2002,State House,49A,GP,15
2002,State House,49A,I,15
2002,State House,49A,IND,15
2002,State House,49A,R,15
2002,State House,49B,CP,13
2002,State House,49B,DFL,13
2002,State House,49B,GP,13
2002,State House,49B,I,13
2002,State House,49B,IND,13
2002,State House,49B,R,13
2002,State House,4A,CP,65
2002,State House,4A,DFL,65
2002,State House,4A,GP,65
2002,State House,4A,I,65
2002,State House,4A,IND,65
2002,State House,4A,R,65
2002,State House,4B,CP,74
2002,State House,4B,DFL,74
2002,State House,4B,GP,74
2002,State House,4B,I,74
2002,State House,4B,IND,74
2002,State House,4B,R,74
2002,State House,50A,CP,17
2002,State House,50A,DFL,17
2002,State House,50A,GP,17
2002,State House,50A,I,17
2002,State House,50A,IND,17
2002,State House,50A,R,17
2002,State House,50B,CP,10
2002,State House,50B,DFL,10
2002,State House,50B,GP,10
2002,State House,50B,I,10
2002,State House,50B,IND,10
2002,State House,50B,R,10
2002,State House,51A,CP,16
2002,State House,51A,DFL,16
2002,State House,51A,GP,16
2002,State House,51A,I,16
2002,State House,51A,IND,16
2002,State House,51A,R,16
2002,State House,51B,CP,17
2002,State House,51B,DFL,17
2002,State House,51B,GP,17
2002,State House,51B,I,17
2002,State House,51B,IND,17
2002,State House,51B,R,17
2002,State House,52A,CP,12
2002,State House,52A,DFL,12
2002,State House,52A,GP,12
2002,State House,52A,I,12
2002,State House,52A,IND,12
2002,State House,52A,R,12
2002,State House,52B,CP,18
2002,State House,52B,DFL,18
2002,State House,52B,GP,18
2002,State House,52B,I,18
2002,State House,52B,IND,18
2002,State House,52B,R,18
2002,State House,53A,CP,12
2002,State House,53A,DFL,12
2002,State House,53A,GP,12
2002,State House,53A,I,12
2002,State House,53A,IND,12
2002,State House,53A,R,12
2002,State House,53B,CP,10
2002,State House,53B,DFL,10
2002,State House,53B,GP,10
2002,State House,53B,I,10
2002,State House,53B,IND,10
2002,State House,53B,R,10
2002,State House,54A,CP,11
2002,State House,54A,DFL,11
2002,State House,54A,GP,11
2002,State House,54A,I,11
2002,State House,54A,IND,11
2002,State House,54A,R,11
2002,State House,54B,CP,13
2002,State House,54B,DFL,13
2002,State House,54B,GP,13
2002,State House,54B,I,13
2002,State House,54B,IND,13
2002,State House,54B,R,13
2002,State House,55A,CP,15
2002,State House,55A,DFL,15
2002,State House,55A,GP,15
2002,State House,55A,I,15
2002,State House,55A,IND,15
2002,State House,55A,R,15
2002,State House,55B,CP,13
2002,State House,55B,DFL,13
2002,State House,55B,GP,13
2002,State House,55B,I,13
2002,State House,55B,IND,13
2002,State House,55B,R,13
2002,State House,56A,CP,15
2002,State House,56A,DFL,15
2002,State House,56A,GP,15
2002,State House,56A,I,15
2002,State House,56A,IND,15
2002,State House,56A,R,15
2002,State House,56B,CP,11
2002,State House,56B,DFL,11
2002,State House,56B,GP,11
2002,State House,56B,I,11
2002,State House,56B,IND,11
2002,State House,56B,R,11
2002,State House,57A,CP,15
2002,State House,57A,DFL,15
2002,State House,57A,GP,15
2002,State House,57A,I,15
2002,State House,57A,IND,15
2002,State House,57A,R,15
2002,State House,57B,CP,19
2002,State House,57B,DFL,19
2002,State House,57B,GP,19
2002,State House,57B,I,19
2002,State House,57B,IND,19
2002,State House,57B,R,19
2002,State House,58A,CP,12
2002,State House,58A,DFL,12
2002,State House,58A,GP,12
2002,State House,58A,I,12
2002,State House,58A,IND,12
2002,State House,58A,R,12
2002,State House,58B,CP,14
2002,State House,58B,DFL,14
2002,State House,58B,GP,14
2002,State House,58B,I,14
2002,State House,58B,IND,14
2002,State House,58B,R,14
2002,State House,59A,CP,12
2002,State House,59A,DFL,12
2002,State House,59A,GP,12
2002,State House,59A,I,12
2002,State House,59A,IND,12
2002,State House,59A,R,12
2002,State House,59B,CP,12
2002,State House,59B,DFL,12
2002,State House,59B,GP,12
2002,State House,59B,I,12
2002,State House,59B,IND,12
2002,State House,59B,R,12
2002,State House,5A,CP,52
2002,State House,5A,DFL,52
2002,State House,5A,GP,52
2002,State House,5A,I,52
2002,State House,5A,IND,52
2002,State House,5A,R,52
2002,State House,5B,CP,44
2002,State House,5B,DFL,44
2002,State House,5B,GP,44
2002,State House,5B,I,44
2002,State House,5B,IND,44
2002,State House,5B,R,44
2002,State House,60A,CP,13
2002,State House,60A,DFL,13
2002,State House,60A,GP,13
2002,State House,60A,I,13
2002,State House,60A,IND,13
2002,State House,60A,R,13
2002,State House,60B,CP,13
2002,State House,60B,DFL,13
2002,State House,60B,GP,13
2002,State House,60B,I,13
2002,State House,60B,IND,13
2002,State House,60B,R,13
2002,State House,61A,CP,11
2002,State House,61A,DFL,11
2002,State House,61A,GP,11
2002,State House,61A,I,11
2002,State House,61A,IND,11
2002,State House,61A,R,11
2002,State House,61B,CP,12
2002,State House,61B,DFL,12
2002,State House,61B,GP,12
2002,State House,61B,I,12
2002,State House,61B,IND,12
2002,State House,61B,R,12
2002,State House,62A,CP,13
2002,State House,62A,DFL,13
2002,State House,62A,GP,13
2002,State House,62A,I,13
2002,State House,62A,IND,13
2002,State House,62A,R,13
2002,State House,62B,CP,13
2002,State House,62B,DFL,13
2002,State House,62B,GP,13
2002,State House,62B,I,13
2002,State House,62B,IND,13
2002,State House,62B,R,13
2002,State House,63A,CP,10
2002,State House,63A,DFL,10
2002,State House,63A,GP,10
2002,State House,63A,I,10
2002,State House,63A,IND,10
2002,State House,63A,R,10
2002,State House,63B,CP,11
2002,State House,63B,DFL,11
2002,State House,63B,GP,11
2002,State House,63B,I,11
2002,State House,63B,IND,11
2002,State House,63B,R,11
2002,State House,64A,CP,15
2002,State House,64A,DFL,15
2002,State House,64A,GP,15
2002,State House,64A,I,15
2002,State House,64A,IND,15
2002,State House,64A,R,15
2002,State House,64B,CP,14
2002,State House,64B,DFL,14
2002,State House,64B,GP,14
2002,State House,64B,I,14
2002,State House,64B,IND,14
2002,State House,64B,R,14
2002,State House,65A,CP,11
2002,State House,65A,DFL,11
2002,State House,65A,GP,11
2002,State House,65A,I,11
2002,State House,65A,IND,11
2002,State House,65A,R,11
2002,State House,65B,CP,14
2002,State House,65B,DFL,14
2002,State House,65B,GP,14
2002,State House,65B,I,14
2002,State House,65B,IND,14
2002,State House,65B,R,14
2002,State House,66A,CP,12
2002,State House,66A,DFL,12
2002,State House,66A,GP,12
2002,State House,66A,I,12
2002,State House,66A,IND,12
2002,State House,66A,R,12
2002,State House,66B,CP,14
2002,State House,66B,DFL,14
2002,State House,66B,GP,14
2002,State House,66B,I,14
2002,State House,66B,IND,14
2002,State House,66B,R,14
2002,State House,67A,CP,13
2002,State House,67A,DFL,13
2002,State House,67A,GP,13
2002,State House,67A,I,13
2002,State House,67A,IND,13
2002,State House,67A,R,13
2002,State House,67B,CP,13
2002,State House,67B,DFL,13
2002,State House,67B,GP,13
2002,State House,67B,I,13
2002,State House,67B,IND,13
2002,State House,67B,R,13
2002,State House,6A,CP,73
2002,State House,6A,DFL,73
2002,State House,6A,GP,73
2002,State House,6A,I,73
2002,State House,6A,IND,73
2002,State House,6A,R,73
2002,State House,6B,CP,15
2002,State House,6B,DFL,15
2002,State House,6B,GP,15
2002,State House,6B,I,15
2002,State House,6B,IND,15
2002,State House,6B,R,15
2002,State House,7A,CP,15
2002,State House,7A,DFL,15
2002,State House,7A,GP,15
2002,State House,7A,I,15
2002,State House,7A,IND,15
2002,State House,7A,R,15
2002,State House,7B,CP,16
2002,State House,7B,DFL,16
2002,State House,7B,GP,16
2002,State House,7B,I,16
2002,State House,7B,IND,16
2002,State House,7B,R,16
2002,State House,8A,CP,70
2002,State House,8A,DFL,70
2002,State House,8A,GP,70
2002,State House,8A,I,70
2002,State House,8A,IND,70
2002,State House,8A,R,70
2002,State House,8B,CP,43
2002,State House,8B,DFL,43
2002,State House,8B,GP,43
2002,State House,8B,I,43
2002,State House,8B,IND,43
2002,State House,8B,R,43
2002,State House,9A,CP,26
2002,State House,9A,DFL,26
2002,State House,9A,GP,26
2002,State House,9A,I,26
2002,State House,9A,IND,26
2002,State House,9A,R,26
2002,State House,9B,CP,85
2002,State House,9B,DFL,85
2002,State House,9B,GP,85
2002,State House,9B,I,85
2002,State House,9B,IND,85
2002,State House,9B,R,85
2002,State Senate,1,CP,245
2002,State Senate,1,DFL,245
2002,State Senate,1,GP,245
2002,State Senate,1,ICP,245
2002,State Senate,1,IND,245
2002,State Senate,1,R,245
2002,State Senate,10,CP,122
2002,State Senate,10,DFL,122
2002,State Senate,10,GP,122
2002,State Senate,10,ICP,122
2002,State Senate,10,IND,122
2002,State Senate,10,R,122
2002,State Senate,11,CP,122
2002,State Senate,11,DFL,122
2002,State Senate,11,GP,122
2002,State Senate,11,ICP,122
2002,State Senate,11,IND,122
2002,State Senate,11,R,122
2002,State Senate,12,CP,78
2002,State Senate,12,DFL,78
2002,State Senate,12,GP,78
2002,State Senate,12,ICP,78
2002,State Senate,12,IND,78
2002,State Senate,12,R,78
2002,State Senate,13,CP,109
2002,State Senate,13,DFL,109
2002,State Senate,13,GP,109
2002,State Senate,13,ICP,109
2002,State Senate,13,IND,109
2002,State Senate,13,R,109
2002,State Senate,14,CP,52
2002,State Senate,14,DFL,52
2002,State Senate,14,GP,52
2002,State Senate,14,ICP,52
2002,State Senate,14,IND,52
2002,State Senate,14,R,52
2002,State Senate,15,CP,43
2002,State Senate,15,DFL,43
2002,State Senate,15,GP,43
2002,State Senate,15,ICP,43
2002,State Senate,15,IND,43
2002,State Senate,15,R,43
2002,State Senate,16,CP,61
2002,State Senate,16,DFL,61
2002,State Senate,16,GP,61
2002,State Senate,16,ICP,61
2002,State Senate,16,IND,61
2002,State Senate,16,R,61
2002,State Senate,17,CP,38
2002,State Senate,17,DFL,38
2002,State Senate,17,GP,38
2002,State Senate,17,ICP,38
2002,State Senate,17,IND,38
2002,State Senate,17,R,38
2002,State Senate,18,CP,68
2002,State Senate,18,DFL,68
2002,State Senate,18,GP,68
2002,State Senate,18,ICP,68
2002,State Senate,18,IND,68
2002,State Senate,18,R,68
2002,State Senate,19,CP,28
2002,State Senate,19,DFL,28
2002,State Senate,19,GP,28
2002,State Senate,19,ICP,28
2002,State Senate,19,IND,28
2002,State Senate,19,R,28
2002,State Senate,2,CP,213
2002,State Senate,2,DFL,213
2002,State Senate,2,GP,213
2002,State Senate,2,ICP,213
2002,State Senate,2,IND,213
2002,State Senate,2,R,213
2002,State Senate,20,CP,200
2002,State Senate,20,DFL,200
2002,State Senate,20,GP,200
2002,State Senate,20,ICP,200
2002,State Senate,20,IND,200
2002,State Senate,20,R,200
2002,State Senate,21,CP,117
2002,State Senate,21,DFL,117
2002,State Senate,21,GP,117
2002,State Senate,21,ICP,117
2002,State Senate,21,IND,117
2002,State Senate,21,R,117
2002,State Senate,22,CP,174
2002,State Senate,22,DFL,174
2002,State Senate,22,GP,174
2002,State Senate,22,ICP,174
2002,State Senate,22,IND,174
2002,State Senate,22,R,174
2002,State Senate,23,CP,69
2002,State Senate,23,DFL,69
2002,State Senate,23,GP,69
2002,State Senate,23,ICP,69
2002,State Senate,23,IND,69
2002,State Senate,23,R,69
2002,State Senate,24,CP,127
2002,State Senate,24,DFL,127
2002,State Senate,24,GP,127
2002,State Senate,24,ICP,127
2002,State Senate,24,IND,127
2002,State Senate,24,R,127
2002,State Senate,25,CP,66
2002,State Senate,25,DFL,66
2002,State Senate,25,GP,66
2002,State Senate,25,ICP,66
2002,State Senate,25,IND,66
2002,State Senate,25,R,66
2002,State Senate,26,CP,47
2002,State Senate,26,DFL,47
2002,State Senate,26,GP,47
2002,State Senate,26,ICP,47
2002,State Senate,26,IND,47
2002,State Senate,26,R,47
2002,State Senate,27,CP,84
2002,State Senate,27,DFL,84
2002,State Senate,27,GP,84
2002,State Senate,27,ICP,84
2002,State Senate,27,IND,84
2002,State Senate,27,R,84
2002,State Senate,28,CP,87
2002,State Senate,28,DFL,87
2002,State Senate,28,GP,87
2002,State Senate,28,ICP,87
2002,State Senate,28,IND,87
2002,State Senate,28,R,87
2002,State Senate,29,CP,51
2002,State Senate,29,DFL,51
2002,State Senate,29,GP,51
2002,State Senate,29,ICP,51
2002,State Senate,29,IND,51
2002,State Senate,29,R,51
2002,State Senate,3,CP,176
2002,State Senate,3,DFL,176
2002,State Senate,3,GP,176
2002,State Senate,3,ICP,176
2002,State Senate,3,IND,176
2002,State Senate,3,R,176
2002,State Senate,30,CP,48
2002,State Senate,30,DFL,48
2002,State Senate,30,GP,48
2002,State Senate,30,ICP,48
2002,State Senate,30,IND,48
2002,State Senate,30,R,48
2002,State Senate,31,CP,87
2002,State Senate,31,DFL,87
2002,State Senate,31,GP,87
2002,State Senate,31,ICP,87
2002,State Senate,31,IND,87
2002,State Senate,31,R,87
2002,State Senate,32,CP,36
2002,State Senate,32,DFL,36
2002,State Senate,32,GP,36
2002,State Senate,32,ICP,36
2002,State Senate,32,IND,36
2002,State Senate,32,R,36
2002,State Senate,33,CP,39
2002,State Senate,33,DFL,39
2002,State Senate,33,GP,39
2002,State Senate,33,ICP,39
2002,State Senate,33,IND,39
2002,State Senate,33,R,39
2002,State Senate,34,CP,38
2002,State Senate,34,DFL,38
2002,State Senate,34,GP,38
2002,State Senate,34,ICP,38
2002,State Senate,34,IND,38
2002,State Senate,34,R,38
2002,State Senate,35,CP,30
2002,State Senate,35,DFL,30
2002,State Senate,35,GP,30
2002,State Senate,35,ICP,30
2002,State Senate,35,IND,30
2002,State Senate,35,R,30
2002,State Senate,36,CP,41
2002,State Senate,36,DFL,41
2002,State Senate,36,GP,41
