year,office,district,party,missing_rows
2002,Attorney General,NA,IND,4106
2002,Governor,NA,CP,4106
2002,Governor,NA,GP,4106
2002,Governor,NA,I,4106
2002,Governor,NA,SWP,4106
2002,Secretary of State,NA,GP,4106
2002,Secretary of State,NA,IND,4106
2002,State Auditor,NA,GP,4106
2002,State Auditor,NA,IND,4106
2002,State House,10A,CP,53
2002,State House,10A,DFL,53
2002,State House,10A,GP,53
2002,State House,10A,I,53
2002,State House,10A,IND,53
2002,State House,10A,R,53
2002,State House,10B,CP,69
2002,State House,10B,DFL,69
2002,State House,10B,GP,69
2002,State House,10B,I,69
2002,State House,10B,IND,69
2002,State House,10B,R,69
2002,State House,11A,CP,71
2002,State House,11A,DFL,71
2002,State House,11A,GP,71
2002,State House,11A,I,71
2002,State House,11A,IND,71
2002,State House,11A,R,71
2002,State House,11B,CP,51
2002,State House,11B,DFL,51
2002,State House,11B,GP,51
2002,State House,11B,I,51
2002,State House,11B,IND,51
2002,State House,11B,R,51
2002,State House,12A,CP,25
2002,State House,12A,DFL,25
2002,State House,12A,GP,25
2002,State House,12A,I,25
2002,State House,12A,IND,25
2002,State House,12A,R,25
2002,State House,12B,CP,53
2002,State House,12B,DFL,53
2002,State House,12B,GP,53
2002,State House,12B,I,53
2002,State House,12B,IND,53
2002,State House,12B,R,53
2002,State House,13A,CP,71
2002,State House,13A,DFL,71
2002,State House,13A,GP,71
2002,State House,13A,I,71
2002,State House,13A,IND,71
2002,State House,13A,R,71
2002,State House,13B,CP,38
2002,State House,13B,DFL,38
2002,State House,13B,GP,38
2002,State House,13B,I,38
2002,State House,13B,IND,38
2002,State House,13B,R,38
2002,State House,14A,CP,26
2002,State House,14A,DFL,26
2002,State House,14A,GP,26
2002,State House,14A,I,26
2002,State House,14A,IND,26
2002,State House,14A,R,26
2002,State House,14B,CP,26
2002,State House,14B,DFL,26
2002,State House,14B,GP,26
2002,State House,14B,I,26
2002,State House,14B,IND,26
2002,State House,14B,R,26
2002,State House,15A,CP,19
2002,State House,15A,DFL,19
2002,State House,15A,GP,19
2002,State House,15A,I,19
2002,State House,15A,IND,19
2002,State House,15A,R,19
2002,State House,15B,CP,24
2002,State House,15B,DFL,24
2002,State House,15B,GP,24
2002,State House,15B,I,24
2002,State House,15B,IND,24
2002,State House,15B,R,24
2002,State House,16A,CP,46
2002,State House,16A,DFL,46
2002,State House,16A,GP,46
2002,State House,16A,I,46
2002,State House,16A,IND,46
2002,State House,16A,R,46
2002,State House,16B,CP,15
2002,State House,16B,DFL,15
2002,State House,16B,GP,15
2002,State House,16B,I,15
2002,State House,16B,IND,15
2002,State House,16B,R,15
2002,State House,17A,CP,18
2002,State House,17A,DFL,18
2002,State House,17A,GP,18
2002,State House,17A,I,18
2002,State House,17A,IND,18
2002,State House,17A,R,18
2002,State House,17B,CP,20
2002,State House,17B,DFL,20
2002,State House,17B,GP,20
2002,State House,17B,I,20
2002,State House,17B,IND,20
2002,State House,17B,R,20
2002,State House,18A,CP,31
2002,State House,18A,DFL,31
2002,State House,18A,GP,31
2002,State House,18A,I,31
