year,office,district,party,candidate
2024,State House,40B,DFL,Curtis Johnson
2024,State House,40B,R,Paul Wikstrom
2024,State House,41A,DFL,Lucia Wroblewski
2024,State House,41A,R,Wayne A. Johnson
2024,State House,41B,DFL,Jen Fox
2024,State House,41B,R,Tom Dippel
2024,State House,42A,DFL,Ned Carroll
2024,State House,42A,R,Kathy Burkett
2024,State House,42B,DFL,Ginny Klevorn
2024,State House,42B,R,Perry L. Nouis
2024,State House,43A,DFL,Cedrick Rommel Frazier
2024,State House,43A,R,Todd Hesemann
2024,State House,43B,DFL,Mike Freiberg
2024,State House,43B,R,Steve Merriman
2024,State House,44A,DFL,Peter M. Fischer
2024,State House,44A,R,Karla J. Nelson
2024,State House,44B,DFL,Leon M. Lillie
2024,State House,44B,R,Bill Dahn
2024,State House,45A,DFL,Tracey Breazeale
2024,State House,45A,R,Andrew Myers
2024,State House,45B,DFL,Patty Acomb
2024,State House,46A,DFL,Larry Kraft
2024,State House,46A,R,John Nagel
2024,State House,46B,DFL,Cheryl Youakim
2024,State House,46B,R,Kim Rich
2024,State House,47A,DFL,Amanda Hemmingsen-Jaeger
2024,State House,47A,R,Teresa Whitson
2024,State House,47B,DFL,Ethan Cha
2024,State House,47B,R,Dwight Dorau
2024,State House,48A,DFL,Nathan Kells
2024,State House,48A,R,Jim Nash
2024,State House,48B,DFL,Lucille (Lucy) Rehm
2024,State House,48B,R,Caleb Steffenhagen
2024,State House,49A,DFL,Alex Falconer
2024,State House,49A,R,Stacy L. Bettison
2024,State House,49B,DFL,Carlie Kotyza-Witthuhn
2024,State House,49B,R,Wendi Russo
2024,State House,4A,DFL,Heather Keeler
2024,State House,4A,R,Joshua Zincke
2024,State House,4B,DFL,Thaddeus Laugisch
2024,State House,4B,R,Jim Joy
2024,State House,50A,DFL,Julie Greene
2024,State House,50A,R,Owen Michaelson
2024,State House,50B,DFL,Steve Elkins
2024,State House,50B,R,Bob Gust
2024,State House,51A,DFL,Michael Howard
2024,State House,51A,R,Jeffrey Thompson
2024,State House,51B,DFL,Nathan Coulter
2024,State House,51B,R,Dale (Lion Dale) Johnson
2024,State House,52A,DFL,Liz Reyer
2024,State House,52A,R,Diane Anderson
