county,precinct,office,district,candidate,party,votes
Cass,Bungo Twp,President,NA,Rachele Fruit,SWP,0
Cass,Bungo Twp,President,NA,Robert F. Kennedy Jr.,JFA,1
Cass,Bungo Twp,President,NA,Other Independent,IND,0
Cass,Bungo Twp,President,NA,WRITE-IN,WI,0
Cass,Bungo Twp,U.S. Senate,NA,Royce White,R,91
Cass,Bungo Twp,U.S. Senate,NA,Amy Klobuchar,DFL,20
Cass,Bungo Twp,U.S. Senate,NA,Rebecca Whiting,LIB,1
Cass,Bungo Twp,U.S. Senate,NA,Steve Carlson,IA,1
Cass,Bungo Twp,U.S. Senate,NA,WRITE-IN,WI,0
Cass,Bungo Twp,U.S. House,8,Pete Stauber,R,90
Cass,Bungo Twp,U.S. House,8,Jennifer Schultz,DFL,23
Cass,Bungo Twp,U.S. House,8,WRITE-IN,WI,0
Cass,Bungo Twp,State Senate,5,Not on ballot,R,0
Cass,Bungo Twp,State Senate,5,Not on ballot,DFL,0
Cass,Bungo Twp,State Senate,5,WRITE-IN,WI,0
Cass,Bungo Twp,State House,5A,Krista Knudsen,R,94
Cass,Bungo Twp,State House,5A,Brian M. Hobson,DFL,18
Cass,Bungo Twp,State House,5A,WRITE-IN,WI,0
Cass,Bungo Twp,Constitutional Amendment 1,NA,YES,NP,68
Cass,Bungo Twp,Constitutional Amendment 1,NA,NO,NP,43
Cass,Byron Twp,State Senate,5,DIST Candidate,DIST,5
Cass,Byron Twp,President,NA,Donald Trump,R,74
Cass,Byron Twp,President,NA,Kamala Harris,DFL,20
Cass,Byron Twp,President,NA,Chase Oliver,LIB,0
Cass,Byron Twp,President,NA,Cornel West,WTP,1
Cass,Byron Twp,President,NA,Jill Stein,G,0
Cass,Byron Twp,President,NA,Claudia De la Cruz,SLP,0
Cass,Byron Twp,President,NA,Rachele Fruit,SWP,0
Cass,Byron Twp,President,NA,Robert F. Kennedy Jr.,JFA,0
Cass,Byron Twp,President,NA,Other Independent,IND,0
Cass,Byron Twp,President,NA,WRITE-IN,WI,1
Cass,Byron Twp,U.S. Senate,NA,Royce White,R,70
Cass,Byron Twp,U.S. Senate,NA,Amy Klobuchar,DFL,25
Cass,Byron Twp,U.S. Senate,NA,Rebecca Whiting,LIB,0
Cass,Byron Twp,U.S. Senate,NA,Steve Carlson,IA,0
Cass,Byron Twp,U.S. Senate,NA,WRITE-IN,WI,0
Cass,Byron Twp,U.S. House,8,Pete Stauber,R,74
Cass,Byron Twp,U.S. House,8,Jennifer Schultz,DFL,20
Cass,Byron Twp,U.S. House,8,WRITE-IN,WI,0
Cass,Byron Twp,State Senate,5,Not on ballot,R,0
Cass,Byron Twp,State Senate,5,Not on ballot,DFL,0
Cass,Byron Twp,State Senate,5,WRITE-IN,WI,0
Cass,Byron Twp,State House,5B,Mike Wiener,R,73
Cass,Byron Twp,State House,5B,Gregg Hendrickson,DFL,20
Cass,Byron Twp,State House,5B,WRITE-IN,WI,1
Cass,Byron Twp,Constitutional Amendment 1,NA,YES,NP,49
Cass,Byron Twp,Constitutional Amendment 1,NA,NO,NP,40
Cass,Cass Lake,State Senate,2,DIST Candidate,DIST,2
Cass,Cass Lake,President,NA,Donald Trump,R,63
Cass,Cass Lake,President,NA,Kamala Harris,DFL,214
Cass,Cass Lake,President,NA,Chase Oliver,LIB,0
Cass,Cass Lake,President,NA,Cornel West,WTP,4
Cass,Cass Lake,President,NA,Jill Stein,G,0
Cass,Cass Lake,President,NA,Claudia De la Cruz,SLP,0
Cass,Cass Lake,President,NA,Rachele Fruit,SWP,0
Cass,Cass Lake,President,NA,Robert F. Kennedy Jr.,JFA,0
Cass,Cass Lake,President,NA,Other Independent,IND,1
Cass,Cass Lake,President,NA,WRITE-IN,WI,1
Cass,Cass Lake,U.S. Senate,NA,Royce White,R,48
Cass,Cass Lake,U.S. Senate,NA,Amy Klobuchar,DFL,220
Cass,Cass Lake,U.S. Senate,NA,Rebecca Whiting,LIB,9
Cass,Cass Lake,U.S. Senate,NA,Steve Carlson,IA,4
Cass,Cass Lake,U.S. Senate,NA,WRITE-IN,WI,0
Cass,Cass Lake,U.S. House,8,Pete Stauber,R,63
Cass,Cass Lake,U.S. House,8,Jennifer Schultz,DFL,218
Cass,Cass Lake,U.S. House,8,WRITE-IN,WI,1
Cass,Cass Lake,State Senate,2,Not on ballot,R,0
Cass,Cass Lake,State Senate,2,Not on ballot,DFL,0
Cass,Cass Lake,State Senate,2,WRITE-IN,WI,0
Cass,Cass Lake,State House,2B,Matt Bliss,R,52
Cass,Cass Lake,State House,2B,Michael Reyes,DFL,228
Cass,Cass Lake,State House,2B,WRITE-IN,WI,0
Cass,Cass Lake,Constitutional Amendment 1,NA,YES,NP,249
Cass,Cass Lake,Constitutional Amendment 1,NA,NO,NP,21
Cass,Chickamaw Beach,State Senate,5,DIST Candidate,DIST,5
Cass,Chickamaw Beach,President,NA,Donald Trump,R,57
Cass,Chickamaw Beach,President,NA,Kamala Harris,DFL,37
Cass,Chickamaw Beach,President,NA,Chase Oliver,LIB,0
Cass,Chickamaw Beach,President,NA,Cornel West,WTP,0
Cass,Chickamaw Beach,President,NA,Jill Stein,G,0
Cass,Chickamaw Beach,President,NA,Claudia De la Cruz,SLP,0
Cass,Chickamaw Beach,President,NA,Rachele Fruit,SWP,0
Cass,Chickamaw Beach,President,NA,Robert F. Kennedy Jr.,JFA,0
Cass,Chickamaw Beach,President,NA,Other Independent,IND,0
Cass,Chickamaw Beach,President,NA,WRITE-IN,WI,0
Cass,Chickamaw Beach,U.S. Senate,NA,Royce White,R,53
Cass,Chickamaw Beach,U.S. Senate,NA,Amy Klobuchar,DFL,40
Cass,Chickamaw Beach,U.S. Senate,NA,Rebecca Whiting,LIB,0
Cass,Chickamaw Beach,U.S. Senate,NA,Steve Carlson,IA,2
Cass,Chickamaw Beach,U.S. Senate,NA,WRITE-IN,WI,0
Cass,Chickamaw Beach,U.S. House,8,Pete Stauber,R,56
Cass,Chickamaw Beach,U.S. House,8,Jennifer Schultz,DFL,36
Cass,Chickamaw Beach,U.S. House,8,WRITE-IN,WI,0
Cass,Chickamaw Beach,State Senate,5,Not on ballot,R,0
Cass,Chickamaw Beach,State Senate,5,Not on ballot,DFL,0
Cass,Chickamaw Beach,State Senate,5,WRITE-IN,WI,0
Cass,Chickamaw Beach,State House,5A,Krista Knudsen,R,58
Cass,Chickamaw Beach,State House,5A,Brian M. Hobson,DFL,35
Cass,Chickamaw Beach,State House,5A,WRITE-IN,WI,0
Cass,Chickamaw Beach,Constitutional Amendment 1,NA,YES,NP,60
Cass,Chickamaw Beach,Constitutional Amendment 1,NA,NO,NP,27
Cass,Crooked Lake Twp,State Senate,6,DIST Candidate,DIST,6
Cass,Crooked Lake Twp,President,NA,Donald Trump,R,258
Cass,Crooked Lake Twp,President,NA,Kamala Harris,DFL,169
Cass,Crooked Lake Twp,President,NA,Chase Oliver,LIB,0
Cass,Crooked Lake Twp,President,NA,Cornel West,WTP,2
Cass,Crooked Lake Twp,President,NA,Jill Stein,G,0
Cass,Crooked Lake Twp,President,NA,Claudia De la Cruz,SLP,0
Cass,Crooked Lake Twp,President,NA,Rachele Fruit,SWP,0
Cass,Crooked Lake Twp,President,NA,Robert F. Kennedy Jr.,JFA,1
Cass,Crooked Lake Twp,President,NA,Other Independent,IND,0
Cass,Crooked Lake Twp,President,NA,WRITE-IN,WI,3
Cass,Crooked Lake Twp,U.S. Senate,NA,Royce White,R,223
Cass,Crooked Lake Twp,U.S. Senate,NA,Amy Klobuchar,DFL,197
Cass,Crooked Lake Twp,U.S. Senate,NA,Rebecca Whiting,LIB,9
Cass,Crooked Lake Twp,U.S. Senate,NA,Steve Carlson,IA,2
Cass,Crooked Lake Twp,U.S. Senate,NA,WRITE-IN,WI,1
Cass,Crooked Lake Twp,U.S. House,8,Pete Stauber,R,260
Cass,Crooked Lake Twp,U.S. House,8,Jennifer Schultz,DFL,170
Cass,Crooked Lake Twp,U.S. House,8,WRITE-IN,WI,0
Cass,Crooked Lake Twp,State Senate,6,Not on ballot,R,0
Cass,Crooked Lake Twp,State Senate,6,Not on ballot,DFL,0
Cass,Crooked Lake Twp,State Senate,6,WRITE-IN,WI,0
Cass,Crooked Lake Twp,State House,6A,Ben Davis,R,275
Cass,Crooked Lake Twp,State House,6A,Earl Butenhoff,DFL,151
Cass,Crooked Lake Twp,State House,6A,WRITE-IN,WI,0
Cass,Crooked Lake Twp,Constitutional Amendment 1,NA,YES,NP,338
Cass,Crooked Lake Twp,Constitutional Amendment 1,NA,NO,NP,79
Cass,Deerfield Twp,State Senate,5,DIST Candidate,DIST,5
Cass,Deerfield Twp,President,NA,Donald Trump,R,61
Cass,Deerfield Twp,President,NA,Kamala Harris,DFL,17
Cass,Deerfield Twp,President,NA,Chase Oliver,LIB,1
Cass,Deerfield Twp,President,NA,Cornel West,WTP,0
Cass,Deerfield Twp,President,NA,Jill Stein,G,0
Cass,Deerfield Twp,President,NA,Claudia De la Cruz,SLP,0
Cass,Deerfield Twp,President,NA,Rachele Fruit,SWP,0
Cass,Deerfield Twp,President,NA,Robert F. Kennedy Jr.,JFA,0
Cass,Deerfield Twp,President,NA,Other Independent,IND,0
Cass,Deerfield Twp,President,NA,WRITE-IN,WI,0
Cass,Deerfield Twp,U.S. Senate,NA,Royce White,R,51
Cass,Deerfield Twp,U.S. Senate,NA,Amy Klobuchar,DFL,25
Cass,Deerfield Twp,U.S. Senate,NA,Rebecca Whiting,LIB,1
Cass,Deerfield Twp,U.S. Senate,NA,Steve Carlson,IA,0
Cass,Deerfield Twp,U.S. Senate,NA,WRITE-IN,WI,0
Cass,Deerfield Twp,U.S. House,8,Pete Stauber,R,63
Cass,Deerfield Twp,U.S. House,8,Jennifer Schultz,DFL,15
Cass,Deerfield Twp,U.S. House,8,WRITE-IN,WI,0
Cass,Deerfield Twp,State Senate,5,Not on ballot,R,0
Cass,Deerfield Twp,State Senate,5,Not on ballot,DFL,0
Cass,Deerfield Twp,State Senate,5,WRITE-IN,WI,0
Cass,Deerfield Twp,State House,5A,Krista Knudsen,R,59
Cass,Deerfield Twp,State House,5A,Brian M. Hobson,DFL,18
Cass,Deerfield Twp,State House,5A,WRITE-IN,WI,0
Cass,Deerfield Twp,Constitutional Amendment 1,NA,YES,NP,50
Cass,Deerfield Twp,Constitutional Amendment 1,NA,NO,NP,26
Cass,East Gull Lake,State Senate,5,DIST Candidate,DIST,5
Cass,East Gull Lake,President,NA,Donald Trump,R,546
Cass,East Gull Lake,President,NA,Kamala Harris,DFL,280
Cass,East Gull Lake,President,NA,Chase Oliver,LIB,0
Cass,East Gull Lake,President,NA,Cornel West,WTP,5
Cass,East Gull Lake,President,NA,Jill Stein,G,0
Cass,East Gull Lake,President,NA,Claudia De la Cruz,SLP,0
Cass,East Gull Lake,President,NA,Rachele Fruit,SWP,0
Cass,East Gull Lake,President,NA,Robert F. Kennedy Jr.,JFA,0
Cass,East Gull Lake,President,NA,Other Independent,IND,1
Cass,East Gull Lake,President,NA,WRITE-IN,WI,2
Cass,East Gull Lake,U.S. Senate,NA,Royce White,R,514
Cass,East Gull Lake,U.S. Senate,NA,Amy Klobuchar,DFL,296
Cass,East Gull Lake,U.S. Senate,NA,Rebecca Whiting,LIB,7
Cass,East Gull Lake,U.S. Senate,NA,Steve Carlson,IA,4
Cass,East Gull Lake,U.S. Senate,NA,WRITE-IN,WI,3
Cass,East Gull Lake,U.S. House,8,Pete Stauber,R,568
Cass,East Gull Lake,U.S. House,8,Jennifer Schultz,DFL,247
Cass,East Gull Lake,U.S. House,8,WRITE-IN,WI,1
Cass,East Gull Lake,State Senate,5,Not on ballot,R,0
Cass,East Gull Lake,State Senate,5,Not on ballot,DFL,0
Cass,East Gull Lake,State Senate,5,WRITE-IN,WI,0
Cass,East Gull Lake,State House,5A,Krista Knudsen,R,574
Cass,East Gull Lake,State House,5A,Brian M. Hobson,DFL,236
Cass,East Gull Lake,State House,5A,WRITE-IN,WI,1
Cass,East Gull Lake,Constitutional Amendment 1,NA,YES,NP,580
Cass,East Gull Lake,Constitutional Amendment 1,NA,NO,NP,195
Cass,Fairview Twp,State Senate,5,DIST Candidate,DIST,5
Cass,Fairview Twp,President,NA,Donald Trump,R,503
Cass,Fairview Twp,President,NA,Kamala Harris,DFL,187
Cass,Fairview Twp,President,NA,Chase Oliver,LIB,1
Cass,Fairview Twp,President,NA,Cornel West,WTP,5
Cass,Fairview Twp,President,NA,Jill Stein,G,0
Cass,Fairview Twp,President,NA,Claudia De la Cruz,SLP,1
Cass,Fairview Twp,President,NA,Rachele Fruit,SWP,0
Cass,Fairview Twp,President,NA,Robert F. Kennedy Jr.,JFA,0
Cass,Fairview Twp,President,NA,Other Independent,IND,1
Cass,Fairview Twp,President,NA,WRITE-IN,WI,4
Cass,Fairview Twp,U.S. Senate,NA,Royce White,R,443
Cass,Fairview Twp,U.S. Senate,NA,Amy Klobuchar,DFL,231
Cass,Fairview Twp,U.S. Senate,NA,Rebecca Whiting,LIB,8
Cass,Fairview Twp,U.S. Senate,NA,Steve Carlson,IA,11
Cass,Fairview Twp,U.S. Senate,NA,WRITE-IN,WI,0
Cass,Fairview Twp,U.S. House,8,Pete Stauber,R,510
Cass,Fairview Twp,U.S. House,8,Jennifer Schultz,DFL,177
Cass,Fairview Twp,U.S. House,8,WRITE-IN,WI,0
Cass,Fairview Twp,State Senate,5,Not on ballot,R,0
Cass,Fairview Twp,State Senate,5,Not on ballot,DFL,0
Cass,Fairview Twp,State Senate,5,WRITE-IN,WI,0
Cass,Fairview Twp,State House,5A,Krista Knudsen,R,520
Cass,Fairview Twp,State House,5A,Brian M. Hobson,DFL,164
Cass,Fairview Twp,State House,5A,WRITE-IN,WI,0
Cass,Fairview Twp,Constitutional Amendment 1,NA,YES,NP,502
Cass,Fairview Twp,Constitutional Amendment 1,NA,NO,NP,163
Cass,Federal Dam,State Senate,2,DIST Candidate,DIST,2
Cass,Federal Dam,President,NA,Donald Trump,R,35
Cass,Federal Dam,President,NA,Kamala Harris,DFL,35
Cass,Federal Dam,President,NA,Chase Oliver,LIB,2
Cass,Federal Dam,President,NA,Cornel West,WTP,0
Cass,Federal Dam,President,NA,Jill Stein,G,0
Cass,Federal Dam,President,NA,Claudia De la Cruz,SLP,0
Cass,Federal Dam,President,NA,Rachele Fruit,SWP,0
Cass,Federal Dam,President,NA,Robert F. Kennedy Jr.,JFA,0
Cass,Federal Dam,President,NA,Other Independent,IND,0
Cass,Federal Dam,President,NA,WRITE-IN,WI,0
Cass,Federal Dam,U.S. Senate,NA,Royce White,R,31
Cass,Federal Dam,U.S. Senate,NA,Amy Klobuchar,DFL,35
Cass,Federal Dam,U.S. Senate,NA,Rebecca Whiting,LIB,1
Cass,Federal Dam,U.S. Senate,NA,Steve Carlson,IA,1
Cass,Federal Dam,U.S. Senate,NA,WRITE-IN,WI,0
Cass,Federal Dam,U.S. House,8,Pete Stauber,R,39
Cass,Federal Dam,U.S. House,8,Jennifer Schultz,DFL,33
Cass,Federal Dam,U.S. House,8,WRITE-IN,WI,0
Cass,Federal Dam,State Senate,2,Not on ballot,R,0
Cass,Federal Dam,State Senate,2,Not on ballot,DFL,0
Cass,Federal Dam,State Senate,2,WRITE-IN,WI,0
Cass,Federal Dam,State House,2B,Matt Bliss,R,40
Cass,Federal Dam,State House,2B,Michael Reyes,DFL,31
Cass,Federal Dam,State House,2B,WRITE-IN,WI,0
Cass,Federal Dam,Constitutional Amendment 1,NA,YES,NP,60
Cass,Federal Dam,Constitutional Amendment 1,NA,NO,NP,9
Cass,Gould Twp,State Senate,2,DIST Candidate,DIST,2
Cass,Gould Twp,President,NA,Donald Trump,R,58
Cass,Gould Twp,President,NA,Kamala Harris,DFL,34
Cass,Gould Twp,President,NA,Chase Oliver,LIB,0
Cass,Gould Twp,President,NA,Cornel West,WTP,1
Cass,Gould Twp,President,NA,Jill Stein,G,0
Cass,Gould Twp,President,NA,Claudia De la Cruz,SLP,0
Cass,Gould Twp,President,NA,Rachele Fruit,SWP,0
Cass,Gould Twp,President,NA,Robert F. Kennedy Jr.,JFA,0
Cass,Gould Twp,President,NA,Other Independent,IND,0
Cass,Gould Twp,President,NA,WRITE-IN,WI,0
Cass,Gould Twp,U.S. Senate,NA,Royce White,R,55
Cass,Gould Twp,U.S. Senate,NA,Amy Klobuchar,DFL,32
Cass,Gould Twp,U.S. Senate,NA,Rebecca Whiting,LIB,4
Cass,Gould Twp,U.S. Senate,NA,Steve Carlson,IA,0
Cass,Gould Twp,U.S. Senate,NA,WRITE-IN,WI,0
Cass,Gould Twp,U.S. House,8,Pete Stauber,R,57
Cass,Gould Twp,U.S. House,8,Jennifer Schultz,DFL,32
Cass,Gould Twp,U.S. House,8,WRITE-IN,WI,0
Cass,Gould Twp,State Senate,2,Not on ballot,R,0
Cass,Gould Twp,State Senate,2,Not on ballot,DFL,0
Cass,Gould Twp,State Senate,2,WRITE-IN,WI,0
Cass,Gould Twp,State House,2B,Matt Bliss,R,60
Cass,Gould Twp,State House,2B,Michael Reyes,DFL,28
Cass,Gould Twp,State House,2B,WRITE-IN,WI,0
Cass,Gould Twp,Constitutional Amendment 1,NA,YES,NP,62
Cass,Gould Twp,Constitutional Amendment 1,NA,NO,NP,27
Cass,Hackensack,State Senate,5,DIST Candidate,DIST,5
Cass,Hackensack,President,NA,Donald Trump,R,101
Cass,Hackensack,President,NA,Kamala Harris,DFL,69
Cass,Hackensack,President,NA,Chase Oliver,LIB,0
Cass,Hackensack,President,NA,Cornel West,WTP,0
Cass,Hackensack,President,NA,Jill Stein,G,0
Cass,Hackensack,President,NA,Claudia De la Cruz,SLP,0
Cass,Hackensack,President,NA,Rachele Fruit,SWP,0
Cass,Hackensack,President,NA,Robert F. Kennedy Jr.,JFA,0
Cass,Hackensack,President,NA,Other Independent,IND,0
Cass,Hackensack,President,NA,WRITE-IN,WI,1
Cass,Hackensack,U.S. Senate,NA,Royce White,R,75
Cass,Hackensack,U.S. Senate,NA,Amy Klobuchar,DFL,88
Cass,Hackensack,U.S. Senate,NA,Rebecca Whiting,LIB,4
Cass,Hackensack,U.S. Senate,NA,Steve Carlson,IA,2
Cass,Hackensack,U.S. Senate,NA,WRITE-IN,WI,0
Cass,Hackensack,U.S. House,8,Pete Stauber,R,97
Cass,Hackensack,U.S. House,8,Jennifer Schultz,DFL,69
Cass,Hackensack,U.S. House,8,WRITE-IN,WI,0
Cass,Hackensack,State Senate,5,Not on ballot,R,0
Cass,Hackensack,State Senate,5,Not on ballot,DFL,0
Cass,Hackensack,State Senate,5,WRITE-IN,WI,0
Cass,Hackensack,State House,5A,Krista Knudsen,R,93
Cass,Hackensack,State House,5A,Brian M. Hobson,DFL,72
Cass,Hackensack,State House,5A,WRITE-IN,WI,1
Cass,Hackensack,Constitutional Amendment 1,NA,YES,NP,140
Cass,Hackensack,Constitutional Amendment 1,NA,NO,NP,21
Cass,Hardwood South,State Senate,2,DIST Candidate,DIST,2
Cass,Hardwood South,President,NA,Donald Trump,R,29
Cass,Hardwood South,President,NA,Kamala Harris,DFL,8
Cass,Hardwood South,President,NA,Chase Oliver,LIB,0
Cass,Hardwood South,President,NA,Cornel West,WTP,0
Cass,Hardwood South,President,NA,Jill Stein,G,0
Cass,Hardwood South,President,NA,Claudia De la Cruz,SLP,0
Cass,Hardwood South,President,NA,Rachele Fruit,SWP,0
Cass,Hardwood South,President,NA,Robert F. Kennedy Jr.,JFA,0
Cass,Hardwood South,President,NA,Other Independent,IND,0
Cass,Hardwood South,President,NA,WRITE-IN,WI,0
Cass,Hardwood South,U.S. Senate,NA,Royce White,R,24
Cass,Hardwood South,U.S. Senate,NA,Amy Klobuchar,DFL,12
Cass,Hardwood South,U.S. Senate,NA,Rebecca Whiting,LIB,0
Cass,Hardwood South,U.S. Senate,NA,Steve Carlson,IA,0
Cass,Hardwood South,U.S. Senate,NA,WRITE-IN,WI,0
Cass,Hardwood South,U.S. House,8,Pete Stauber,R,28
Cass,Hardwood South,U.S. House,8,Jennifer Schultz,DFL,8
Cass,Hardwood South,U.S. House,8,WRITE-IN,WI,0
Cass,Hardwood South,State Senate,2,Not on ballot,R,0
Cass,Hardwood South,State Senate,2,Not on ballot,DFL,0
Cass,Hardwood South,State Senate,2,WRITE-IN,WI,0
Cass,Hardwood South,State House,2B,Matt Bliss,R,29
Cass,Hardwood South,State House,2B,Michael Reyes,DFL,7
Cass,Hardwood South,State House,2B,WRITE-IN,WI,0
Cass,Hardwood South,Constitutional Amendment 1,NA,YES,NP,20
Cass,Hardwood South,Constitutional Amendment 1,NA,NO,NP,12
Cass,Hiram Twp,State Senate,5,DIST Candidate,DIST,5
Cass,Hiram Twp,President,NA,Donald Trump,R,184
Cass,Hiram Twp,President,NA,Kamala Harris,DFL,116
Cass,Hiram Twp,President,NA,Chase Oliver,LIB,0
Cass,Hiram Twp,President,NA,Cornel West,WTP,5
Cass,Hiram Twp,President,NA,Jill Stein,G,0
Cass,Hiram Twp,President,NA,Claudia De la Cruz,SLP,0
Cass,Hiram Twp,President,NA,Rachele Fruit,SWP,0
Cass,Hiram Twp,President,NA,Robert F. Kennedy Jr.,JFA,0
Cass,Hiram Twp,President,NA,Other Independent,IND,0
Cass,Hiram Twp,President,NA,WRITE-IN,WI,1
Cass,Hiram Twp,U.S. Senate,NA,Royce White,R,160
Cass,Hiram Twp,U.S. Senate,NA,Amy Klobuchar,DFL,136
Cass,Hiram Twp,U.S. Senate,NA,Rebecca Whiting,LIB,2
Cass,Hiram Twp,U.S. Senate,NA,Steve Carlson,IA,6
Cass,Hiram Twp,U.S. Senate,NA,WRITE-IN,WI,0
Cass,Hiram Twp,U.S. House,8,Pete Stauber,R,188
Cass,Hiram Twp,U.S. House,8,Jennifer Schultz,DFL,109
Cass,Hiram Twp,U.S. House,8,WRITE-IN,WI,0
Cass,Hiram Twp,State Senate,5,Not on ballot,R,0
Cass,Hiram Twp,State Senate,5,Not on ballot,DFL,0
Cass,Hiram Twp,State Senate,5,WRITE-IN,WI,0
Cass,Hiram Twp,State House,5A,Krista Knudsen,R,194
Cass,Hiram Twp,State House,5A,Brian M. Hobson,DFL,110
Cass,Hiram Twp,State House,5A,WRITE-IN,WI,0
Cass,Hiram Twp,Constitutional Amendment 1,NA,YES,NP,234
Cass,Hiram Twp,Constitutional Amendment 1,NA,NO,NP,55
Cass,Home Brook Twp,State Senate,5,DIST Candidate,DIST,5
Cass,Home Brook Twp,President,NA,Donald Trump,R,175
Cass,Home Brook Twp,President,NA,Kamala Harris,DFL,33
Cass,Home Brook Twp,President,NA,Chase Oliver,LIB,1
Cass,Home Brook Twp,President,NA,Cornel West,WTP,2
Cass,Home Brook Twp,President,NA,Jill Stein,G,0
Cass,Home Brook Twp,President,NA,Claudia De la Cruz,SLP,0
Cass,Home Brook Twp,President,NA,Rachele Fruit,SWP,0
Cass,Home Brook Twp,President,NA,Robert F. Kennedy Jr.,JFA,2
Cass,Home Brook Twp,President,NA,Other Independent,IND,0
Cass,Home Brook Twp,President,NA,WRITE-IN,WI,1
Cass,Home Brook Twp,U.S. Senate,NA,Royce White,R,159
Cass,Home Brook Twp,U.S. Senate,NA,Amy Klobuchar,DFL,46
Cass,Home Brook Twp,U.S. Senate,NA,Rebecca Whiting,LIB,2
Cass,Home Brook Twp,U.S. Senate,NA,Steve Carlson,IA,2
Cass,Home Brook Twp,U.S. Senate,NA,WRITE-IN,WI,0
Cass,Home Brook Twp,U.S. House,8,Pete Stauber,R,177
Cass,Home Brook Twp,U.S. House,8,Jennifer Schultz,DFL,30
Cass,Home Brook Twp,U.S. House,8,WRITE-IN,WI,0
Cass,Home Brook Twp,State Senate,5,Not on ballot,R,0
Cass,Home Brook Twp,State Senate,5,Not on ballot,DFL,0
Cass,Home Brook Twp,State Senate,5,WRITE-IN,WI,0
Cass,Home Brook Twp,State House,5A,Krista Knudsen,R,180
Cass,Home Brook Twp,State House,5A,Brian M. Hobson,DFL,30
Cass,Home Brook Twp,State House,5A,WRITE-IN,WI,0
Cass,Home Brook Twp,Constitutional Amendment 1,NA,YES,NP,140
Cass,Home Brook Twp,Constitutional Amendment 1,NA,NO,NP,59
Cass,Inguadona Twp,State Senate,2,DIST Candidate,DIST,2
Cass,Inguadona Twp,President,NA,Donald Trump,R,97
Cass,Inguadona Twp,President,NA,Kamala Harris,DFL,41
Cass,Inguadona Twp,President,NA,Chase Oliver,LIB,0
Cass,Inguadona Twp,President,NA,Cornel West,WTP,0
Cass,Inguadona Twp,President,NA,Jill Stein,G,0
Cass,Inguadona Twp,President,NA,Claudia De la Cruz,SLP,0
Cass,Inguadona Twp,President,NA,Rachele Fruit,SWP,0
Cass,Inguadona Twp,President,NA,Robert F. Kennedy Jr.,JFA,0
Cass,Inguadona Twp,President,NA,Other Independent,IND,0
Cass,Inguadona Twp,President,NA,WRITE-IN,WI,1
Cass,Inguadona Twp,U.S. Senate,NA,Royce White,R,89
Cass,Inguadona Twp,U.S. Senate,NA,Amy Klobuchar,DFL,45
Cass,Inguadona Twp,U.S. Senate,NA,Rebecca Whiting,LIB,1
Cass,Inguadona Twp,U.S. Senate,NA,Steve Carlson,IA,2
Cass,Inguadona Twp,U.S. Senate,NA,WRITE-IN,WI,0
Cass,Inguadona Twp,U.S. House,8,Pete Stauber,R,97
Cass,Inguadona Twp,U.S. House,8,Jennifer Schultz,DFL,39
Cass,Inguadona Twp,U.S. House,8,WRITE-IN,WI,0
Cass,Inguadona Twp,State Senate,2,Not on ballot,R,0
Cass,Inguadona Twp,State Senate,2,Not on ballot,DFL,0
Cass,Inguadona Twp,State Senate,2,WRITE-IN,WI,0
Cass,Inguadona Twp,State House,2B,Matt Bliss,R,99
Cass,Inguadona Twp,State House,2B,Michael Reyes,DFL,37
Cass,Inguadona Twp,State House,2B,WRITE-IN,WI,0
Cass,Inguadona Twp,Constitutional Amendment 1,NA,YES,NP,90
Cass,Inguadona Twp,Constitutional Amendment 1,NA,NO,NP,38
Cass,Kego Twp,State Senate,2,DIST Candidate,DIST,2
Cass,Kego Twp,President,NA,Donald Trump,R,250
Cass,Kego Twp,President,NA,Kamala Harris,DFL,126
Cass,Kego Twp,President,NA,Chase Oliver,LIB,1
Cass,Kego Twp,President,NA,Cornel West,WTP,3
Cass,Kego Twp,President,NA,Jill Stein,G,3
Cass,Kego Twp,President,NA,Claudia De la Cruz,SLP,0
Cass,Kego Twp,President,NA,Rachele Fruit,SWP,0
Cass,Kego Twp,President,NA,Robert F. Kennedy Jr.,JFA,0
Cass,Kego Twp,President,NA,Other Independent,IND,0
Cass,Kego Twp,President,NA,WRITE-IN,WI,0
Cass,Kego Twp,U.S. Senate,NA,Royce White,R,227
Cass,Kego Twp,U.S. Senate,NA,Amy Klobuchar,DFL,145
Cass,Kego Twp,U.S. Senate,NA,Rebecca Whiting,LIB,1
Cass,Kego Twp,U.S. Senate,NA,Steve Carlson,IA,3
Cass,Kego Twp,U.S. Senate,NA,WRITE-IN,WI,1
Cass,Kego Twp,U.S. House,8,Pete Stauber,R,262
Cass,Kego Twp,U.S. House,8,Jennifer Schultz,DFL,117
Cass,Kego Twp,U.S. House,8,WRITE-IN,WI,0
Cass,Kego Twp,State Senate,2,Not on ballot,R,0
Cass,Kego Twp,State Senate,2,Not on ballot,DFL,0
Cass,Kego Twp,State Senate,2,WRITE-IN,WI,0
Cass,Kego Twp,State House,2B,Matt Bliss,R,258
Cass,Kego Twp,State House,2B,Michael Reyes,DFL,118
Cass,Kego Twp,State House,2B,WRITE-IN,WI,0
Cass,Kego Twp,Constitutional Amendment 1,NA,YES,NP,275
Cass,Kego Twp,Constitutional Amendment 1,NA,NO,NP,90
Cass,Lake Shore,State Senate,5,DIST Candidate,DIST,5
