county_name,county_norm,estimates_base_2020,population_2020,population_2021,population_2022,population_2023,population_2024,population_2025,change_2020_2025,change_2020_2025_pct,change_2024_2025,change_2024_2025_pct
Pine,PINE,28875,28886,29080,29793,30190,30398,30472,1586,5.4905490549054905,74,0.24343706822817288
Pipestone,PIPESTONE,9420,9418,9359,9334,9289,9251,9260,-158,-1.6776385644510512,9,0.09728677980758837
Polk,POLK,31203,31099,30861,30815,30563,30683,30545,-554,-1.7814077623074698,-138,-0.44976045367141415
Pope,POPE,11308,11327,11415,11421,11407,11464,11420,93,0.8210470557076013,-44,-0.38381018841591064
Ramsey,RAMSEY,552362,551733,543343,538375,537716,540713,541623,-10110,-1.8324080669454248,910,0.1682963050638694
Red Lake,RED LAKE,3933,3937,3946,3883,3915,3894,3940,3,0.0762001524003048,46,1.1813045711350796
Redwood,REDWOOD,15426,15417,15392,15365,15326,15238,15265,-152,-0.9859246286566777,27,0.17718860742879644
Renville,RENVILLE,14723,14691,14605,14537,14462,14417,14356,-335,-2.28030767136342,-61,-0.4231116043559686
Rice,RICE,67093,67105,67359,67991,68585,69545,69939,2834,4.2232322479696,394,0.5665396505859516
Rock,ROCK,9697,9685,9700,9603,9621,9563,9524,-161,-1.6623644811564273,-39,-0.40782181323852346
Roseau,ROSEAU,15326,15298,15273,15347,15280,15249,15246,-52,-0.33991371421100797,-3,-0.01967342120794806
St. Louis,ST. LOUIS,200227,200067,199340,200567,200669,200630,200518,451,0.2254244827982626,-112,-0.05582415391516722
Scott,SCOTT,150930,151361,153494,154819,156145,157454,159017,7656,5.058106117163602,1563,0.9926708753032633
Sherburne,SHERBURNE,97189,97588,99225,100972,102388,103156,104194,6606,6.769274910849695,1038,1.0062429718096864
Sibley,SIBLEY,14846,14820,14965,14986,15179,15290,15356,536,3.616734143049932,66,0.4316546762589928
Stearns,STEARNS,158282,158456,159112,160119,161805,163113,164110,5654,3.5681829656182154,997,0.611232703708472
Steele,STEELE,37409,37388,37441,37471,37462,37453,37464,76,0.20327377768267893,11,0.029370143913705175
Stevens,STEVENS,9677,9672,9692,9777,9921,9828,9747,75,0.7754342431761787,-81,-0.8241758241758242
Swift,SWIFT,9831,9801,9787,9760,9687,9721,9763,-38,-0.38771553923069074,42,0.4320543153996503
Todd,TODD,25265,25291,25290,25571,25794,25965,26060,769,3.0406073306709898,95,0.3658771423069517
Traverse,TRAVERSE,3363,3359,3280,3260,3176,3152,3130,-229,-6.817505209883894,-22,-0.6979695431472082
Wabasha,WABASHA,21372,21394,21508,21650,21664,21554,21537,143,0.6684117042161353,-17,-0.07887167115152639
Wadena,WADENA,14070,14124,14146,14270,14240,14355,14388,264,1.8691588785046727,33,0.22988505747126436
Waseca,WASECA,18974,18973,19015,18967,19043,18672,18688,-285,-1.502134612343857,16,0.08568980291345331
Washington,WASHINGTON,267565,268397,272698,276249,278890,282994,286895,18498,6.89202934459029,3901,1.3784744552888049
Watonwan,WATONWAN,11254,11236,11158,11243,11237,11365,11459,223,1.9846920612317551,94,0.8271007479102508
Wilkin,WILKIN,6507,6477,6412,6361,6350,6319,6288,-189,-2.918017600741084,-31,-0.49058395315714515
Winona,WINONA,49676,49656,49794,49798,49904,50343,50523,867,1.746012566457226,180,0.35754722602943806
Wright,WRIGHT,141337,141876,145245,148220,151374,154612,157559,15683,11.054019002509232,2947,1.9060616252296068
Yellow Medicine,YELLOW MEDICINE,9525,9498,9444,9485,9536,9477,9477,-21,-0.22109917877447885,0,0
