county_name,county_norm,estimates_base_2020,population_2020,population_2021,population_2022,population_2023,population_2024,population_2025,change_2020_2025,change_2020_2025_pct,change_2024_2025,change_2024_2025_pct
Minnesota,MINNESOTA,5706733,5710562,5714055,5727565,5752998,5797405,5830405,119843,2.0986200657658562,33000,0.5692201942075809
Aitkin,AITKIN,15689,15708,15954,16148,16131,16283,16252,544,3.463203463203463,-31,-0.19038260762758705
Anoka,ANOKA,363885,364474,367557,369468,373182,377855,381605,17131,4.700198093691182,3750,0.9924441915549617
Becker,BECKER,35165,35184,35322,35355,35282,35385,35497,313,0.8896089131423375,112,0.3165182987141444
Beltrami,BELTRAMI,46220,46232,46473,46687,46570,46779,47055,823,1.780152275480187,276,0.5900083370743282
Benton,BENTON,41377,41355,41545,41533,41580,41769,41744,389,0.9406359569580462,-25,-0.059853001029471616
Big Stone,BIG STONE,5168,5158,5167,5144,5098,5079,5054,-104,-2.016285381930981,-25,-0.49222287851939356
Blue Earth,BLUE EARTH,69117,69202,69387,70108,70328,70200,70634,1432,2.069304355365452,434,0.6182336182336182
Brown,BROWN,25915,25908,25904,25703,25628,25571,25517,-391,-1.5091863517060367,-54,-0.21117672363223966
Carlton,CARLTON,36200,36190,36455,36738,36694,36725,36711,521,1.4396242055816524,-14,-0.0381211708645337
Carver,CARVER,106919,107308,108911,110174,111076,112595,114379,7071,6.589443471129831,1784,1.5844398063857186
Cass,CASS,30077,30152,30660,31246,31344,31424,31430,1278,4.2385248076412845,6,0.019093686354378817
Chippewa,CHIPPEWA,12603,12606,12376,12358,12313,12394,12406,-200,-1.5865460891638903,12,0.09682104243989027
Chisago,CHISAGO,56624,56723,57577,57998,58647,58947,59142,2419,4.264584031169014,195,0.330805638963815
Clay,CLAY,65318,65358,65675,66133,66581,67339,67734,2376,3.6353621591847975,395,0.5865842973611132
Clearwater,CLEARWATER,8515,8565,8572,8638,8698,8655,8647,82,0.9573847051955634,-8,-0.09243212016175621
Cook,COOK,5602,5598,5626,5718,5620,5537,5522,-76,-1.3576277241872097,-15,-0.2709048221058335
Cottonwood,COTTONWOOD,11514,11517,11592,11409,11427,11407,11405,-112,-0.9724754710428062,-2,-0.017533093714385904
Crow Wing,CROW WING,66121,66284,67380,67877,68339,68667,69132,2848,4.2966628447287425,465,0.6771811787321421
Dakota,DAKOTA,439886,440419,442829,444023,448612,453755,457710,17291,3.9260340720995233,3955,0.8716157397714626
Dodge,DODGE,20872,20895,20969,21044,21141,21281,21376,481,2.3019861210815984,95,0.44640759362811894
Douglas,DOUGLAS,39004,39095,39312,39662,39873,39953,40120,1025,2.6218186468857914,167,0.4179911395890171
Faribault,FARIBAULT,13918,13899,13909,13959,13936,13906,13888,-11,-0.07914238434419742,-18,-0.1294405292679419
Fillmore,FILLMORE,21224,21235,21333,21467,21497,21488,21540,305,1.4363079821050153,52,0.24199553239017124
Freeborn,FREEBORN,30896,30899,30815,30696,30469,30430,30440,-459,-1.4854849671510404,10,0.03286230693394677
Goodhue,GOODHUE,47588,47594,48091,48103,48168,48149,48195,601,1.2627642139765516,46,0.09553677127250826
Grant,GRANT,6075,6093,6146,6147,6161,6139,6085,-8,-0.13129821106187428,-54,-0.8796220882879948
Hennepin,HENNEPIN,1281566,1281663,1267341,1262045,1263745,1277084,1284784,3121,0.2435117499685955,7700,0.6029360637201625
Houston,HOUSTON,18838,18843,18822,18740,18682,18535,18400,-443,-2.3510056785013003,-135,-0.7283517669274345
Hubbard,HUBBARD,21350,21395,21747,21919,22062,22115,22369,974,4.552465529329282,254,1.148541713768935
Isanti,ISANTI,41128,41385,41955,42709,43198,43657,44386,3001,7.251419596472151,729,1.6698353070527063
Itasca,ITASCA,44996,45022,45112,45296,45487,45452,45404,382,0.8484740793389898,-48,-0.10560591393118016
Jackson,JACKSON,9988,9990,10005,9900,9898,9873,9857,-133,-1.3313313313313313,-16,-0.16205813835713562
Kanabec,KANABEC,16031,16054,16177,16465,16650,16624,16628,574,3.575432913915535,4,0.024061597690086624
Kandiyohi,KANDIYOHI,43733,43727,43813,44016,44387,44774,44720,993,2.2709081345621698,-54,-0.12060570867021038
Kittson,KITTSON,4206,4187,4157,4054,4036,4029,4031,-156,-3.7258180081203727,2,0.04964010920824026
Koochiching,KOOCHICHING,12061,12027,11946,11847,11744,11594,11587,-440,-3.658435187494803,-7,-0.06037605658099017
Lac qui Parle,LAC QUI PARLE,6713,6692,6693,6676,6674,6655,6704,12,0.17931858936043038,49,0.7362885048835462
Lake,LAKE,10914,10923,11020,10933,10884,10754,10746,-177,-1.6204339467179345,-8,-0.07439092430723451
Lake of the Woods,LAKE OF THE WOODS,3772,3770,3832,3898,3792,3780,3770,0,0,-10,-0.26455026455026454
Le Sueur,LE SUEUR,28663,28633,28902,29175,29289,29433,29453,820,2.863828449690916,20,0.06795093942173751
Lincoln,LINCOLN,5638,5623,5576,5606,5584,5591,5583,-40,-0.7113640405477504,-8,-0.14308710427472723
Lyon,LYON,25523,25429,25500,25521,25587,25785,25684,255,1.0027920877738015,-101,-0.39170060112468486
McLeod,MCLEOD,36760,36743,36813,36776,36861,36823,36631,-112,-0.3048199657077539,-192,-0.5214132471553106
Mahnomen,MAHNOMEN,5402,5373,5384,5320,5307,5241,5153,-220,-4.094546808114647,-88,-1.6790688799847358
Marshall,MARSHALL,9031,9025,8998,8873,8828,8788,8798,-227,-2.515235457063712,10,0.11379153390987709
Martin,MARTIN,20038,19998,19941,19696,19727,19564,19440,-558,-2.7902790279027903,-124,-0.6338172152933961
Meeker,MEEKER,23396,23430,23403,23545,23522,23522,23603,173,0.7383696116090482,81,0.3443584729189695
Mille Lacs,MILLE LACS,26481,26475,26919,27287,27466,27680,27753,1278,4.827195467422096,73,0.26372832369942195
Morrison,MORRISON,34003,33991,34069,34278,34328,34494,34620,629,1.8504898355447033,126,0.3652809184205949
Mower,MOWER,40043,40068,40232,40094,40207,40684,40971,903,2.2536687631027252,287,0.7054370268410185
Murray,MURRAY,8179,8177,8146,8061,8090,8027,7942,-235,-2.873914638620521,-85,-1.058926124330385
Nicollet,NICOLLET,34458,34504,34370,34500,34021,34239,34273,-231,-0.6694875956410851,34,0.09930196559478957
Nobles,NOBLES,22284,22201,22073,22106,22065,22242,22338,137,0.6170893203008874,96,0.43161586188292417
Norman,NORMAN,6445,6438,6445,6356,6335,6301,6336,-102,-1.5843429636533086,35,0.5554673861291859
Olmsted,OLMSTED,162855,163055,163717,163908,164841,165777,166731,3676,2.254454018582687,954,0.5754718688358458
Otter Tail,OTTER TAIL,60094,60098,60245,60594,60754,60958,61041,943,1.5691037971313522,83,0.1361593228124282
Pennington,PENNINGTON,13987,13942,13786,13826,13734,13750,13686,-256,-1.8361784535934587,-64,-0.46545454545454545
