county,precinct,office,district,party,candidate,votes
Aitkin,AITKIN,President,,R,John McCain,499
Aitkin,AITKIN,President,,DFL,Barack Obama,501
Aitkin,AITKIN,President,,GP,Cynthia McKinney,2
Aitkin,AITKIN,President,,SWP,,0
Aitkin,AITKIN,President,,IND,Ralph Nader,12
Aitkin,AITKIN,President,,LIB,Bob Barr,3
Aitkin,AITKIN,President,,CP,,1
Aitkin,AITKIN,President,,WI,WRITE-IN,2
Aitkin,AITKIN,U.S. Senate,,IND,Dean Barkley,177
Aitkin,AITKIN,U.S. Senate,,R,Norm Coleman,414
Aitkin,AITKIN,U.S. Senate,,DFL,Al Franken,407
Aitkin,AITKIN,U.S. Senate,,LIB,,7
Aitkin,AITKIN,U.S. Senate,,CP,,3
Aitkin,AITKIN,U.S. Senate,,WI,WRITE-IN,4
Aitkin,AITKIN,U.S. House,8,IND,,0
Aitkin,AITKIN,U.S. House,8,R,,362
Aitkin,AITKIN,U.S. House,8,DFL,,627
Aitkin,AITKIN,U.S. House,8,WI,WRITE-IN,3
Aitkin,AITKIN,State House,3B,IND,,0
Aitkin,AITKIN,State House,3B,R,,412
Aitkin,AITKIN,State House,3B,DFL,,567
Aitkin,AITKIN,State House,3B,WI,WRITE-IN,6
Aitkin,AITKIN,Constitutional Amendment,,,YES,565
Aitkin,AITKIN,Constitutional Amendment,,,NO,418
Aitkin,AITKIN TWP,President,,R,John McCain,294
Aitkin,AITKIN TWP,President,,DFL,Barack Obama,205
Aitkin,AITKIN TWP,President,,GP,Cynthia McKinney,0
Aitkin,AITKIN TWP,President,,SWP,,0
Aitkin,AITKIN TWP,President,,IND,Ralph Nader,8
Aitkin,AITKIN TWP,President,,LIB,Bob Barr,3
Aitkin,AITKIN TWP,President,,CP,,1
Aitkin,AITKIN TWP,President,,WI,WRITE-IN,1
Aitkin,AITKIN TWP,U.S. Senate,,IND,Dean Barkley,100
Aitkin,AITKIN TWP,U.S. Senate,,R,Norm Coleman,242
Aitkin,AITKIN TWP,U.S. Senate,,DFL,Al Franken,162
Aitkin,AITKIN TWP,U.S. Senate,,LIB,,2
Aitkin,AITKIN TWP,U.S. Senate,,CP,,3
Aitkin,AITKIN TWP,U.S. Senate,,WI,WRITE-IN,0
Aitkin,AITKIN TWP,U.S. House,8,IND,,0
Aitkin,AITKIN TWP,U.S. House,8,R,,236
Aitkin,AITKIN TWP,U.S. House,8,DFL,,261
Aitkin,AITKIN TWP,U.S. House,8,WI,WRITE-IN,1
Aitkin,AITKIN TWP,State House,3B,IND,,0
Aitkin,AITKIN TWP,State House,3B,R,,245
Aitkin,AITKIN TWP,State House,3B,DFL,,252
Aitkin,AITKIN TWP,State House,3B,WI,WRITE-IN,1
Aitkin,AITKIN TWP,Constitutional Amendment,,,YES,214
Aitkin,AITKIN TWP,Constitutional Amendment,,,NO,275
Aitkin,BALL BLUFF TWP,President,,R,John McCain,81
Aitkin,BALL BLUFF TWP,President,,DFL,Barack Obama,98
Aitkin,BALL BLUFF TWP,President,,GP,Cynthia McKinney,1
Aitkin,BALL BLUFF TWP,President,,SWP,,0
Aitkin,BALL BLUFF TWP,President,,IND,Ralph Nader,5
Aitkin,BALL BLUFF TWP,President,,LIB,Bob Barr,1
Aitkin,BALL BLUFF TWP,President,,CP,,0
Aitkin,BALL BLUFF TWP,President,,WI,WRITE-IN,0
Aitkin,BALL BLUFF TWP,U.S. Senate,,IND,Dean Barkley,34
Aitkin,BALL BLUFF TWP,U.S. Senate,,R,Norm Coleman,64
Aitkin,BALL BLUFF TWP,U.S. Senate,,DFL,Al Franken,87
Aitkin,BALL BLUFF TWP,U.S. Senate,,LIB,,1
Aitkin,BALL BLUFF TWP,U.S. Senate,,CP,,0
Aitkin,BALL BLUFF TWP,U.S. Senate,,WI,WRITE-IN,0
Aitkin,BALL BLUFF TWP,U.S. House,8,IND,,0
Aitkin,BALL BLUFF TWP,U.S. House,8,R,,56
Aitkin,BALL BLUFF TWP,U.S. House,8,DFL,,126
Aitkin,BALL BLUFF TWP,U.S. House,8,WI,WRITE-IN,0
Aitkin,BALL BLUFF TWP,State House,3B,IND,,0
Aitkin,BALL BLUFF TWP,State House,3B,R,,54
Aitkin,BALL BLUFF TWP,State House,3B,DFL,,125
Aitkin,BALL BLUFF TWP,State House,3B,WI,WRITE-IN,0
Aitkin,BALL BLUFF TWP,Constitutional Amendment,,,YES,82
Aitkin,BALL BLUFF TWP,Constitutional Amendment,,,NO,98
Aitkin,BALSAM TWP,President,,R,John McCain,14
Aitkin,BALSAM TWP,President,,DFL,Barack Obama,16
Aitkin,BALSAM TWP,President,,GP,Cynthia McKinney,0
Aitkin,BALSAM TWP,President,,SWP,,0
Aitkin,BALSAM TWP,President,,IND,Ralph Nader,0
Aitkin,BALSAM TWP,President,,LIB,Bob Barr,0
Aitkin,BALSAM TWP,President,,CP,,0
Aitkin,BALSAM TWP,President,,WI,WRITE-IN,0
Aitkin,BALSAM TWP,U.S. Senate,,IND,Dean Barkley,2
Aitkin,BALSAM TWP,U.S. Senate,,R,Norm Coleman,10
Aitkin,BALSAM TWP,U.S. Senate,,DFL,Al Franken,18
Aitkin,BALSAM TWP,U.S. Senate,,LIB,,0
Aitkin,BALSAM TWP,U.S. Senate,,CP,,0
Aitkin,BALSAM TWP,U.S. Senate,,WI,WRITE-IN,0
Aitkin,BALSAM TWP,U.S. House,8,IND,,0
Aitkin,BALSAM TWP,U.S. House,8,R,,9
Aitkin,BALSAM TWP,U.S. House,8,DFL,,20
Aitkin,BALSAM TWP,U.S. House,8,WI,WRITE-IN,0
Aitkin,BALSAM TWP,State House,3B,IND,,0
