year,office,district,party,missing_rows
2012,State House,10A,IP,27
2012,State House,10B,IP,91
2012,State House,11B,IP,57
2012,State House,12B,IP,61
2012,State House,13A,IP,27
2012,State House,13B,IP,21
2012,State House,14A,IP,16
2012,State House,14B,IP,20
2012,State House,15A,IP,37
2012,State House,15B,IP,26
2012,State House,16A,IP,86
2012,State House,17A,IP,94
2012,State House,18A,IP,37
2012,State House,18B,IP,48
2012,State House,19A,IP,38
2012,State House,19A,R,38
2012,State House,19B,IP,16
2012,State House,1A,IP,155
2012,State House,1B,IP,123
2012,State House,20A,IP,21
2012,State House,20B,IP,25
2012,State House,21A,IP,33
2012,State House,21B,IP,54
2012,State House,22A,IP,110
2012,State House,22B,IP,88
2012,State House,23A,IP,88
2012,State House,23B,DFL,57
2012,State House,23B,IP,57
2012,State House,24A,IP,23
2012,State House,24B,IP,28
2012,State House,25A,IP,24
2012,State House,25B,IP,18
2012,State House,26A,IP,21
2012,State House,26B,IP,31
2012,State House,27B,IP,41
2012,State House,28A,IP,34
2012,State House,28B,IP,64
2012,State House,29A,IP,23
2012,State House,2A,IP,107
2012,State House,2B,IP,87
2012,State House,30A,IP,15
2012,State House,30B,IP,8
2012,State House,31A,IP,18
2012,State House,31B,IP,13
2012,State House,32A,IP,19
2012,State House,32B,IP,14
2012,State House,33A,IP,18
2012,State House,33B,IP,21
2012,State House,34A,IP,14
2012,State House,34B,IP,15
2012,State House,35B,IP,13
2012,State House,36A,IP,10
2012,State House,37A,IP,17
2012,State House,37B,IP,15
2012,State House,38A,IP,16
2012,State House,38B,IP,13
2012,State House,39A,IP,15
2012,State House,39B,IP,18
2012,State House,3A,IP,83
2012,State House,3B,IP,20
2012,State House,40A,IP,11
2012,State House,40A,R,11
2012,State House,40B,IP,10
2012,State House,41A,IP,15
2012,State House,41B,IP,15
2012,State House,42A,IP,13
2012,State House,42B,IP,14
2012,State House,43A,IP,17
2012,State House,43B,IP,12
2012,State House,44A,IP,12
2012,State House,44B,IP,18
2012,State House,45A,IP,16
2012,State House,45B,IP,15
2012,State House,46A,IP,14
2012,State House,46B,IP,15
2012,State House,47A,IP,21
2012,State House,47B,DFL,10
2012,State House,47B,IP,10
2012,State House,48A,IP,17
2012,State House,48B,IP,11
2012,State House,49A,IP,16
2012,State House,49B,IP,18
2012,State House,4A,IP,16
2012,State House,4B,IP,82
2012,State House,50B,IP,15
2012,State House,51A,IP,11
2012,State House,51B,IP,13
2012,State House,52A,IP,14
2012,State House,52B,IP,14
2012,State House,53A,IP,14
2012,State House,53B,IP,10
2012,State House,54B,IP,19
2012,State House,55A,IP,14
2012,State House,55B,IP,16
2012,State House,56A,IP,12
2012,State House,56B,IP,11
2012,State House,57A,IP,13
2012,State House,57B,IP,13
2012,State House,58A,IP,12
2012,State House,58B,IP,27
2012,State House,59A,IP,10
2012,State House,59B,IP,12
2012,State House,5A,IP,70
2012,State House,5B,IP,58
2012,State House,60A,IP,12
2012,State House,60B,IP,12
2012,State House,61A,IP,15
2012,State House,61B,IP,13
2012,State House,62A,IP,12
2012,State House,62B,IP,11
2012,State House,63A,IP,14
2012,State House,63B,IP,13
2012,State House,64A,IP,16
2012,State House,64B,IP,14
2012,State House,65A,IP,12
2012,State House,65B,IP,14
2012,State House,66B,IP,11
2012,State House,67A,IP,13
2012,State House,67B,IP,14
2012,State House,6A,IP,62
2012,State House,6B,IP,53
2012,State House,7A,IP,15
2012,State House,7B,IP,17
2012,State House,8A,IP,51
2012,State House,8B,IP,54
2012,State House,9A,IP,71
2012,State House,9B,IP,55
2012,State Senate,1,DIST,278
2012,State Senate,1,IP,278
2012,State Senate,10,DIST,118
2012,State Senate,10,IP,118
2012,State Senate,11,DIST,104
2012,State Senate,11,IP,104
2012,State Senate,12,DIST,208
2012,State Senate,12,IP,208
2012,State Senate,13,DIST,48
2012,State Senate,13,IP,48
2012,State Senate,14,DIST,36
2012,State Senate,14,IP,36
2012,State Senate,15,DIST,63
2012,State Senate,15,IP,63
2012,State Senate,16,DIST,154
2012,State Senate,16,IP,154
2012,State Senate,17,DIST,134
2012,State Senate,17,IP,134
2012,State Senate,18,DIST,85
2012,State Senate,18,IP,85
2012,State Senate,19,DIST,54
2012,State Senate,19,IP,54
2012,State Senate,19,R,54
2012,State Senate,2,DIST,194
2012,State Senate,2,IP,194
2012,State Senate,20,DIST,46
2012,State Senate,20,IP,46
2012,State Senate,21,DIST,87
2012,State Senate,21,IP,87
2012,State Senate,22,DIST,198
2012,State Senate,22,IP,198
2012,State Senate,23,DIST,145
2012,State Senate,23,IP,145
2012,State Senate,24,DIST,51
2012,State Senate,24,IP,51
2012,State Senate,25,DIST,42
2012,State Senate,25,IP,42
2012,State Senate,26,DIST,52
2012,State Senate,26,IP,52
2012,State Senate,27,DIST,92
2012,State Senate,27,IP,92
2012,State Senate,28,DIST,98
2012,State Senate,28,IP,98
2012,State Senate,29,DIST,32
2012,State Senate,29,IP,32
2012,State Senate,3,DIST,103
2012,State Senate,3,IP,103
2012,State Senate,30,DIST,23
2012,State Senate,30,IP,23
