precinct_id,county,precinct_code,precinct_name,total_population,white_pop,black_pop,native_pop,asian_pop,pacific_pop,multiracial_pop,hispanic_pop,vap_18plus,white_vap,black_vap,native_vap,asian_vap,pacific_vap,multiracial_vap,hispanic_vap,white_vap_pct,black_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct,hispanic_vap_pct
BROWN - 000055,Brown,000055,Lake Hanska Twp,336,327,0,0,1,0,7,2,244,241,0,0,1,0,2,1,98.77,0.00,0.00,0.41,0.00,0.82,0.41
BROWN - 000060,Brown,000060,Leavenworth Twp,271,264,0,0,2,0,5,0,219,213,0,0,2,0,4,0,97.26,0.00,0.00,0.91,0.00,1.83,0.00
BROWN - 000065,Brown,000065,Linden Twp,291,280,1,0,0,0,8,4,215,208,1,0,0,0,4,4,96.74,0.47,0.00,0.00,0.00,1.86,1.86
BROWN - 000070,Brown,000070,Milford Twp,691,683,0,1,0,0,5,5,529,526,0,1,0,0,2,1,99.43,0.00,0.19,0.00,0.00,0.38,0.19
BROWN - 000075,Brown,000075,Mulligan Twp,180,179,0,0,1,0,0,0,153,152,0,0,1,0,0,0,99.35,0.00,0.00,0.65,0.00,0.00,0.00
BROWN - 000100,Brown,000100,New Ulm W-3 P-1,2131,2059,10,2,15,0,33,28,1777,1725,10,2,13,0,19,17,97.07,0.56,0.11,0.73,0.00,1.07,0.96
BROWN - 000095,Brown,000095,New Ulm W-2 P-2,1653,1562,6,1,3,0,49,69,1328,1261,5,1,3,0,30,42,94.95,0.38,0.08,0.23,0.00,2.26,3.16
BROWN - 000090,Brown,000090,New Ulm W-2 P-1,1719,1565,22,4,15,0,83,96,1327,1218,16,4,13,0,52,56,91.79,1.21,0.30,0.98,0.00,3.92,4.22
BROWN - 000105,Brown,000105,New Ulm W-3 P-2,1669,1574,8,1,5,0,58,65,1302,1248,4,0,4,0,29,31,95.85,0.31,0.00,0.31,0.00,2.23,2.38
BROWN - 000080,Brown,000080,New Ulm W-1 P-1,1666,1533,11,2,4,3,94,73,1292,1221,5,2,4,0,49,42,94.50,0.39,0.15,0.31,0.00,3.79,3.25
BROWN - 000085,Brown,000085,New Ulm W-1 P-2,1732,1598,23,14,8,0,74,71,1304,1217,13,14,8,0,41,39,93.33,1.00,1.07,0.61,0.00,3.14,2.99
BROWN - 000110,Brown,000110,New Ulm W-4 P-1,1662,1586,14,1,6,0,41,38,1270,1218,6,1,6,0,27,29,95.91,0.47,0.08,0.47,0.00,2.13,2.28
BROWN - 000120,Brown,000120,North Star Twp,268,266,1,0,0,0,1,1,201,200,1,0,0,0,0,0,99.50,0.50,0.00,0.00,0.00,0.00,0.00
BROWN - 000125,Brown,000125,Prairieville Twp,228,227,0,1,0,0,0,1,185,184,0,1,0,0,0,0,99.46,0.00,0.54,0.00,0.00,0.00,0.00
BROWN - 000130,Brown,000130,Sigel Twp,348,339,0,0,1,0,6,1,289,286,0,0,1,0,0,1,98.96,0.00,0.00,0.35,0.00,0.00,0.35
BROWN - 000140,Brown,000140,Sleepy Eye W-2,1930,1730,9,2,11,2,114,184,1495,1368,4,2,6,0,68,119,91.51,0.27,0.13,0.40,0.00,4.55,7.96
BROWN - 000135,Brown,000135,Sleepy Eye W-1,1522,1260,3,5,10,0,137,307,1134,973,1,5,8,0,85,174,85.80,0.09,0.44,0.71,0.00,7.50,15.34
BROWN - 000150,Brown,000150,Springfield W-2,970,913,1,0,4,0,36,57,725,701,1,0,4,0,14,29,96.69,0.14,0.00,0.55,0.00,1.93,4.00
BROWN - 000145,Brown,000145,Springfield W-1,1057,991,2,12,1,0,30,59,853,809,2,8,1,0,22,31,94.84,0.23,0.94,0.12,0.00,2.58,3.63
BROWN - 000155,Brown,000155,Stark Twp,301,294,0,0,2,0,5,4,253,249,0,0,2,0,2,4,98.42,0.00,0.00,0.79,0.00,0.79,1.58
BROWN - 000160,Brown,000160,Stately Twp,174,171,1,1,0,0,1,2,116,115,1,0,0,0,0,0,99.14,0.86,0.00,0.00,0.00,0.00,0.00
BROWN - 000020,Brown,000020,Cobden,36,25,1,0,1,1,7,7,25,22,0,0,0,1,1,1,88.00,0.00,0.00,0.00,4.00,4.00,4.00
ISANTI - 000005,Isanti,000005,Athens Twp,2112,1926,1,9,39,0,117,42,1640,1519,1,9,26,0,71,29,92.62,0.06,0.55,1.59,0.00,4.33,1.77
ISANTI - 000010,Isanti,000010,Bradford Twp,3427,3204,14,11,38,0,130,38,2787,2617,12,11,33,0,89,30,93.90,0.43,0.39,1.18,0.00,3.19,1.08
ISANTI - 000015,Isanti,000015,Braham,1769,1611,17,7,8,3,115,48,1292,1202,10,3,8,3,61,27,93.03,0.77,0.23,0.62,0.23,4.72,2.09
ISANTI - 000025,Isanti,000025,Cambridge Twp,2495,2328,9,8,21,1,111,57,1894,1798,3,7,18,1,57,20,94.93,0.16,0.37,0.95,0.05,3.01,1.06
ISANTI - 000020,Isanti,000020,Cambridge P-1,5091,4636,69,52,47,3,254,113,3992,3729,44,32,38,0,123,67,93.41,1.10,0.80,0.95,0.00,3.08,1.68
ISANTI - 000080,Isanti,000080,Wyanett Twp,1755,1653,5,3,7,0,61,31,1401,1327,5,1,5,0,45,19,94.72,0.36,0.07,0.36,0.00,3.21,1.36
ISANTI - 000030,Isanti,000030,Dalbo Twp,781,749,2,1,9,0,14,6,583,571,2,0,1,0,6,3,97.94,0.34,0.00,0.17,0.00,1.03,0.51
ISANTI - 000022,Isanti,000022,Cambridge P-2,4520,4032,68,33,118,2,220,128,3159,2868,49,20,77,1,115,69,90.79,1.55,0.63,2.44,0.03,3.64,2.18
ISANTI - 000037,Isanti,000037,Isanti P-2,2838,2610,37,23,16,0,127,91,1990,1858,25,17,15,0,63,52,93.37,1.26,0.85,0.75,0.00,3.17,2.61
ISANTI - 000035,Isanti,000035,Isanti P-1,3966,3502,58,19,64,0,262,167,2766,2480,38,16,46,0,149,94,89.66,1.37,0.58,1.66,0.00,5.39,3.40
ISANTI - 000040,Isanti,000040,Isanti Twp,2262,2160,7,5,18,0,65,15,1735,1665,5,3,13,0,44,11,95.97,0.29,0.17,0.75,0.00,2.54,0.63
ISANTI - 000045,Isanti,000045,Maple Ridge Twp,715,668,5,5,5,1,24,12,579,541,5,4,3,1,18,6,93.44,0.86,0.69,0.52,0.17,3.11,1.04
ISANTI - 000050,Isanti,000050,North Branch Twp,1718,1611,5,9,22,0,61,33,1380,1304,3,9,16,0,39,23,94.49,0.22,0.65,1.16,0.00,2.83,1.67
ISANTI - 000055,Isanti,000055,Oxford Twp,989,904,1,6,37,0,36,14,781,724,1,6,20,0,26,8,92.70,0.13,0.77,2.56,0.00,3.33,1.02
ISANTI - 000057,Isanti,000057,Saint Francis P-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ISANTI - 000065,Isanti,000065,Springvale Twp,1560,1472,5,1,10,0,54,14,1197,1143,1,1,5,0,36,9,95.49,0.08,0.08,0.42,0.00,3.01,0.75
ISANTI - 000070,Isanti,000070,Stanchfield Twp,1168,1086,3,8,2,3,59,14,890,849,0,4,2,3,31,4,95.39,0.00,0.45,0.22,0.34,3.48,0.45
ISANTI - 000075,Isanti,000075,Stanford Twp,2299,2164,9,7,27,0,79,26,1847,1761,5,7,13,0,57,18,95.34,0.27,0.38,0.70,0.00,3.09,0.97
ISANTI - 000060,Isanti,000060,Spencer Brook Twp,1670,1572,3,6,1,0,79,47,1305,1234,1,4,1,0,56,27,94.56,0.08,0.31,0.08,0.00,4.29,2.07
GRANT - 000005,Grant,000005,Ashby,469,451,2,0,0,2,14,7,347,333,2,0,0,1,11,7,95.97,0.58,0.00,0.00,0.29,3.17,2.02
GRANT - 000015,Grant,000015,Delaware Twp,98,92,0,0,0,0,6,4,66,64,0,0,0,0,2,2,96.97,0.00,0.00,0.00,0.00,3.03,3.03
GRANT - 000010,Grant,000010,Barrett,366,349,1,2,0,0,14,9,301,287,1,2,0,0,11,9,95.35,0.33,0.66,0.00,0.00,3.65,2.99
GRANT - 000020,Grant,000020,Elbow Lake,1276,1179,2,10,8,0,74,28,929,867,2,7,8,0,42,21,93.33,0.22,0.75,0.86,0.00,4.52,2.26
GRANT - 000025,Grant,000025,Elbow Lake Twp,125,123,0,0,2,0,0,0,108,106,0,0,2,0,0,0,98.15,0.00,0.00,1.85,0.00,0.00,0.00
GRANT - 000115,Grant,000115,Wendell,166,152,0,1,1,0,12,4,127,119,0,0,0,0,8,2,93.70,0.00,0.00,0.00,0.00,6.30,1.57
GRANT - 000030,Grant,000030,Elk Lake Twp,278,259,2,1,0,0,14,3,221,214,2,0,0,0,3,1,96.83,0.90,0.00,0.00,0.00,1.36,0.45
GRANT - 000035,Grant,000035,Erdahl Twp,397,382,0,1,2,2,10,4,306,294,0,0,2,1,9,3,96.08,0.00,0.00,0.65,0.33,2.94,0.98
GRANT - 000040,Grant,000040,Gorton Twp,49,45,0,2,0,0,2,1,37,34,0,1,0,0,2,1,91.89,0.00,2.70,0.00,0.00,5.41,2.70
GRANT - 000045,Grant,000045,Herman,384,367,1,0,0,0,13,5,314,301,1,0,0,0,9,5,95.86,0.32,0.00,0.00,0.00,2.87,1.59
GRANT - 000050,Grant,000050,Hoffman,698,638,3,7,1,3,26,28,518,482,1,4,1,3,13,15,93.05,0.19,0.77,0.19,0.58,2.51,2.90
GRANT - 000055,Grant,000055,Land Twp,269,246,0,0,0,0,2,23,198,181,0,0,0,0,2,15,91.41,0.00,0.00,0.00,0.00,1.01,7.58
GRANT - 000060,Grant,000060,Lawrence Twp,94,83,0,0,1,0,10,4,63,57,0,0,1,0,5,2,90.48,0.00,0.00,1.59,0.00,7.94,3.17
GRANT - 000065,Grant,000065,Lien Twp,123,122,0,0,0,0,1,1,87,86,0,0,0,0,1,1,98.85,0.00,0.00,0.00,0.00,1.15,1.15
GRANT - 000070,Grant,000070,Logan Twp,72,71,0,0,0,0,1,0,52,51,0,0,0,0,1,0,98.08,0.00,0.00,0.00,0.00,1.92,0.00
GRANT - 000075,Grant,000075,Macsville Twp,109,104,0,1,0,0,4,0,91,86,0,1,0,0,4,0,94.51,0.00,1.10,0.00,0.00,4.40,0.00
GRANT - 000080,Grant,000080,Norcross,52,45,0,2,0,0,5,0,43,38,0,2,0,0,3,0,88.37,0.00,4.65,0.00,0.00,6.98,0.00
GRANT - 000085,Grant,000085,North Ottawa Twp,47,47,0,0,0,0,0,0,38,38,0,0,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0.00,0.00
GRANT - 000090,Grant,000090,Pelican Lake Twp,488,467,0,1,4,0,15,10,386,372,0,0,0,0,13,5,96.37,0.00,0.00,0.00,0.00,3.37,1.30
GRANT - 000095,Grant,000095,Pomme de Terre Twp,143,136,2,0,1,1,3,2,110,105,2,0,0,0,3,1,95.45,1.82,0.00,0.00,0.00,2.73,0.91
GRANT - 000100,Grant,000100,Roseville Twp,98,97,0,0,0,0,1,1,86,85,0,0,0,0,1,0,98.84,0.00,0.00,0.00,0.00,1.16,0.00
GRANT - 000105,Grant,000105,Sanford Twp,141,136,0,2,0,0,3,0,112,109,0,0,0,0,3,0,97.32,0.00,0.00,0.00,0.00,2.68,0.00
GRANT - 000110,Grant,000110,Stony Brook Twp,132,130,0,1,0,0,1,1,115,113,0,1,0,0,1,1,98.26,0.00,0.87,0.00,0.00,0.87,0.87
CLEARWATER - 000005,Clearwater,000005,Bagley,1285,1062,5,125,8,2,81,17,1027,879,3,85,6,2,50,14,85.59,0.29,8.28,0.58,0.19,4.87,1.36
CLEARWATER - 000015,Clearwater,000015,Clearbrook,464,389,0,30,0,0,37,8,349,308,0,18,0,0,15,7,88.25,0.00,5.16,0.00,0.00,4.30,2.01
CLEARWATER - 000010,Clearwater,000010,Bear Creek Twp,112,105,0,1,0,0,5,3,103,98,0,0,0,0,4,3,95.15,0.00,0.00,0.00,0.00,3.88,2.91
CLEARWATER - 000075,Clearwater,000075,Leon Twp,392,370,1,0,1,0,19,5,277,266,1,0,1,0,8,4,96.03,0.36,0.00,0.36,0.00,2.89,1.44
CLEARWATER - 000025,Clearwater,000025,Copley Twp,867,761,2,42,1,0,60,6,631,577,1,21,1,0,30,4,91.44,0.16,3.33,0.16,0.00,4.75,0.63
CLEARWATER - 000020,Clearwater,000020,Clover Twp,88,77,1,1,0,0,9,2,71,66,1,0,0,0,4,2,92.96,1.41,0.00,0.00,0.00,5.63,2.82
CLEARWATER - 000030,Clearwater,000030,Dudley Twp,420,391,1,9,1,0,15,15,293,277,0,6,1,0,6,6,94.54,0.00,2.05,0.34,0.00,2.05,2.05
CLEARWATER - 000035,Clearwater,000035,Eddy Twp,303,291,1,3,0,0,8,2,227,218,1,3,0,0,5,0,96.04,0.44,1.32,0.00,0.00,2.20,0.00
CLEARWATER - 000130,Clearwater,000130,Winsor Twp,120,111,1,2,0,0,6,1,87,81,1,2,0,0,3,1,93.10,1.15,2.30,0.00,0.00,3.45,1.15
CLEARWATER - 000040,Clearwater,000040,Falk Twp,277,179,0,66,1,0,31,5,203,141,0,41,1,0,20,5,69.46,0.00,20.20,0.49,0.00,9.85,2.46
CLEARWATER - 000045,Clearwater,000045,Gonvick,263,242,0,12,0,0,9,2,203,191,0,9,0,0,3,0,94.09,0.00,4.43,0.00,0.00,1.48,0.00
CLEARWATER - 000050,Clearwater,000050,Greenwood Twp,78,68,0,3,0,0,6,0,59,52,0,1,0,0,5,0,88.14,0.00,1.69,0.00,0.00,8.47,0.00
CLEARWATER - 000060,Clearwater,000060,Holst Twp,335,324,0,3,1,0,6,2,265,256,0,1,1,0,6,2,96.60,0.00,0.38,0.38,0.00,2.26,0.75
CLEARWATER - 000055,Clearwater,000055,Hangaard Twp,6,4,0,0,0,0,2,0,4,3,0,0,0,0,1,0,75.00,0.00,0.00,0.00,0.00,25.00,0.00
CLEARWATER - 000065,Clearwater,000065,Itasca Twp,129,119,0,7,0,0,3,2,103,95,0,7,0,0,1,2,92.23,0.00,6.80,0.00,0.00,0.97,1.94
CLEARWATER - 000080,Clearwater,000080,Leonard,41,39,0,0,0,0,2,1,35,34,0,0,0,0,1,1,97.14,0.00,0.00,0.00,0.00,2.86,2.86
CLEARWATER - 000070,Clearwater,000070,La Prairie Twp,398,66,0,308,0,0,24,1,270,63,0,193,0,0,14,0,23.33,0.00,71.48,0.00,0.00,5.19,0.00
CLEARWATER - 000140,Clearwater,000140,Long Lost Lake Twp,54,46,0,7,0,0,1,0,46,38,0,7,0,0,1,0,82.61,0.00,15.22,0.00,0.00,2.17,0.00
CLEARWATER - 000085,Clearwater,000085,Minerva Twp,239,209,1,5,0,0,21,7,179,163,0,4,0,0,10,2,91.06,0.00,2.23,0.00,0.00,5.59,1.12
CLEARWATER - 000090,Clearwater,000090,Moose Creek Twp,256,234,1,1,0,0,20,1,191,182,0,0,0,0,9,0,95.29,0.00,0.00,0.00,0.00,4.71,0.00
CLEARWATER - 000095,Clearwater,000095,Nora Twp,423,389,1,8,1,0,24,0,324,300,1,4,1,0,18,0,92.59,0.31,1.23,0.31,0.00,5.56,0.00
CLEARWATER - 000056,Clearwater,000056,Red Lake Reservation,70,3,0,64,1,0,2,3,46,3,0,41,1,0,1,3,6.52,0.00,89.13,2.17,0.00,2.17,6.52
CLEARWATER - 000100,Clearwater,000100,Pine Lake Twp,447,429,0,9,3,0,5,1,316,303,0,5,3,0,4,0,95.89,0.00,1.58,0.95,0.00,1.27,0.00
CLEARWATER - 000105,Clearwater,000105,Popple Twp,535,486,4,21,2,0,18,4,406,376,0,11,2,0,13,2,92.61,0.00,2.71,0.49,0.00,3.20,0.49
CLEARWATER - 000110,Clearwater,000110,Rice Twp,162,126,0,25,0,0,9,4,115,96,0,17,0,0,1,4,83.48,0.00,14.78,0.00,0.00,0.87,3.48
CLEARWATER - 000115,Clearwater,000115,Shevlin,137,126,0,0,0,0,10,2,104,99,0,0,0,0,4,1,95.19,0.00,0.00,0.00,0.00,3.85,0.96
CLEARWATER - 000120,Clearwater,000120,Shevlin Twp,473,404,4,5,3,0,53,6,363,323,2,4,3,0,30,5,88.98,0.55,1.10,0.83,0.00,8.26,1.38
CLEARWATER - 000125,Clearwater,000125,Sinclair Twp,142,140,0,0,0,0,1,1,115,113,0,0,0,0,1,1,98.26,0.00,0.00,0.00,0.00,0.87,0.87
CLEARWATER - 000135,Clearwater,000135,South Clearwater 143-36,8,7,0,0,0,0,1,0,5,4,0,0,0,0,1,0,80.00,0.00,0.00,0.00,0.00,20.00,0.00
BECKER - 000145,Becker,000145,Maple Grove Twp,477,219,0,222,0,0,35,6,356,194,0,135,0,0,26,4,54.49,0.00,37.92,0.00,0.00,7.30,1.12
BECKER - 000150,Becker,000150,Ogema,208,88,0,108,0,0,11,6,133,64,0,59,0,0,9,4,48.12,0.00,44.36,0.00,0.00,6.77,3.01
BECKER - 000155,Becker,000155,Osage Twp,885,808,12,6,4,0,50,8,665,624,5,6,4,0,22,2,93.83,0.75,0.90,0.60,0.00,3.31,0.30
BECKER - 000160,Becker,000160,Pine Point Twp,329,36,0,286,0,0,6,11,197,34,0,158,0,0,4,1,17.26,0.00,80.20,0.00,0.00,2.03,0.51
BECKER - 000165,Becker,000165,Riceville Twp,118,92,0,16,0,0,9,0,72,61,0,7,0,0,4,0,84.72,0.00,9.72,0.00,0.00,5.56,0.00
BECKER - 000170,Becker,000170,Richwood Twp,651,567,2,25,1,0,53,10,493,438,2,17,1,0,32,8,88.84,0.41,3.45,0.20,0.00,6.49,1.62
BECKER - 000175,Becker,000175,Round Lake Twp,232,130,0,84,0,0,16,2,179,113,0,54,0,0,10,0,63.13,0.00,30.17,0.00,0.00,5.59,0.00
BECKER - 000180,Becker,000180,Runeberg Twp,639,609,0,1,1,0,26,6,349,329,0,1,1,0,18,3,94.27,0.00,0.29,0.29,0.00,5.16,0.86
BECKER - 000185,Becker,000185,Savannah Twp,178,166,0,3,0,0,8,1,144,137,0,1,0,0,6,0,95.14,0.00,0.69,0.00,0.00,4.17,0.00
BECKER - 000190,Becker,000190,Shell Lake Twp,288,269,0,6,0,1,12,2,233,215,0,6,0,1,11,2,92.27,0.00,2.58,0.00,0.43,4.72,0.86
BECKER - 000195,Becker,000195,Silver Leaf Twp,512,483,1,0,1,0,22,7,382,369,0,0,1,0,11,5,96.60,0.00,0.00,0.26,0.00,2.88,1.31
BECKER - 000200,Becker,000200,Spring Creek Twp,103,70,0,27,0,0,5,0,69,56,0,12,0,0,1,0,81.16,0.00,17.39,0.00,0.00,1.45,0.00
BECKER - 000205,Becker,000205,Spruce Grove Twp,406,393,0,1,1,0,11,3,247,238,0,0,1,0,8,2,96.36,0.00,0.00,0.40,0.00,3.24,0.81
BECKER - 000210,Becker,000210,Sugar Bush Twp,537,349,0,135,1,0,52,4,411,301,0,80,0,0,30,0,73.24,0.00,19.46,0.00,0.00,7.30,0.00
BECKER - 000215,Becker,000215,Toad Lake Twp,496,463,1,4,0,0,28,3,368,350,0,4,0,0,14,1,95.11,0.00,1.09,0.00,0.00,3.80,0.27
BECKER - 000220,Becker,000220,Two Inlets Twp,208,193,1,1,1,0,11,1,180,170,1,0,0,0,8,1,94.44,0.56,0.00,0.00,0.00,4.44,0.56
BECKER - 000225,Becker,000225,Walworth Twp,101,87,0,1,3,0,10,0,70,64,0,1,0,0,5,0,91.43,0.00,1.43,0.00,0.00,7.14,0.00
BECKER - 000230,Becker,000230,White Earth Twp,765,142,0,543,0,0,79,5,537,114,0,375,0,0,47,0,21.23,0.00,69.83,0.00,0.00,8.75,0.00
BECKER - 000235,Becker,000235,Wolf Lake,71,65,0,0,0,0,6,3,45,42,0,0,0,0,3,1,93.33,0.00,0.00,0.00,0.00,6.67,2.22
BECKER - 000240,Becker,000240,Wolf Lake Twp,272,267,0,0,1,0,4,0,155,152,0,0,1,0,2,0,98.06,0.00,0.00,0.65,0.00,1.29,0.00
BECKER - 000052,Becker,000052,Detroit Twp P-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BECKER - 000005,Becker,000005,Atlanta Twp,115,106,0,1,0,0,8,2,87,83,0,0,0,0,4,1,95.40,0.00,0.00,0.00,0.00,4.60,1.15
BECKER - 000010,Becker,000010,Audubon,560,505,1,11,0,0,42,7,400,366,1,6,0,0,27,4,91.50,0.25,1.50,0.00,0.00,6.75,1.00
BECKER - 000015,Becker,000015,Audubon Twp,646,604,3,0,0,0,37,5,492,469,3,0,0,0,18,3,95.33,0.61,0.00,0.00,0.00,3.66,0.61
BECKER - 000020,Becker,000020,Burlington Twp,1657,1513,4,37,5,0,92,20,1262,1160,3,29,3,0,62,7,91.92,0.24,2.30,0.24,0.00,4.91,0.55
BECKER - 000025,Becker,000025,Callaway,178,95,0,51,0,0,31,6,128,74,0,39,0,0,14,0,57.81,0.00,30.47,0.00,0.00,10.94,0.00
BECKER - 000030,Becker,000030,Callaway Twp,304,180,0,67,0,0,56,3,223,137,0,50,0,0,35,1,61.43,0.00,22.42,0.00,0.00,15.70,0.45
BECKER - 000035,Becker,000035,Carsonville Twp,213,168,0,28,1,0,16,1,168,143,0,16,1,0,8,1,85.12,0.00,9.52,0.60,0.00,4.76,0.60
BECKER - 000040,Becker,000040,Cormorant Twp,1388,1330,1,2,1,0,52,17,1183,1148,1,1,1,0,31,8,97.04,0.08,0.08,0.08,0.00,2.62,0.68
BECKER - 000045,Becker,000045,Cuba Twp,297,279,1,6,0,0,11,4,218,206,1,2,0,0,9,3,94.50,0.46,0.92,0.00,0.00,4.13,1.38
BECKER - 000050,Becker,000050,Detroit Twp P-1,1218,1058,1,50,3,0,94,12,937,857,1,20,1,0,48,10,91.46,0.11,2.13,0.11,0.00,5.12,1.07
BECKER - 000051,Becker,000051,Detroit Twp P-2,875,779,3,27,3,0,58,13,639,572,1,22,3,0,38,7,89.51,0.16,3.44,0.47,0.00,5.95,1.10
BECKER - 000055,Becker,000055,Detroit Lakes W-1 P-1,3554,2888,72,212,36,5,301,108,2660,2237,55,154,29,3,158,57,84.10,2.07,5.79,1.09,0.11,5.94,2.14
BECKER - 000065,Becker,000065,Detroit Lakes W-2 P-1,2974,2625,25,114,24,0,170,52,2441,2234,13,78,21,0,86,36,91.52,0.53,3.20,0.86,0.00,3.52,1.47
BECKER - 000075,Becker,000075,Detroit Lakes W-3 P-1,3341,2894,27,85,42,4,260,79,2585,2314,21,57,36,3,131,58,89.52,0.81,2.21,1.39,0.12,5.07,2.24
BECKER - 000085,Becker,000085,Erie Twp,1717,1553,6,27,3,1,122,20,1353,1255,3,17,2,0,73,10,92.76,0.22,1.26,0.15,0.00,5.40,0.74
BECKER - 000090,Becker,000090,Evergreen Twp,403,383,0,0,1,2,13,14,250,243,0,0,0,2,4,6,97.20,0.00,0.00,0.00,0.80,1.60,2.40
BECKER - 000095,Becker,000095,Forest Twp,172,126,0,28,0,0,14,3,141,113,0,12,0,0,12,1,80.14,0.00,8.51,0.00,0.00,8.51,0.71
BECKER - 000100,Becker,000100,Frazee,1335,1109,31,70,9,1,106,35,968,836,16,41,5,0,64,13,86.36,1.65,4.24,0.52,0.00,6.61,1.34
BECKER - 000105,Becker,000105,Green Valley Twp,348,336,0,1,1,0,10,3,259,252,0,0,1,0,6,0,97.30,0.00,0.00,0.39,0.00,2.32,0.00
BECKER - 000110,Becker,000110,Hamden Twp,212,194,0,2,0,0,15,0,164,153,0,1,0,0,9,0,93.29,0.00,0.61,0.00,0.00,5.49,0.00
BECKER - 000115,Becker,000115,Height of Land Twp,682,648,3,3,2,0,25,7,553,529,3,2,1,0,18,4,95.66,0.54,0.36,0.18,0.00,3.25,0.72
BECKER - 000082,Becker,000082,Eagle View Twp,186,99,0,70,0,1,15,1,153,98,0,45,0,1,9,1,64.05,0.00,29.41,0.00,0.65,5.88,0.65
BECKER - 000120,Becker,000120,Holmesville Twp,543,464,0,31,0,0,47,6,418,385,0,16,0,0,16,2,92.11,0.00,3.83,0.00,0.00,3.83,0.48
BECKER - 000125,Becker,000125,Lake Eunice Twp,1729,1599,2,21,2,3,91,34,1391,1318,0,5,2,3,53,12,94.75,0.00,0.36,0.14,0.22,3.81,0.86
BECKER - 000130,Becker,000130,Lake Park,728,640,3,16,8,3,56,29,535,482,3,14,6,3,26,8,90.09,0.56,2.62,1.12,0.56,4.86,1.50
BECKER - 000135,Becker,000135,Lake Park Twp,549,523,0,3,1,0,20,2,423,401,0,3,0,0,17,1,94.80,0.00,0.71,0.00,0.00,4.02,0.24
BECKER - 000140,Becker,000140,Lake View Twp,1783,1624,3,36,6,1,105,14,1420,1304,1,27,3,1,76,10,91.83,0.07,1.90,0.21,0.07,5.35,0.70
HENNEPIN - 000510,Hennepin,000510,Corcoran P-3,2401,1746,13,0,509,0,117,57,1706,1311,8,0,309,0,69,35,76.85,0.47,0.00,18.11,0.00,4.04,2.05
HENNEPIN - 001855,Hennepin,001855,Minneapolis W-10 P-11,2827,2159,191,19,146,4,247,202,2658,2080,160,14,142,3,204,169,78.25,6.02,0.53,5.34,0.11,7.67,6.36
HENNEPIN - 001504,Hennepin,001504,Minneapolis W-3 P-13,2922,2241,130,18,294,3,173,148,2786,2171,113,16,277,3,153,129,77.93,4.06,0.57,9.94,0.11,5.49,4.63
WRIGHT - 000007,Wright,000007,Albertville P-2,2808,2441,102,12,58,0,149,92,1903,1710,52,5,39,0,69,51,89.86,2.73,0.26,2.05,0.00,3.63,2.68
WRIGHT - 000127,Wright,000127,Monticello P-2,8081,6808,140,23,155,5,592,734,5515,4750,82,19,115,5,310,444,86.13,1.49,0.34,2.09,0.09,5.62,8.05
