precinct_id,county,precinct_code,precinct_name,total_population,white_pop,black_pop,native_pop,asian_pop,pacific_pop,multiracial_pop,hispanic_pop,vap_18plus,white_vap,black_vap,native_vap,asian_vap,pacific_vap,multiracial_vap,hispanic_vap,white_vap_pct,black_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct,hispanic_vap_pct
BROWN - 000005,Brown,000005,Albin Twp,311,299,1,0,4,0,7,2,244,235,0,0,4,0,5,2,96.31,0.00,0.00,1.64,0.00,2.05,0.82
BROWN - 000010,Brown,000010,Bashaw Twp,221,220,0,0,0,0,1,0,168,167,0,0,0,0,1,0,99.40,0.00,0.00,0.00,0.00,0.60,0.00
BROWN - 000015,Brown,000015,Burnstown Twp,262,257,0,0,0,0,4,4,198,196,0,0,0,0,1,2,98.99,0.00,0.00,0.00,0.00,0.51,1.01
BROWN - 000025,Brown,000025,Comfrey,378,356,1,2,2,0,13,26,289,267,1,2,2,0,13,19,92.39,0.35,0.69,0.69,0.00,4.50,6.57
BROWN - 000030,Brown,000030,Cottonwood Twp,856,849,1,0,0,0,6,1,675,671,1,0,0,0,3,1,99.41,0.15,0.00,0.00,0.00,0.44,0.15
BROWN - 000115,Brown,000115,New Ulm W-4 P-2,1888,1810,7,0,28,0,22,30,1583,1515,6,0,28,0,14,27,95.70,0.38,0.00,1.77,0.00,0.88,1.71
BROWN - 000035,Brown,000035,Eden Twp,214,210,0,0,2,0,2,2,178,176,0,0,2,0,0,2,98.88,0.00,0.00,1.12,0.00,0.00,1.12
BROWN - 000040,Brown,000040,Evan,70,59,0,2,0,0,1,9,60,50,0,2,0,0,1,8,83.33,0.00,3.33,0.00,0.00,1.67,13.33
BROWN - 000045,Brown,000045,Hanska,382,360,5,0,0,0,12,16,277,270,1,0,0,0,6,5,97.47,0.36,0.00,0.00,0.00,2.17,1.81
BROWN - 000050,Brown,000050,Home Twp,495,475,0,0,1,0,16,7,402,394,0,0,0,0,5,5,98.01,0.00,0.00,0.00,0.00,1.24,1.24
