year,office,district,party,candidate
2002,Attorney General,NA,IND,
2002,Governor,NA,CP,
2002,Governor,NA,GP,
2002,Governor,NA,I,
2002,Governor,NA,SWP,
2002,Secretary of State,NA,GP,
2002,Secretary of State,NA,IND,
2002,State Auditor,NA,GP,
2002,State Auditor,NA,IND,
2002,State House,10A,CP,
2002,State House,10A,DFL,
2002,State House,10A,GP,
2002,State House,10A,I,
2002,State House,10A,IND,
2002,State House,10A,R,
2002,State House,10B,CP,
2002,State House,10B,DFL,
2002,State House,10B,GP,
2002,State House,10B,I,
2002,State House,10B,IND,
2002,State House,10B,R,
2002,State House,11A,CP,
2002,State House,11A,DFL,
2002,State House,11A,GP,
2002,State House,11A,I,
2002,State House,11A,IND,
2002,State House,11A,R,
2002,State House,11B,CP,
2002,State House,11B,DFL,
2002,State House,11B,GP,
2002,State House,11B,I,
2002,State House,11B,IND,
2002,State House,11B,R,
2002,State House,12A,CP,
2002,State House,12A,DFL,
2002,State House,12A,GP,
2002,State House,12A,I,
2002,State House,12A,IND,
2002,State House,12A,R,
2002,State House,12B,CP,
2002,State House,12B,DFL,
2002,State House,12B,GP,
2002,State House,12B,I,
2002,State House,12B,IND,
2002,State House,12B,R,
2002,State House,13A,CP,
2002,State House,13A,DFL,
2002,State House,13A,GP,
2002,State House,13A,I,
2002,State House,13A,IND,
2002,State House,13A,R,
2002,State House,13B,CP,
2002,State House,13B,DFL,
2002,State House,13B,GP,
2002,State House,13B,I,
2002,State House,13B,IND,
2002,State House,13B,R,
2002,State House,14A,CP,
2002,State House,14A,DFL,
2002,State House,14A,GP,
2002,State House,14A,I,
2002,State House,14A,IND,
2002,State House,14A,R,
2002,State House,14B,CP,
2002,State House,14B,DFL,
2002,State House,14B,GP,
2002,State House,14B,I,
2002,State House,14B,IND,
2002,State House,14B,R,
2002,State House,15A,CP,
2002,State House,15A,DFL,
2002,State House,15A,GP,
2002,State House,15A,I,
2002,State House,15A,IND,
2002,State House,15A,R,
2002,State House,15B,CP,
2002,State House,15B,DFL,
2002,State House,15B,GP,
2002,State House,15B,I,
2002,State House,15B,IND,
2002,State House,15B,R,
2002,State House,16A,CP,
2002,State House,16A,DFL,
2002,State House,16A,GP,
2002,State House,16A,I,
2002,State House,16A,IND,
2002,State House,16A,R,
2002,State House,16B,CP,
2002,State House,16B,DFL,
2002,State House,16B,GP,
2002,State House,16B,I,
2002,State House,16B,IND,
2002,State House,16B,R,
2002,State House,17A,CP,
2002,State House,17A,DFL,
2002,State House,17A,GP,
2002,State House,17A,I,
2002,State House,17A,IND,
2002,State House,17A,R,
2002,State House,17B,CP,
2002,State House,17B,DFL,
2002,State House,17B,GP,
2002,State House,17B,I,
2002,State House,17B,IND,
2002,State House,17B,R,
2002,State House,18A,CP,
2002,State House,18A,DFL,
2002,State House,18A,GP,
2002,State House,18A,I,
2002,State House,18A,IND,
2002,State House,18A,R,
2002,State House,18B,CP,
2002,State House,18B,DFL,
2002,State House,18B,GP,
2002,State House,18B,I,
2002,State House,18B,IND,
2002,State House,18B,R,
2002,State House,19A,CP,
2002,State House,19A,DFL,
2002,State House,19A,GP,
2002,State House,19A,I,
2002,State House,19A,IND,
2002,State House,19A,R,
2002,State House,19B,CP,
2002,State House,19B,DFL,
2002,State House,19B,GP,
2002,State House,19B,I,
2002,State House,19B,IND,
2002,State House,19B,R,
2002,State House,1A,CP,
2002,State House,1A,DFL,
2002,State House,1A,GP,
2002,State House,1A,I,
2002,State House,1A,IND,
2002,State House,1A,R,
2002,State House,1B,CP,
2002,State House,1B,DFL,
2002,State House,1B,GP,
2002,State House,1B,I,
2002,State House,1B,IND,
2002,State House,1B,R,
2002,State House,20A,CP,
2002,State House,20A,DFL,
2002,State House,20A,GP,
2002,State House,20A,I,
2002,State House,20A,IND,
2002,State House,20A,R,
2002,State House,20B,CP,
2002,State House,20B,DFL,
2002,State House,20B,GP,
2002,State House,20B,I,
2002,State House,20B,IND,
2002,State House,20B,R,
2002,State House,21A,CP,
2002,State House,21A,DFL,
2002,State House,21A,GP,
2002,State House,21A,I,
2002,State House,21A,IND,
2002,State House,21A,R,
2002,State House,21B,CP,
2002,State House,21B,DFL,
2002,State House,21B,GP,
2002,State House,21B,I,
2002,State House,21B,IND,
2002,State House,21B,R,
2002,State House,22A,CP,
2002,State House,22A,DFL,
2002,State House,22A,GP,
2002,State House,22A,I,
2002,State House,22A,IND,
2002,State House,22A,R,
2002,State House,22B,CP,
2002,State House,22B,DFL,
2002,State House,22B,GP,
2002,State House,22B,I,
2002,State House,22B,IND,
2002,State House,22B,R,
2002,State House,23A,CP,
2002,State House,23A,DFL,
2002,State House,23A,GP,
2002,State House,23A,I,
2002,State House,23A,IND,
2002,State House,23A,R,
2002,State House,23B,CP,
2002,State House,23B,DFL,
2002,State House,23B,GP,
2002,State House,23B,I,
2002,State House,23B,IND,
2002,State House,23B,R,
2002,State House,24A,CP,
2002,State House,24A,DFL,
2002,State House,24A,GP,
2002,State House,24A,I,
2002,State House,24A,IND,
2002,State House,24A,R,
2002,State House,24B,CP,
2002,State House,24B,DFL,
2002,State House,24B,GP,
2002,State House,24B,I,
2002,State House,24B,IND,
2002,State House,24B,R,
2002,State House,25A,CP,
2002,State House,25A,DFL,
2002,State House,25A,GP,
2002,State House,25A,I,
2002,State House,25A,IND,
2002,State House,25A,R,
2002,State House,25B,CP,
2002,State House,25B,DFL,
2002,State House,25B,GP,
2002,State House,25B,I,
2002,State House,25B,IND,
2002,State House,25B,R,
2002,State House,26A,CP,
2002,State House,26A,DFL,
2002,State House,26A,GP,
2002,State House,26A,I,
2002,State House,26A,IND,
2002,State House,26A,R,
2002,State House,26B,CP,
2002,State House,26B,DFL,
2002,State House,26B,GP,
2002,State House,26B,I,
2002,State House,26B,IND,
2002,State House,26B,R,
2002,State House,27A,CP,
2002,State House,27A,DFL,
2002,State House,27A,GP,
2002,State House,27A,I,
2002,State House,27A,IND,
2002,State House,27A,R,
