district,total_population,vap_18plus,white_pop,black_pop,native_pop,asian_pop,pacific_pop,multiracial_pop,hispanic_pop,white_vap,black_vap,native_vap,asian_vap,pacific_vap,multiracial_vap,hispanic_vap,white_pop_pct,white_vap_pct,black_pop_pct,black_vap_pct,native_pop_pct,native_vap_pct,asian_pop_pct,asian_vap_pct,pacific_pop_pct,pacific_vap_pct,multiracial_pop_pct,multiracial_vap_pct,hispanic_pop_pct,hispanic_vap_pct
1,713381,549409,599429,27849,3736,20336,536,37666,51124,476679,17435,2767,15235,367,21202,31286,84.03,86.76,3.90,3.17,0.52,0.50,2.85,2.77,0.08,0.07,5.28,3.86,7.17,5.69
2,713191,535274,547393,45218,4608,39864,343,49093,54141,428862,28125,3273,29557,263,26855,34048,76.75,80.12,6.34,5.25,0.65,0.61,5.59,5.52,0.05,0.05,6.88,5.02,7.59,6.36
3,712618,548557,515023,68108,3270,62458,202,44481,37326,419382,44133,2404,44801,142,24718,23728,72.27,76.45,9.56,8.05,0.46,0.44,8.76,8.17,0.03,0.03,6.24,4.51,5.24,4.33
4,713527,549414,454285,80735,5256,98705,298,49277,52738,379489,53525,3954,66125,214,28625,34261,63.67,69.07,11.31,9.74,0.74,0.72,13.83,12.04,0.04,0.04,6.91,5.21,7.39,6.24
5,713285,571917,437302,123480,10107,43954,312,56907,72387,380598,84107,7319,35064,267,36078,48930,61.31,66.55,17.31,14.71,1.42,1.28,6.16,6.13,0.04,0.05,7.98,6.31,10.15,8.56
6,714003,528735,606492,33011,3067,21446,198,37972,26557,462576,19677,2293,15612,151,20413,16108,84.94,87.49,4.62,3.72,0.43,0.43,3.00,2.95,0.03,0.03,5.32,3.86,3.72,3.05
7,713365,544762,638175,11376,7051,6341,838,33280,37739,498798,6881,4638,4522,530,18740,22081,89.46,91.56,1.59,1.26,0.99,0.85,0.89,0.83,0.12,0.10,4.67,3.44,5.29,4.05
8,713123,560965,625047,8657,31546,6086,191,37045,13629,503744,6551,20412,4689,124,22149,8325,87.65,89.80,1.21,1.17,4.42,3.64,0.85,0.84,0.03,0.02,5.19,3.95,1.91,1.48
