district,total_population,vap_18plus,white_pop,black_pop,native_pop,asian_pop,pacific_pop,multiracial_pop,hispanic_pop,white_vap,black_vap,native_vap,asian_vap,pacific_vap,multiracial_vap,hispanic_vap,white_pop_pct,white_vap_pct,black_pop_pct,black_vap_pct,native_pop_pct,native_vap_pct,asian_pop_pct,asian_vap_pct,pacific_pop_pct,pacific_vap_pct,multiracial_pop_pct,multiracial_vap_pct,hispanic_pop_pct,hispanic_vap_pct
33,85717,66156,75617,2277,477,1898,23,4555,2680,59602,1723,385,1318,15,2532,1605,88.22,90.09,2.66,2.60,0.56,0.58,2.21,1.99,0.03,0.02,5.31,3.83,3.13,2.43
34,86838,64322,58284,11298,371,9305,12,5258,4067,46168,7202,276,6464,10,2684,2530,67.12,71.78,13.01,11.20,0.43,0.43,10.72,10.05,0.01,0.02,6.05,4.17,4.68,3.93
35,84019,64861,63885,7639,623,4460,27,5677,3800,52288,4723,467,3040,23,3136,2376,76.04,80.62,9.09,7.28,0.74,0.72,5.31,4.69,0.03,0.04,6.76,4.83,4.52,3.66
36,85457,67016,71628,3125,424,4370,17,4676,3363,58006,2061,320,3100,11,2648,2018,83.82,86.56,3.66,3.08,0.50,0.48,5.11,4.63,0.02,0.02,5.47,3.95,3.94,3.01
37,86577,65634,69626,4463,299,5800,18,5018,3014,54799,2770,226,4211,12,2691,1876,80.42,83.49,5.15,4.22,0.35,0.34,6.70,6.42,0.02,0.02,5.80,4.10,3.48,2.86
38,84543,61375,29160,26981,821,15418,20,6584,9390,25343,17959,562,10115,13,3756,5892,34.49,41.29,31.91,29.26,0.97,0.92,18.24,16.48,0.02,0.02,7.79,6.12,11.11,9.60
39,83924,64838,51416,14177,921,5508,34,6664,8973,43565,9075,664,4160,31,3864,5708,61.26,67.19,16.89,14.00,1.10,1.02,6.56,6.42,0.04,0.05,7.94,5.96,10.69,8.80
4,85002,64182,72806,3332,1735,910,35,5186,3383,56690,2014,1116,737,31,2897,1945,85.65,88.33,3.92,3.14,2.04,1.74,1.07,1.15,0.04,0.05,6.10,4.51,3.98,3.03
40,87317,69065,65258,5736,411,8060,53,5519,4780,54438,3763,302,5879,42,3105,3007,74.74,78.82,6.57,5.45,0.47,0.44,9.23,8.51,0.06,0.06,6.32,4.50,5.47,4.35
41,84457,63557,70262,2955,406,3853,33,5233,4305,54808,1844,288,2629,25,2826,2526,83.19,86.23,3.50,2.90,0.48,0.45,4.56,4.14,0.04,0.04,6.20,4.45,5.10,3.97
42,84484,63852,62820,5099,237,10086,28,4972,3164,49713,3398,171,7008,22,2652,2020,74.36,77.86,6.04,5.32,0.28,0.27,11.94,10.98,0.03,0.03,5.89,4.15,3.75,3.16
43,85226,68114,59360,12211,540,3456,18,6693,5708,50734,8365,414,2770,18,3801,3694,69.65,74.48,14.33,12.28,0.63,0.61,4.06,4.07,0.02,0.03,7.85,5.58,6.70,5.42
44,85069,66089,52347,8905,541,13730,29,5891,7180,45001,5737,413,9211,19,3315,4510,61.53,68.09,10.47,8.68,0.64,0.62,16.14,13.94,0.03,0.03,6.92,5.02,8.44,6.82
45,85343,67028,74884,1927,211,2746,11,4549,2773,60153,1312,144,2132,5,2581,1765,87.74,89.74,2.26,1.96,0.25,0.21,3.22,3.18,0.01,0.01,5.33,3.85,3.25,2.63
46,85742,69820,65233,7911,470,4176,54,5675,4639,55537,5411,359,3404,39,3455,3126,76.08,79.54,9.23,7.75,0.55,0.51,4.87,4.88,0.06,0.06,6.62,4.95,5.41,4.48
47,85108,62783,60694,6643,297,10033,31,5979,4312,47318,4239,195,6905,25,3122,2653,71.31,75.37,7.81,6.75,0.35,0.31,11.79,11.00,0.04,0.04,7.03,4.97,5.07,4.23
48,85490,62200,73015,1915,245,3242,14,4877,4592,54585,1133,170,2401,12,2462,2776,85.41,87.76,2.24,1.82,0.29,0.27,3.79,3.86,0.02,0.02,5.70,3.96,5.37,4.46
49,85207,66039,62783,5717,252,9626,21,5260,3746,51390,3438,164,6956,12,2975,2460,73.68,77.82,6.71,5.21,0.30,0.25,11.30,10.53,0.02,0.02,6.17,4.50,4.40,3.73
5,85396,65336,78203,433,756,333,98,3856,3313,60867,272,491,248,62,2326,1931,91.58,93.16,0.51,0.42,0.89,0.75,0.39,0.38,0.11,0.09,4.52,3.56,3.88,2.96
50,83810,66474,65074,4640,341,6752,25,5104,3878,53732,3103,269,5180,22,2830,2481,77.64,80.83,5.54,4.67,0.41,0.40,8.06,7.79,0.03,0.03,6.09,4.26,4.63,3.73
51,87441,69823,53668,10298,1045,5718,53,7498,14041,46527,7126,774,4733,41,4512,9070,61.38,66.64,11.78,10.21,1.20,1.11,6.54,6.78,0.06,0.06,8.57,6.46,16.06,12.99
52,85579,66908,61744,8039,393,7151,34,5754,5359,51102,5092,268,5453,22,3243,3504,72.15,76.38,9.39,7.61,0.46,0.40,8.36,8.15,0.04,0.03,6.72,4.85,6.26,5.24
53,84348,65541,62203,5508,749,3519,59,7195,10757,51064,3621,549,2498,45,4209,6886,73.75,77.91,6.53,5.52,0.89,0.84,4.17,3.81,0.07,0.07,8.53,6.42,12.75,10.51
54,86158,62838,63825,5072,1337,6679,36,5844,6570,48594,3088,908,4933,29,3018,4119,74.08,77.33,5.89,4.91,1.55,1.44,7.75,7.85,0.04,0.05,6.78,4.80,7.63,6.55
55,85185,64380,56556,11194,484,5847,80,6372,8232,45993,6691,345,4558,55,3670,5208,66.39,71.44,13.14,10.39,0.57,0.54,6.86,7.08,0.09,0.09,7.48,5.70,9.66,8.09
56,81996,61383,61143,6177,355,5370,24,5975,5895,48158,3806,270,3969,20,3218,3625,74.57,78.45,7.53,6.20,0.43,0.44,6.55,6.47,0.03,0.03,7.29,5.24,7.19,5.91
57,84823,60615,69569,3141,307,4309,19,5312,4355,51402,1901,224,2989,13,2644,2563,82.02,84.80,3.70,3.14,0.36,0.37,5.08,4.93,0.02,0.02,6.26,4.36,5.13,4.23
58,88066,65949,74990,2121,359,2693,28,4969,4994,57109,1387,251,2191,19,2705,3349,85.15,86.60,2.41,2.10,0.41,0.38,3.06,3.32,0.03,0.03,5.64,4.10,5.67,5.08
59,85035,63955,33175,29673,1566,8658,40,7166,8261,30314,18935,1016,6042,36,4423,5441,39.01,47.40,34.90,29.61,1.84,1.59,10.18,9.45,0.05,0.06,8.43,6.92,9.71,8.51
6,84553,66730,78397,521,952,415,21,3760,1159,62898,347,625,328,15,2185,701,92.72,94.26,0.62,0.52,1.13,0.94,0.49,0.49,0.02,0.02,4.45,3.27,1.37,1.05
60,83038,72769,53672,11717,774,7895,35,5947,6190,49767,7959,637,7529,30,4547,4756,64.64,68.39,14.11,10.94,0.93,0.88,9.51,10.35,0.04,0.04,7.16,6.25,7.45,6.54
61,86024,74187,65086,8683,648,3679,45,6107,4459,57557,6940,533,3308,38,4332,3604,75.66,77.58,10.09,9.35,0.75,0.72,4.28,4.46,0.05,0.05,7.10,5.84,5.18,4.86
62,83720,65369,38156,20842,3087,2352,52,7813,17600,33659,14443,2192,2046,40,5221,11834,45.58,51.49,24.89,22.09,3.69,3.35,2.81,3.13,0.06,0.06,9.33,7.99,21.02,18.10
63,85876,68040,61218,10482,1274,2189,28,6837,7297,50890,7500,929,1869,23,4164,4835,71.29,74.79,12.21,11.02,1.48,1.37,2.55,2.75,0.03,0.03,7.96,6.12,8.50,7.11
64,84657,70446,65735,7768,450,3264,71,5736,4393,56527,5751,351,2730,48,3721,3184,77.65,80.24,9.18,8.16,0.53,0.50,3.86,3.88,0.08,0.07,6.78,5.28,5.19,4.52
65,85683,64669,38842,19783,1185,12893,45,7595,11220,33729,12833,884,8701,30,4583,7672,45.33,52.16,23.09,19.84,1.38,1.37,15.05,13.45,0.05,0.05,8.86,7.09,13.09,11.86
66,82549,63457,43337,12630,819,16832,31,5897,6276,37404,8544,630,11151,25,3540,4190,52.50,58.94,15.30,13.46,0.99,0.99,20.39,17.57,0.04,0.04,7.14,5.58,7.60,6.60
67,84787,59490,28036,14107,1002,28857,12,6590,11008,23829,9072,741,17899,12,3743,6995,33.07,40.06,16.64,15.25,1.18,1.25,34.03,30.09,0.01,0.02,7.77,6.29,12.98,11.76
7,84595,67600,77729,701,1252,278,21,4244,1185,63198,511,872,244,13,2484,683,91.88,93.49,0.83,0.76,1.48,1.29,0.33,0.36,0.02,0.02,5.02,3.67,1.40,1.01
8,85242,70022,72376,3079,2163,1384,39,5528,2033,60942,2319,1581,1189,27,3441,1409,84.91,87.03,3.61,3.31,2.54,2.26,1.62,1.70,0.05,0.04,6.49,4.91,2.38,2.01
9,84712,66142,77880,950,688,390,27,3465,2868,61977,564,430,301,23,1957,1727,91.94,93.70,1.12,0.85,0.81,0.65,0.46,0.46,0.03,0.03,4.09,2.96,3.39,2.61
