district,total_population,vap_18plus,white_pop,black_pop,native_pop,asian_pop,pacific_pop,multiracial_pop,hispanic_pop,white_vap,black_vap,native_vap,asian_vap,pacific_vap,multiracial_vap,hispanic_vap,white_pop_pct,white_vap_pct,black_pop_pct,black_vap_pct,native_pop_pct,native_vap_pct,asian_pop_pct,asian_vap_pct,pacific_pop_pct,pacific_vap_pct,multiracial_pop_pct,multiracial_vap_pct,hispanic_pop_pct,hispanic_vap_pct
1,85175,65000,76317,1298,1153,740,32,4352,3788,59474,837,769,548,19,2454,2219,89.60,91.50,1.52,1.29,1.35,1.18,0.87,0.84,0.04,0.03,5.11,3.78,4.45,3.41
10,85805,65568,79680,365,1923,294,20,3034,1357,61773,190,1200,226,15,1788,799,92.86,94.21,0.43,0.29,2.24,1.83,0.34,0.34,0.02,0.02,3.54,2.73,1.58,1.22
11,85157,66969,74342,1668,3861,536,18,4289,1727,59489,1527,2686,410,15,2521,1093,87.30,88.83,1.96,2.28,4.53,4.01,0.63,0.61,0.02,0.02,5.04,3.76,2.03,1.63
12,85324,65868,78211,545,454,464,154,3095,4500,61455,360,314,334,89,1760,2678,91.66,93.30,0.64,0.55,0.53,0.48,0.54,0.51,0.18,0.14,3.63,2.67,5.27,4.07
13,85789,64960,78834,1242,256,1057,18,3260,2495,60679,805,171,824,8,1737,1518,91.89,93.41,1.45,1.24,0.30,0.26,1.23,1.27,0.02,0.01,3.80,2.67,2.91,2.34
14,85589,66146,60142,15669,553,2709,60,4635,3843,50554,8960,416,2285,47,2656,2526,70.27,76.43,18.31,13.55,0.65,0.63,3.17,3.45,0.07,0.07,5.42,4.02,4.49,3.82
15,84821,64902,75114,1235,1400,1878,11,3523,4126,59009,803,911,1198,5,1886,2361,88.56,90.92,1.46,1.24,1.65,1.40,2.21,1.85,0.01,0.01,4.15,2.91,4.86,3.64
16,85270,64684,72042,2852,447,744,345,4999,9239,56718,1575,298,502,200,2883,5453,84.49,87.68,3.34,2.43,0.52,0.46,0.87,0.78,0.40,0.31,5.86,4.46,10.83,8.43
17,84887,64199,77071,667,288,743,45,4196,4886,59470,405,196,551,37,2305,2856,90.79,92.63,0.79,0.63,0.34,0.31,0.88,0.86,0.05,0.06,4.94,3.59,5.76,4.45
18,85676,67944,71073,5575,435,2332,46,4400,4578,57856,3712,342,2033,41,2602,3133,82.96,85.15,6.51,5.46,0.51,0.50,2.72,2.99,0.05,0.06,5.14,3.83,5.34,4.61
19,84863,64574,69589,5385,574,860,33,4912,7968,55022,3293,479,642,19,2798,4784,82.00,85.21,6.35,5.10,0.68,0.74,1.01,0.99,0.04,0.03,5.79,4.33,9.39,7.41
2,85582,64357,59611,632,18726,381,26,5745,1750,48314,488,11522,322,14,3337,1051,69.65,75.07,0.74,0.76,21.88,17.90,0.45,0.50,0.03,0.02,6.71,5.19,2.04,1.63
20,84729,65294,77333,863,680,656,42,3596,3160,60704,541,461,516,26,1995,1916,91.27,92.97,1.02,0.83,0.80,0.71,0.77,0.79,0.05,0.04,4.24,3.06,3.73,2.93
21,85312,64076,68234,1468,845,2198,134,4949,12851,53677,901,584,1552,90,2662,7542,79.98,83.77,1.72,1.41,0.99,0.91,2.58,2.42,0.16,0.14,5.80,4.15,15.06,11.77
22,84510,64631,76928,699,354,430,34,3967,5338,59930,428,258,338,32,2252,3164,91.03,92.73,0.83,0.66,0.42,0.40,0.51,0.52,0.04,0.05,4.69,3.48,6.32,4.90
23,84988,64737,69777,2187,361,3273,263,5017,9023,55513,1268,253,2082,164,2841,5290,82.10,85.75,2.57,1.96,0.42,0.39,3.85,3.22,0.31,0.25,5.90,4.39,10.62,8.17
24,84870,63394,70419,3415,256,3540,26,4910,5047,54329,2109,160,2639,24,2664,3008,82.97,85.70,4.02,3.33,0.30,0.25,4.17,4.16,0.03,0.04,5.79,4.20,5.95,4.74
25,84979,65580,62464,7770,409,6746,55,5446,4889,50757,4841,328,5150,47,2976,3216,73.51,77.40,9.14,7.38,0.48,0.50,7.94,7.85,0.06,0.07,6.41,4.54,5.75,4.90
26,85003,67722,78832,1087,181,981,6,3075,1983,63548,723,160,778,6,1868,1355,92.74,93.84,1.28,1.07,0.21,0.24,1.15,1.15,0.01,0.01,3.62,2.76,2.33,2.00
27,85240,62778,77771,1032,388,838,13,4276,2125,58219,703,310,590,7,2341,1187,91.24,92.74,1.21,1.12,0.46,0.49,0.98,0.94,0.02,0.01,5.02,3.73,2.49,1.89
28,84955,64545,77963,614,410,1137,17,4061,2046,60238,389,294,788,13,2316,1167,91.77,93.33,0.72,0.60,0.48,0.46,1.34,1.22,0.02,0.02,4.78,3.59,2.41,1.81
29,85993,63431,78488,846,272,759,20,4131,3027,58793,538,199,579,17,2302,1799,91.27,92.69,0.98,0.85,0.32,0.31,0.88,0.91,0.02,0.03,4.80,3.63,3.52,2.84
3,84693,68689,77299,539,2000,451,25,3955,1150,63534,457,1461,361,13,2545,719,91.27,92.50,0.64,0.67,2.36,2.13,0.53,0.53,0.03,0.02,4.67,3.71,1.36,1.05
30,85606,60869,74817,2866,335,1749,33,4679,2708,54323,1837,256,1256,22,2428,1617,87.40,89.25,3.35,3.02,0.39,0.42,2.04,2.06,0.04,0.04,5.47,3.99,3.16,2.66
31,86401,65007,75077,2730,335,2516,20,4789,2442,58010,1613,267,1653,18,2757,1448,86.89,89.24,3.16,2.48,0.39,0.41,2.91,2.54,0.02,0.03,5.54,4.24,2.83,2.23
32,86483,64053,66030,5315,477,7045,23,5600,4379,51361,3161,360,4924,17,2888,2614,76.35,80.19,6.15,4.93,0.55,0.56,8.15,7.69,0.03,0.03,6.48,4.51,5.06,4.08
