county,precinct,office,district,party,candidate,votes
Aitkin,AITKIN,U.S. Senate,,R,Mark Kennedy,350
Aitkin,AITKIN,U.S. Senate,,DFL,Amy Klobuchar,511
Aitkin,AITKIN,U.S. Senate,,IND,Robert Fitzgerald,37
Aitkin,AITKIN,U.S. Senate,,WI,WRITE-IN,1
Aitkin,AITKIN,Governor,,R,Tim Pawlenty,381
Aitkin,AITKIN,Governor,,DFL,Mike Hatch,427
Aitkin,AITKIN,Governor,,IND,Peter Hutchinson,81
Aitkin,AITKIN,Governor,,WI,WRITE-IN,2
Aitkin,AITKIN,Attorney General,,R,Jeff Johnson,339
Aitkin,AITKIN,Attorney General,,DFL,Lori Swanson,477
Aitkin,AITKIN,Attorney General,,IND,Independence Party,34
Aitkin,AITKIN,Attorney General,,WI,WRITE-IN,1
Aitkin,AITKIN,Secretary of State,,R,Mary Kiffmeyer,377
Aitkin,AITKIN,Secretary of State,,DFL,Mark Ritchie,438
Aitkin,AITKIN,Secretary of State,,IND,Independence Party,18
Aitkin,AITKIN,Secretary of State,,WI,WRITE-IN,1
Aitkin,AITKIN,State Auditor,,R,Patricia Anderson Awada,328
Aitkin,AITKIN,State Auditor,,DFL,Rebecca Otto,479
Aitkin,AITKIN,State Auditor,,IND,Lucy Gerold,36
Aitkin,AITKIN,State Auditor,,WI,WRITE-IN,1
Aitkin,AITKIN,U.S. House,8,R,,337
Aitkin,AITKIN,U.S. House,8,DFL,,545
Aitkin,AITKIN,U.S. House,8,IND,,0
Aitkin,AITKIN,U.S. House,8,WI,WRITE-IN,1
Aitkin,AITKIN,State Senate,3,R,,327
Aitkin,AITKIN,State Senate,3,DFL,,542
Aitkin,AITKIN,State Senate,3,IND,,0
Aitkin,AITKIN,State Senate,3,WI,WRITE-IN,3
Aitkin,AITKIN,State House,3B,R,,0
Aitkin,AITKIN,State House,3B,DFL,,694
Aitkin,AITKIN,State House,3B,IND,,0
Aitkin,AITKIN,State House,3B,WI,WRITE-IN,18
Aitkin,AITKIN TWP,U.S. Senate,,R,Mark Kennedy,213
Aitkin,AITKIN TWP,U.S. Senate,,DFL,Amy Klobuchar,224
Aitkin,AITKIN TWP,U.S. Senate,,IND,Robert Fitzgerald,16
Aitkin,AITKIN TWP,U.S. Senate,,WI,WRITE-IN,0
Aitkin,AITKIN TWP,Governor,,R,Tim Pawlenty,240
Aitkin,AITKIN TWP,Governor,,DFL,Mike Hatch,180
Aitkin,AITKIN TWP,Governor,,IND,Peter Hutchinson,28
Aitkin,AITKIN TWP,Governor,,WI,WRITE-IN,1
Aitkin,AITKIN TWP,Attorney General,,R,Jeff Johnson,223
Aitkin,AITKIN TWP,Attorney General,,DFL,Lori Swanson,199
Aitkin,AITKIN TWP,Attorney General,,IND,Independence Party,14
Aitkin,AITKIN TWP,Attorney General,,WI,WRITE-IN,0
Aitkin,AITKIN TWP,Secretary of State,,R,Mary Kiffmeyer,232
Aitkin,AITKIN TWP,Secretary of State,,DFL,Mark Ritchie,181
Aitkin,AITKIN TWP,Secretary of State,,IND,Independence Party,8
Aitkin,AITKIN TWP,Secretary of State,,WI,WRITE-IN,0
Aitkin,AITKIN TWP,State Auditor,,R,Patricia Anderson Awada,223
Aitkin,AITKIN TWP,State Auditor,,DFL,Rebecca Otto,194
Aitkin,AITKIN TWP,State Auditor,,IND,Lucy Gerold,14
Aitkin,AITKIN TWP,State Auditor,,WI,WRITE-IN,0
Aitkin,AITKIN TWP,U.S. House,8,R,,214
Aitkin,AITKIN TWP,U.S. House,8,DFL,,230
Aitkin,AITKIN TWP,U.S. House,8,IND,,0
Aitkin,AITKIN TWP,U.S. House,8,WI,WRITE-IN,0
Aitkin,AITKIN TWP,State Senate,3,R,,219
Aitkin,AITKIN TWP,State Senate,3,DFL,,220
Aitkin,AITKIN TWP,State Senate,3,IND,,0
Aitkin,AITKIN TWP,State Senate,3,WI,WRITE-IN,0
Aitkin,AITKIN TWP,State House,3B,R,,0
Aitkin,AITKIN TWP,State House,3B,DFL,,316
Aitkin,AITKIN TWP,State House,3B,IND,,0
Aitkin,AITKIN TWP,State House,3B,WI,WRITE-IN,9
Aitkin,BALL BLUFF TWP,U.S. Senate,,R,Mark Kennedy,45
Aitkin,BALL BLUFF TWP,U.S. Senate,,DFL,Amy Klobuchar,116
Aitkin,BALL BLUFF TWP,U.S. Senate,,IND,Robert Fitzgerald,3
Aitkin,BALL BLUFF TWP,U.S. Senate,,WI,WRITE-IN,0
Aitkin,BALL BLUFF TWP,Governor,,R,Tim Pawlenty,48
Aitkin,BALL BLUFF TWP,Governor,,DFL,Mike Hatch,109
Aitkin,BALL BLUFF TWP,Governor,,IND,Peter Hutchinson,5
Aitkin,BALL BLUFF TWP,Governor,,WI,WRITE-IN,0
Aitkin,BALL BLUFF TWP,Attorney General,,R,Jeff Johnson,38
Aitkin,BALL BLUFF TWP,Attorney General,,DFL,Lori Swanson,116
Aitkin,BALL BLUFF TWP,Attorney General,,IND,Independence Party,5
Aitkin,BALL BLUFF TWP,Attorney General,,WI,WRITE-IN,0
Aitkin,BALL BLUFF TWP,Secretary of State,,R,Mary Kiffmeyer,53
Aitkin,BALL BLUFF TWP,Secretary of State,,DFL,Mark Ritchie,99
Aitkin,BALL BLUFF TWP,Secretary of State,,IND,Independence Party,3
Aitkin,BALL BLUFF TWP,Secretary of State,,WI,WRITE-IN,0
Aitkin,BALL BLUFF TWP,State Auditor,,R,Patricia Anderson Awada,45
Aitkin,BALL BLUFF TWP,State Auditor,,DFL,Rebecca Otto,103
Aitkin,BALL BLUFF TWP,State Auditor,,IND,Lucy Gerold,7
Aitkin,BALL BLUFF TWP,State Auditor,,WI,WRITE-IN,0
Aitkin,BALL BLUFF TWP,U.S. House,8,R,,54
Aitkin,BALL BLUFF TWP,U.S. House,8,DFL,,110
Aitkin,BALL BLUFF TWP,U.S. House,8,IND,,0
Aitkin,BALL BLUFF TWP,U.S. House,8,WI,WRITE-IN,0
Aitkin,BALL BLUFF TWP,State Senate,3,R,,45
Aitkin,BALL BLUFF TWP,State Senate,3,DFL,,114
Aitkin,BALL BLUFF TWP,State Senate,3,IND,,0
Aitkin,BALL BLUFF TWP,State Senate,3,WI,WRITE-IN,2
Aitkin,BALL BLUFF TWP,State House,3B,R,,0
Aitkin,BALL BLUFF TWP,State House,3B,DFL,,137
Aitkin,BALL BLUFF TWP,State House,3B,IND,,0
Aitkin,BALL BLUFF TWP,State House,3B,WI,WRITE-IN,4
Aitkin,BALSAM TWP,U.S. Senate,,R,Mark Kennedy,5
Aitkin,BALSAM TWP,U.S. Senate,,DFL,Amy Klobuchar,16
Aitkin,BALSAM TWP,U.S. Senate,,IND,Robert Fitzgerald,0
Aitkin,BALSAM TWP,U.S. Senate,,WI,WRITE-IN,0
Aitkin,BALSAM TWP,Governor,,R,Tim Pawlenty,8
Aitkin,BALSAM TWP,Governor,,DFL,Mike Hatch,12
Aitkin,BALSAM TWP,Governor,,IND,Peter Hutchinson,2
Aitkin,BALSAM TWP,Governor,,WI,WRITE-IN,0
Aitkin,BALSAM TWP,Attorney General,,R,Jeff Johnson,6
Aitkin,BALSAM TWP,Attorney General,,DFL,Lori Swanson,14
Aitkin,BALSAM TWP,Attorney General,,IND,Independence Party,0
Aitkin,BALSAM TWP,Attorney General,,WI,WRITE-IN,0
Aitkin,BALSAM TWP,Secretary of State,,R,Mary Kiffmeyer,6
Aitkin,BALSAM TWP,Secretary of State,,DFL,Mark Ritchie,11
Aitkin,BALSAM TWP,Secretary of State,,IND,Independence Party,0
Aitkin,BALSAM TWP,Secretary of State,,WI,WRITE-IN,0
Aitkin,BALSAM TWP,State Auditor,,R,Patricia Anderson Awada,6
Aitkin,BALSAM TWP,State Auditor,,DFL,Rebecca Otto,11
Aitkin,BALSAM TWP,State Auditor,,IND,Lucy Gerold,0
Aitkin,BALSAM TWP,State Auditor,,WI,WRITE-IN,0
Aitkin,BALSAM TWP,U.S. House,8,R,,4
Aitkin,BALSAM TWP,U.S. House,8,DFL,,16
Aitkin,BALSAM TWP,U.S. House,8,IND,,0
Aitkin,BALSAM TWP,U.S. House,8,WI,WRITE-IN,0
Aitkin,BALSAM TWP,State Senate,3,R,,2
Aitkin,BALSAM TWP,State Senate,3,DFL,,18
Aitkin,BALSAM TWP,State Senate,3,IND,,0
Aitkin,BALSAM TWP,State Senate,3,WI,WRITE-IN,0
Aitkin,BALSAM TWP,State House,3B,R,,0
Aitkin,BALSAM TWP,State House,3B,DFL,,20
Aitkin,BALSAM TWP,State House,3B,IND,,0
Aitkin,BALSAM TWP,State House,3B,WI,WRITE-IN,0
Aitkin,BEAVER TWP,U.S. Senate,,R,Mark Kennedy,7
Aitkin,BEAVER TWP,U.S. Senate,,DFL,Amy Klobuchar,26
Aitkin,BEAVER TWP,U.S. Senate,,IND,Robert Fitzgerald,0
Aitkin,BEAVER TWP,U.S. Senate,,WI,WRITE-IN,0
Aitkin,BEAVER TWP,Governor,,R,Tim Pawlenty,9
Aitkin,BEAVER TWP,Governor,,DFL,Mike Hatch,23
Aitkin,BEAVER TWP,Governor,,IND,Peter Hutchinson,0
Aitkin,BEAVER TWP,Governor,,WI,WRITE-IN,0
Aitkin,BEAVER TWP,Attorney General,,R,Jeff Johnson,8
Aitkin,BEAVER TWP,Attorney General,,DFL,Lori Swanson,25
Aitkin,BEAVER TWP,Attorney General,,IND,Independence Party,0
Aitkin,BEAVER TWP,Attorney General,,WI,WRITE-IN,0
